sigma,transmittance
450.0,0.00259941
454.0,0.0070893
458.0,0.00661668
462.0,0.007680075
466.0,0.00094524
470.0,0.00590775
474.0,0.00141786
478.0,0.0094524
482.0,0.00401727
486.0,0.009097935
490.0,0.01157919
494.0,0.011461035
498.0,0.01039764
502.0,0.009334245
506.0,0.015241995
510.0,0.013351515
514.0,0.01795956
518.0,0.01606908
522.0,0.019968195
526.0,0.017841404999999998
530.0,0.01677801
534.0,0.01843218
538.0,0.016423544999999998
542.0,0.01843218
546.0,0.01583277
550.0,0.01843218
554.0,0.019259264999999998
558.0,0.02528517
562.0,0.029656904999999997
566.0,0.03213816
570.0,0.03993639
574.0,0.037573289999999995
578.0,0.04182687
582.0,0.042653955
586.0,0.048916169999999995
590.0,0.038636685
594.0,0.05482392
598.0,0.052342665
602.0,0.049270635
606.0,0.047970929999999995
610.0,0.0401727
614.0,0.03402864
618.0,0.02717565
622.0,0.02055897
626.0,0.013587825
630.0,0.00968871
634.0,0.006971145
638.0,0.00661668
642.0,0.00638037
646.0,0.00448989
650.0,0.006025905
654.0,0.00425358
658.0,0.005789595
662.0,0.004135425
666.0,0.006025905
670.0,0.006262215
674.0,0.00519882
678.0,0.005789595
682.0,0.006262215
686.0,0.007443765
690.0,0.00897978
694.0,0.01157919
698.0,0.01441491
702.0,0.019968195
706.0,0.023749155
710.0,0.028239044999999997
714.0,0.031074764999999997
718.0,0.03261078
722.0,0.033792329999999995
726.0,0.030129524999999997
730.0,0.027530115
734.0,0.021149744999999998
738.0,0.015714615
742.0,0.009334245
746.0,0.0070893
750.0,0.004844355
754.0,0.0047262
758.0,0.00330834
762.0,0.00259941
766.0,0.002717565
770.0,0.00189048
774.0,0.002717565
778.0,0.002481255
782.0,0.00259941
786.0,0.00189048
790.0,0.00165417
794.0,0.00212679
798.0,0.002481255
802.0,0.00141786
806.0,0.00165417
810.0,0.003190185
814.0,0.00165417
818.0,0.002717565
822.0,0.001772325
826.0,0.00283572
830.0,0.00070893
834.0,0.00307203
838.0,0.002008635
842.0,0.00283572
846.0,0.003426495
850.0,0.002953875
854.0,0.004608045
858.0,0.004608045
862.0,0.006498525
866.0,0.00756192
870.0,0.009806865
874.0,0.010279485
878.0,0.01252443
