sigma,transmittance
254.069,0.745
255.0520714,0.745
256.0351428,0.745
257.0182142,0.745
258.00128559999996,0.745
258.984357,0.744
259.9674284,0.744
260.9504998,0.743
261.9335712,0.743
262.9166426,0.743
263.899714,0.743
264.8827852,0.744
265.8658564,0.743
266.8489276,0.743
267.8319988,0.741
268.81507,0.741
269.7981414,0.74
270.7812128,0.74
271.7642842,0.74
272.7473556,0.74
273.730427,0.74
274.7134984,0.74
275.6965698,0.741
276.6796412,0.741
277.6627126,0.741
278.645784,0.741
279.6288554,0.741
280.6119268,0.741
281.5949982,0.74
282.5780696,0.739
283.561141,0.737
284.5442124,0.737
285.5272838,0.737
286.5103552,0.737
287.4934266,0.737
288.476498,0.739
289.4595692,0.74
290.4426404,0.74
291.4257116,0.74
292.40878280000004,0.743
293.391854,0.744
294.3749254,0.752
295.3579968,0.76
296.3410682,0.763
297.3241396,0.766
298.307211,0.771
299.2902824,0.776
300.2733538,0.782
301.2564252,0.786
302.2394966,0.79
303.222568,0.79
304.2056394,0.791
305.1887108,0.797
306.1717822,0.798
307.1548536,0.801
308.137925,0.802
309.1209964,0.806
310.1040678,0.809
311.0871392,0.811
312.0702106,0.813
313.053282,0.813
314.0363534,0.813
315.0194248,0.813
316.0024962,0.813
316.9855676,0.813
317.968639,0.811
318.9517102,0.811
319.9347814,0.811
320.9178526,0.81
321.90092380000004,0.81
322.883995,0.81
323.8670664,0.809
324.8501378,0.809
325.8332092,0.809
326.8162806,0.807
327.799352,0.807
328.7824234,0.807
329.7654948,0.806
330.7485662,0.805
331.7316376,0.803
332.714709,0.801
333.6977804,0.799
334.6808518,0.798
335.6639232,0.797
336.6469946,0.797
337.630066,0.795
338.6131374,0.794
339.5962088,0.791
340.5792802,0.79
341.5623516,0.787
342.545423,0.782
343.5284942,0.778
344.5115654,0.775
345.49463660000004,0.772
346.4777078,0.768
347.460779,0.766
348.4438504,0.764
349.4269218,0.76
350.4099932,0.756
351.3930646,0.754
352.376136,0.752
353.3592074,0.747
354.3422788,0.741
355.3253502,0.739
356.3084216,0.736
357.291493,0.731
358.2745644,0.729
359.2576358,0.727
360.2407072,0.725
361.2237786,0.725
362.20685,0.725
363.1899214,0.727
364.1729928,0.727
365.1560642,0.728
366.1391356,0.729
367.122207,0.729
368.1052782,0.731
369.08834939999997,0.732
370.0714206,0.732
371.0544918,0.733
372.037563,0.735
373.0206344,0.736
374.0037058,0.737
374.9867772,0.74
375.9698486,0.744
376.95292,0.75
377.9359914,0.751
378.9190628,0.756
379.9021342,0.762
380.8852056,0.768
381.868277,0.77
382.8513484,0.771
383.8344198,0.774
384.8174912,0.782
385.8005626,0.787
386.783634,0.793
387.7667054,0.795
388.7497768,0.798
389.7328482,0.798
390.7159196,0.799
391.698991,0.801
392.6820624,0.801
393.6651338,0.802
394.6482052,0.803
395.6312766,0.805
396.614348,0.805
397.5974192,0.806
398.5804904,0.806
399.5635616,0.806
400.5466328,0.806
401.529704,0.806
402.5127754,0.806
403.4958468,0.806
404.4789182,0.805
405.4619896,0.805
406.445061,0.805
407.4281324,0.805
408.4112038,0.805
409.3942752,0.805
410.3773466,0.805
411.360418,0.806
412.3434894,0.807
413.3265608,0.807
414.3096322,0.807
415.2927036,0.807
416.275775,0.807
417.2588464,0.807
418.2419178,0.806
419.2249892,0.806
420.2080606,0.805
421.191132,0.805
422.17420319999997,0.803
423.1572744,0.802
424.1403456,0.801
425.12341680000003,0.799
426.106488,0.799
427.0895594,0.798
428.0726308,0.797
429.0557022,0.795
430.0387736,0.794
431.021845,0.791
432.0049164,0.79
432.9879878,0.79
433.9710592,0.788
434.9541306,0.787
435.937202,0.786
436.9202734,0.786
437.9033448,0.786
438.8864162,0.786
439.8694876,0.784
440.852559,0.782
441.8356304,0.78
442.8187018,0.779
443.8017732,0.778
444.7848446,0.775
445.767916,0.772
446.7509872,0.772
447.7340584,0.771
448.7171296,0.767
449.7002008,0.762
450.683272,0.76
451.6663434,0.758
452.6494148,0.755
453.6324862,0.748
454.6155576,0.744
455.598629,0.736
456.5817004,0.728
457.5647718,0.72
458.5478432,0.712
459.5309146,0.709
460.513986,0.7
461.4970574,0.698
462.4801288,0.692
463.4632002,0.684
464.4462716,0.681
465.429343,0.678
466.4124144,0.677
467.3954858,0.673
468.3785572,0.672
469.3616286,0.665
470.3447,0.655
471.3277712,0.653
472.3108424,0.649
473.2939136,0.641
474.27698480000004,0.638
475.260056,0.634
476.2431274,0.619
477.2261988,0.608
478.2092702,0.596
479.1923416,0.5841
480.175413,0.576
481.1584844,0.573
482.1415558,0.553
483.1246272,0.548
484.1076986,0.543
485.09077,0.54
486.0738414,0.538
487.0569128,0.538
488.0399842,0.538
489.0230556,0.54
490.006127,0.547
490.9891984,0.552
491.9722698,0.557
492.9553412,0.563
493.9384126,0.569
494.921484,0.577
495.9045554,0.591
496.8876268,0.594
497.8706982,0.6
498.8537696,0.607
499.836841,0.615
500.8199122,0.623
501.8029834,0.633
502.7860546,0.635
503.76912580000004,0.637
504.752197,0.642
505.7352684,0.65
506.7183398,0.657
507.7014112,0.663
508.6844826,0.67
509.667554,0.678
510.65062539999997,0.69
511.6336968,0.694
512.6167682,0.696
513.5998396,0.702
514.582911,0.706
515.5659823999999,0.713
516.5490538,0.721
517.5321252,0.727
518.5151966000001,0.733
519.498268,0.736
520.4813394,0.74
521.4644108,0.745
522.4474822000001,0.748
523.4305536,0.752
524.413625,0.755
525.3966962000001,0.76
526.3797674,0.762
527.3628386,0.763
528.3459098,0.767
529.328981,0.768
530.3120524,0.77
531.2951237999999,0.771
532.2781952,0.772
533.2612666,0.774
534.244338,0.775
535.2274093999999,0.776
536.2104808,0.778
537.1935522,0.778
538.1766236000001,0.779
539.159695,0.78
540.1427664,0.78
541.1258378,0.78
542.1089092000001,0.782
543.0919806,0.782
544.075052,0.782
545.0581234,0.782
546.0411948,0.782
547.0242662,0.782
548.0073376,0.78
548.990409,0.78
549.9734802,0.78
550.9565514,0.779
551.9396226,0.779
552.9226937999999,0.779
553.905765,0.779
554.8888364,0.779
555.8719077999999,0.779
556.8549792,0.778
557.8380506,0.778
558.821122,0.778
559.8041933999999,0.778
560.7872648,0.778
561.7703362,0.776
562.7534076000001,0.775
563.736479,0.774
564.7195504,0.772
565.7026218,0.771
566.6856932000001,0.77
567.6687646,0.768
568.651836,0.767
569.6349074,0.764
570.6179788,0.762
571.6010502,0.759
572.5841216,0.758
573.567193,0.756
574.5502644,0.755
575.5333357999999,0.748
576.5164072,0.745
577.4994786,0.745
578.48255,0.74
579.4656212,0.732
580.4486924,0.729
581.4317636,0.728
582.4148348,0.72
583.397906,0.715
584.3809774,0.713
585.3640488,0.704
586.3471202000001,0.697
587.3301916,0.697
588.313263,0.694
589.2963344,0.68
590.2794058,0.674
591.2624772,0.669
592.2455486,0.663
593.22862,0.661
594.2116914,0.661
595.1947627999999,0.658
596.1778342,0.657
597.1609056,0.655
598.143977,0.654
599.1270483999999,0.654
600.1101198,0.654
601.0931912,0.654
602.0762626000001,0.655
603.059334,0.657
604.0424052000001,0.658
605.0254764,0.659
606.0085476,0.659
606.9916188,0.662
607.97469,0.663
608.9577614,0.665
609.9408328,0.668
610.9239042,0.669
611.9069756,0.67
612.890047,0.672
613.8731184,0.673
614.8561897999999,0.674
615.8392612,0.676
616.8223326,0.677
617.805404,0.678
618.7884753999999,0.681
619.7715468,0.682
620.7546182,0.684
621.7376896000001,0.685
622.720761,0.686
623.7038324,0.688
624.6869038,0.689
625.6699752000001,0.69
626.6530466,0.692
627.636118,0.692
628.6191892,0.693
629.6022604,0.696
630.5853316,0.697
631.5684028,0.698
632.551474,0.698
633.5345454,0.7
634.5176167999999,0.702
635.5006882,0.706
636.4837596,0.711
637.466831,0.713
638.4499023999999,0.715
639.4329738,0.716
640.4160452,0.719
641.3991166000001,0.719
642.382188,0.723
643.3652594,0.724
644.3483308,0.724
645.3314022000001,0.724
646.3144736,0.724
647.297545,0.725
648.2806164,0.725
649.2636878,0.725
650.2467592,0.725
651.2298306,0.725
652.212902,0.725
653.1959732,0.725
654.1790444,0.724
655.1621156,0.724
656.1451867999999,0.723
657.128258,0.723
658.1113293999999,0.721
659.0944008,0.721
660.0774722,0.72
661.0605436000001,0.717
662.043615,0.717
663.0266864,0.716
664.0097578,0.716
664.9928292000001,0.715
665.9759006,0.715
666.958972,0.713
667.9420434,0.713
668.9251148,0.713
669.9081862,0.712
670.8912576,0.711
671.874329,0.708
672.8574004,0.706
673.8404717999999,0.705
674.8235432,0.704
675.8066146,0.702
676.789686,0.701
677.7727573999999,0.701
678.7558288,0.701
679.7389002,0.702
680.7219716000001,0.702
681.705043,0.704
682.6881142000001,0.704
683.6711854,0.706
684.6542566,0.712
685.6373278,0.713
686.620399,0.716
687.6034704,0.719
688.5865418,0.72
689.5696132,0.721
690.5526846,0.731
691.535756,0.732
692.5188274,0.735
693.5018987999999,0.741
694.4849702,0.745
695.4680416,0.752
696.451113,0.758
697.4341843999999,0.762
698.4172558,0.767
699.4003272,0.77
700.3833986000001,0.774
701.36647,0.778
702.3495414,0.78
703.3326128,0.782
704.3156842000001,0.786
705.2987556,0.788
706.281827,0.791
707.2648982000001,0.791
708.2479694,0.793
709.2310406,0.795
710.2141118,0.797
711.197183,0.798
712.1802544,0.798
713.1633257999999,0.798
714.1463972,0.799
715.1294686,0.799
716.11254,0.799
717.0956113999999,0.799
718.0786828,0.801
719.0617542,0.801
720.0448256000001,0.801
721.027897,0.799
722.0109684,0.799
722.9940398,0.799
723.9771112000001,0.799
724.9601826,0.799
725.943254,0.799
726.9263254,0.801
727.9093968,0.799
728.8924682,0.799
729.8755396,0.799
730.858611,0.798
731.8416822,0.798
732.8247534,0.798
733.8078246,0.797
734.7908957999999,0.797
735.773967,0.797
736.7570383999999,0.795
