sigma,transmittance
234.483,0.814
235.4682224,0.816
236.4534448,0.814
237.4386672,0.816
238.4238896,0.816
239.409112,0.816
240.3943344,0.816
241.3795568,0.816
242.36477920000002,0.817
243.3500016,0.817
244.335224,0.817
245.3204464,0.817
246.3056688,0.817
247.2908912,0.818
248.2761136,0.818
249.261336,0.822
250.2465584,0.824
251.2317808,0.825
252.2170032,0.825
253.2022256,0.824
254.187448,0.824
255.1726704,0.824
256.1578928,0.822
257.1431152,0.822
258.1283376,0.824
259.11356,0.826
260.0987824,0.828
261.0840048,0.828
262.0692272,0.829
263.0544496,0.83
264.039672,0.832
265.0248944,0.833
266.0101168,0.833
266.9953392,0.834
267.9805616,0.84
268.965784,0.845
269.9510064,0.849
270.9362288,0.849
271.9214512,0.851
272.9066736,0.852
273.891896,0.853
274.8771184,0.853
275.86234079999997,0.855
276.8475632,0.855
277.8327856,0.855
278.818008,0.856
279.8032304,0.856
280.7884528,0.856
281.7736752,0.859
282.7588976,0.86
283.74412,0.863
284.7293424,0.864
285.7145648,0.864
286.6997872,0.864
287.6850096,0.864
288.670232,0.864
289.6554544,0.864
290.6406768,0.864
291.6258992,0.864
292.6111216,0.864
293.596344,0.864
294.5815664,0.864
295.5667888,0.865
296.5520112,0.865
297.5372336,0.867
298.522456,0.867
299.5076784,0.868
300.4929008,0.868
301.4781232,0.869
302.4633456,0.869
303.448568,0.871
304.4337904,0.872
305.4190128,0.873
306.4042352,0.875
307.3894576,0.875
308.37468,0.875
309.3599024,0.876
310.3451248,0.876
311.3303472,0.876
312.3155696,0.877
313.300792,0.88
314.2860144,0.883
315.2712368,0.888
316.2564592,0.891
317.2416816,0.892
318.226904,0.892
319.2121264,0.895
320.1973488,0.895
321.1825712,0.897
322.1677936,0.899
323.153016,0.899
324.1382384,0.899
325.1234608,0.9
326.10868320000003,0.9
327.0939056,0.9
328.079128,0.9
329.0643504,0.902
330.0495728,0.902
331.0347952,0.902
332.0200176,0.903
333.00524,0.903
333.9904624,0.904
334.9756848,0.906
335.9609072,0.907
336.9461296,0.91
337.931352,0.912
338.9165744,0.912
339.9017968,0.914
340.8870192,0.914
341.8722416,0.914
342.857464,0.914
343.8426864,0.914
344.8279088,0.914
345.8131312,0.915
346.7983536,0.915
347.783576,0.915
348.7687984,0.914
349.7540208,0.911
350.73924320000003,0.91
351.72446560000003,0.91
