sigma,transmittance
456.951,0.915
458.2962984,0.915
459.6415968,0.915
460.9868952,0.915
462.3321936,0.915
463.677492,0.915
465.02279039999996,0.915
466.36808879999995,0.915
467.7133872,0.915
469.0586856,0.915
470.403984,0.915
471.74928239999997,0.915
473.09458079999996,0.915
474.4398792,0.915
475.7851776,0.918
477.130476,0.92
478.4757744,0.92
479.82107279999997,0.92
481.1663712,0.922
482.5116696,0.922
483.856968,0.922
485.2022664,0.922
486.5475648,0.922
487.8928632,0.922
489.2381616,0.922
490.58346,0.922
491.9287584,0.924
493.2740568,0.924
494.61935520000003,0.924
495.9646536,0.924
497.309952,0.924
498.6552504,0.924
500.0005488,0.922
501.34584720000004,0.92
502.6911456,0.92
504.036444,0.92
505.3817424,0.918
506.7270408,0.918
508.07233920000004,0.915
509.41763760000003,0.913
510.762936,0.913
512.1082344,0.911
513.4535328,0.911
514.7988312,0.911
516.1441296,0.911
517.489428,0.909
518.8347264,0.907
520.1800248,0.907
521.5253232,0.905
522.8706215999999,0.905
524.21592,0.905
525.5612184,0.907
526.9065168,0.907
528.2518152,0.907
529.5971136,0.907
530.942412,0.905
532.2877104,0.905
533.6330088,0.905
534.9783072,0.905
536.3236056,0.905
537.668904,0.903
539.0142024,0.901
540.3595008,0.899
541.7047992,0.899
543.0500976,0.899
544.395396,0.899
545.7406944,0.899
547.0859928,0.899
548.4312912,0.899
549.7765896,0.897
551.121888,0.897
552.4671864000001,0.894
553.8124848,0.894
555.1577832,0.894
556.5030816,0.894
557.84838,0.894
559.1936782,0.894
560.5389764,0.892
561.8842746,0.892
563.2295728,0.892
564.574871,0.89
565.9201694000001,0.89
567.2654678,0.89
568.6107662000001,0.89
569.9560646,0.888
571.301363,0.886
572.6466614000001,0.876
573.9919598,0.873
575.3372582000001,0.871
576.6825566,0.869
578.027855,0.867
579.3731534000001,0.867
580.7184518,0.838
582.0637502000001,0.829
583.4090486,0.825
584.754347,0.825
586.0996454,0.829
587.4449438,0.834
588.7902422,0.831
590.1355406,0.829
591.480839,0.821
592.8261374,0.81
594.1714357999999,0.804
595.5167342,0.796
596.8620325999999,0.792
598.207331,0.789
599.5526294,0.7751
600.8979277999999,0.773
602.2432262,0.7561
603.5885245999999,0.7262
604.933823,0.724
606.2791214,0.724
607.6244197999999,0.724
608.9697182,0.722
610.3150165999999,0.6891
611.660315,0.6701
613.0056134,0.6192
614.3509118,0.6548
615.6962102,0.6471
617.0415085999999,0.6232
618.386807,0.592
619.7321054,0.63
621.0774038,0.621
622.4227022,0.609
623.7680005999999,0.626
625.113299,0.632
626.4585974,0.638
627.8038958,0.64
629.1491942,0.642
630.4944926,0.6589
631.839791,0.659
633.1850894,0.577
634.5303878,0.577
635.8756862,0.5481
637.2209846,0.5041
638.566283,0.3675
639.9115814,0.363
641.2568798,0.367
642.6021782,0.373
643.9474766,0.4087
645.292775,0.445
646.6380734,0.51
647.9833718,0.5579
649.3286702,0.6069
650.6739686,0.617
652.019267,0.6628
653.3645654000001,0.6341
654.7098638,0.634
656.0551622,0.6628
657.4004606,0.668
658.745759,0.672
660.0910574000001,0.655
661.4363558,0.647
662.7816542,0.634
664.1269526,0.647
665.472251,0.6819
666.8175494000001,0.6611
668.1628478,0.6341
669.5081462,0.6569
670.8534446,0.653
672.198743,0.649
673.5440414000001,0.653
674.8893398,0.655
676.2346382000001,0.665
677.5799366,0.676
678.925235,0.6591
680.2705334000001,0.651
681.6158318,0.644
682.9611302000001,0.6301
684.3064286,0.6171
685.651727,0.609
686.9970254,0.605
688.3423238,0.59
689.6876222,0.586
691.0329206,0.5481
692.378219,0.539
693.7235174,0.527
695.0688157999999,0.523
696.4141142,0.521
697.7594125999999,0.521
699.104711,0.521
700.4500094,0.523
701.7953077999999,0.529
703.1406062,0.535
704.4859045999999,0.537
705.831203,0.548
707.1765014,0.55
708.5217997999999,0.55
709.8670982,0.5629
711.2123965999999,0.5898
712.557695,0.64
713.9029934,0.642
715.2482918,0.676
716.5935902,0.693
717.9388885999999,0.707
719.284187,0.7389
720.6294854,0.7709
721.9747838,0.8168
723.3200822,0.8379
724.6653805999999,0.8589
726.010679,0.871
727.3559774,0.871
728.7012758,0.873
730.0465742,0.873
731.3918725999999,0.88
732.737171,0.886
734.0824694,0.89
735.4277678,0.892
736.7730662,0.892
738.1183646,0.894
739.463663,0.894
740.8089614,0.894
742.1542598,0.899
743.4995582,0.903
744.8448566,0.903
746.190155,0.905
747.5354534,0.905
748.8807518,0.907
750.2260502,0.907
751.5713486,0.911
752.916647,0.911
754.2619454000001,0.911
755.6072438,0.911
756.9525422,0.911
758.2978406,0.911
759.643139,0.911
760.9884374000001,0.911
762.3337358,0.913
763.6790342,0.911
765.0243326,0.911
766.369631,0.913
767.7149294000001,0.913
769.0602278,0.913
770.4055262,0.913
771.7508246,0.913
773.096123,0.913
774.4414212,0.911
775.7867194,0.911
777.1320176,0.911
778.4773158,0.909
779.822614,0.909
781.1679124000001,0.909
782.5132108,0.907
783.8585092000001,0.907
785.2038076,0.907
786.549106,0.907
787.8944044,0.907
789.2397028,0.907
790.5850012,0.909
791.9302996,0.909
793.275598,0.907
794.6208964,0.907
795.9661947999999,0.907
797.3114932,0.905
798.6567915999999,0.905
800.00209,0.905
801.3473884,0.905
802.6926867999999,0.903
804.0379852,0.903
805.3832835999999,0.901
806.728582,0.901
808.0738804,0.899
809.4191787999999,0.897
810.7644772,0.894
812.1097755999999,0.892
813.455074,0.892
814.8003724,0.892
816.1456708,0.89
817.4909692,0.888
818.8362675999999,0.888
820.181566,0.884
821.5268644,0.878
822.8721628,0.871
824.2174612,0.871
825.5627595999999,0.871
826.908058,0.869
828.2533564,0.865
829.5986548,0.861
830.9439532,0.855
832.2892516,0.852
833.63455,0.852
834.9798484,0.85
836.3251468,0.846
837.6704452,0.844
839.0157436,0.84
840.361042,0.831
841.7063404,0.831
843.0516388,0.829
844.3969372,0.827
845.7422356,0.825
847.087534,0.823
848.4328324,0.819
849.7781308,0.813
851.1234292,0.81
852.4687276,0.8
853.814026,0.796
855.1593244000001,0.794
856.5046228,0.789
857.8499212,0.785
859.1952196,0.781
860.540518,0.771
861.8858164000001,0.76
863.2311148,0.756
864.5764132,0.752
865.9217116,0.741
867.26701,0.733
868.6123084000001,0.724
869.9576068,0.724
871.3029052,0.6951
872.6482036,0.691
873.993502,0.678
875.3388004000001,0.674
876.6840988,0.661
878.0293972000001,0.659
879.3746956,0.649
880.719994,0.632
882.0652924000001,0.628
883.4105908,0.6151
884.7558892000001,0.611
886.1011876,0.6021
887.446486,0.592
888.7917844,0.588
890.1370828,0.577
891.4823812,0.573
892.8276796,0.56
894.172978,0.5391
895.5182764,0.537
896.8635747999999,0.535
898.2088732,0.5251
899.5541715999999,0.5141
900.89947,0.504
902.2447684,0.502
903.5900667999999,0.491
904.9353652,0.489
906.2806635999999,0.489
907.625962,0.487
908.9712604,0.487
910.3165587999999,0.483
911.6618572,0.478
913.0071555999999,0.47
914.352454,0.468
915.6977524,0.466
917.0430508,0.46
918.3883492,0.46
919.7336475999999,0.457
921.078946,0.455
922.4242444,0.455
923.7695428,0.451
925.1148412,0.451
926.4601395999999,0.453
927.805438,0.455
929.1507364,0.46
930.4960348,0.478
931.8413332,0.483
933.1866315999999,0.485
934.53193,0.489
935.8772284,0.493
937.2225268,0.495
938.5678252,0.5229
939.9131236,0.5479
941.258422,0.563
942.6037204,0.577
943.9490188,0.588
945.2943172,0.6
946.6396156,0.617
947.984914,0.63
949.3302124,0.6589
950.6755108,0.6839
952.0208092,0.7069
953.3661076,0.71
954.711406,0.728
956.0567044000001,0.745
957.4020028,0.764
958.7473012,0.792
960.0925996,0.813
961.437898,0.838
962.7831964000001,0.848
964.1284948,0.857
965.4737932,0.861
966.8190916,0.8709
968.16439,0.88
969.5096884000001,0.89
970.8549868,0.892
972.2002852,0.899
973.5455836,0.903
974.890882,0.903
976.2361804000001,0.907
977.5814788,0.907
978.9267772000001,0.909
980.2720756,0.909
981.617374,0.909
982.9626724000001,0.907
984.3079708,0.907
985.6532692000001,0.907
986.9985676,0.905
988.343866,0.905
989.6891642,0.901
991.0344624,0.901
992.3797605999999,0.899
993.7250587999999,0.899
995.070357,0.899
996.4156554,0.897
997.7609537999999,0.894
999.1062522,0.892
1000.4515505999999,0.892
1001.796849,0.89
1003.1421474,0.89
1004.4874457999999,0.89
1005.8327442,0.888
1007.1780425999999,0.886
1008.523341,0.884
1009.8686394,0.882
1011.2139377999999,0.882
1012.5592362,0.88
1013.9045345999999,0.878
1015.249833,0.878
1016.5951314,0.878
1017.9404298,0.878
1019.2857282,0.873
1020.6310265999999,0.873
1021.976325,0.873
1023.3216234,0.871
1024.6669218,0.869
1026.0122202,0.865
1027.3575186,0.861
1028.702817,0.852
1030.0481154000001,0.844
1031.3934138000002,0.844
1032.7387122,0.844
1034.0840106,0.842
1035.429309,0.838
1036.7746074000001,0.834
1038.1199058000002,0.825
1039.4652042,0.817
1040.8105026,0.815
1042.155801,0.808
1043.5010994000002,0.796
1044.8463978,0.794
1046.1916962,0.7811
1047.5369945999998,0.777
1048.882293,0.771
1050.2275914,0.762
1051.5728898,0.762
1052.9181881999998,0.76
1054.2634865999999,0.752
1055.608785,0.745
1056.9540834,0.743
1058.2993818,0.7201
1059.6446801999998,0.6931
1060.9899785999999,0.6701
1062.335277,0.659
1063.6805754,0.64
1065.0258738,0.632
1066.3711721999998,0.63
1067.7164705999999,0.607
1069.061769,0.59
1070.4070674,0.575
1071.7523658,0.5391
1073.0976641999998,0.5141
1074.4429625999999,0.4891
1075.788261,0.4779
1077.1335594,0.4469
1078.4788578,0.397
1079.8241561999998,0.392
1081.1694545999999,0.367
1082.514753,0.346
1083.8600514,0.338
1085.2053498,0.334
1086.5506481999998,0.3171
1087.8959466,0.308
1089.241245,0.306
1090.5865434,0.308
1091.9318418,0.321
1093.2771401999998,0.336
1094.6224386,0.35
1095.967737,0.3839
1097.3130354,0.4149
1098.6583338,0.5306
1100.0036321999999,0.6465
1101.3489306,0.5485
1102.694229,0.1572
1104.0395274,0.2541
1105.3848258,0.348
1106.7301241999999,0.42
1108.0754226,0.4909
1109.420721,0.5599
1110.7660194,0.4683
1112.1113178,0.4341
1113.4566161999999,0.3693
1114.8019146,0.3362
1116.147213,0.245
1117.4925114,0.241
1118.8378098,0.243
1120.1831081999999,0.256
1121.5284066,0.268
1122.873705,0.3099
1124.2190034,0.3309
1125.5643018,0.3778
1126.9096001999999,0.4178
1128.2548986,0.4548
1129.600197,0.5102
1130.9454954,0.563
1132.2907938,0.5651
1133.6360922,0.621
1134.9813906,0.686
1136.326689,0.703
1137.6719874,0.718
1139.0172858,0.735
1140.3625842,0.739
1141.7078826,0.743
1143.053181,0.743
1144.3984794,0.741
1145.7437778,0.739
1147.0890762,0.735
1148.4343746,0.724
1149.779673,0.722
1151.1249714,0.718
1152.4702698,0.71
1153.8155682,0.705
1155.1608666,0.705
1156.506165,0.705
1157.8514634,0.701
1159.1967618,0.695
1160.5420602,0.695
1161.8873586,0.674
1163.232657,0.657
1164.5779554,0.649
1165.9232538,0.634
1167.2685522,0.6191
1168.6138506,0.613
1169.959149,0.598
1171.3044474,0.584
1172.6497458000001,0.571
1173.9950442,0.544
1175.3403426,0.531
1176.685641,0.518
1178.0309394,0.497
1179.3762378000001,0.4721
1180.7215362,0.4571
1182.0668346,0.4391
1183.412133,0.4179
1184.7574314,0.3819
1186.1027298000001,0.34
1187.4480282,0.317
1188.7933266,0.285
1190.138625,0.275
1191.4839234,0.2311
1192.8292218000001,0.218
1194.1745202,0.1801
1195.5198186,0.1651
1196.865117,0.136
1198.2104154,0.13
1199.5557138000001,0.109
1200.9010122,0.098
1202.2463106,0.092
1203.591609,0.084
1204.9369072,0.077
1206.2822054,0.071
1207.6275036,0.067
1208.9728018,0.065
1210.3181,0.063
1211.6633984,0.058
1213.0086968,0.056
1214.3539951999999,0.056
1215.6992936,0.056
1217.044592,0.06
1218.3898904,0.063
1219.7351888,0.065
1221.0804871999999,0.071
1222.4257856,0.079
1223.771084,0.088
1225.1163824,0.098
1226.4616808,0.107
1227.8069792,0.128
1229.1522776,0.155
1230.497576,0.163
1231.8428744,0.18
1233.1881728,0.182
1234.5334712,0.2179
1235.8787696,0.2518
1237.224068,0.3212
1238.5693664,0.3901
1239.9146648,0.4451
1241.2599632,0.497
1242.6052616,0.569
1243.95056,0.6399
1245.2958584,0.7098
1246.6411568,0.7309
1247.9864552,0.737
1249.3317536,0.7768
1250.677052,0.792
1252.0223504,0.794
1253.3676488,0.806
1254.7129472,0.815
1256.0582456,0.817
1257.403544,0.817
1258.7488424,0.817
1260.0941408,0.815
1261.4394392,0.813
1262.7847376,0.81
1264.130036,0.806
1265.4753344,0.8
1266.8206328,0.794
1268.1659312,0.789
1269.5112296,0.785
1270.856528,0.779
1272.2018264,0.777
1273.5471248000001,0.775
1274.8924232,0.771
1276.2377216,0.766
1277.58302,0.762
1278.9283184,0.762
1280.2736168000001,0.762
1281.6189152,0.764
1282.9642136,0.764
1284.309512,0.764
1285.6548104,0.766
1287.0001088000001,0.768
1288.3454072,0.779
1289.6907056,0.779
1291.036004,0.781
1292.3813024,0.789
1293.7266008000001,0.794
1295.0718992,0.796
1296.4171976,0.819
1297.762496,0.819
1299.1077944,0.821
1300.4530928000001,0.821
1301.7983912,0.821
1303.1436896,0.821
1304.488988,0.823
1305.8342864,0.825
1307.1795848000002,0.825
1308.5248832,0.827
1309.8701816,0.827
1311.21548,0.825
1312.5607784000001,0.823
1313.9060768000002,0.821
1315.2513752,0.819
1316.5966736,0.817
1317.941972,0.817
1319.2872704000001,0.815
1320.6325688000002,0.813
1321.9778672,0.813
1323.3231656,0.81
1324.668464,0.81
1326.0137624000001,0.808
1327.3590608000002,0.806
1328.7043592,0.798
1330.0496576,0.798
1331.394956,0.794
1332.7402544000001,0.789
1334.0855528000002,0.785
1335.4308512,0.777
1336.7761496,0.766
1338.121448,0.76
1339.4667464000001,0.743
1340.8120448000002,0.735
1342.1573432,0.728
1343.5026416,0.722
1344.84794,0.7159
1346.1932384000002,0.6779
1347.5385368,0.644
1348.8838352,0.632
1350.2291335999998,0.607
1351.574432,0.588
1352.9197304,0.588
1354.2650288,0.5252
1355.6103271999998,0.512
1356.9556255999998,0.4851
1358.300924,0.4809
1359.6462224,0.462
1360.9915208,0.445
1362.3368191999998,0.441
1363.6821175999999,0.439
1365.027416,0.439
1366.3727144,0.441
1367.7180128,0.441
1369.0633111999998,0.447
1370.4086095999999,0.4599
1371.753908,0.4681
1373.0992064,0.4891
1374.4445048,0.512
1375.7898031999998,0.529
1377.1351015999999,0.552
1378.4804,0.575
1379.8256984,0.6888
1381.1709968,0.707
1382.5162951999998,0.7239
1383.8615935999999,0.7409
1385.206892,0.743
1386.5521904,0.752
1387.8974888,0.752
1389.2427871999998,0.758
1390.5880855999999,0.766
1391.933384,0.768
1393.2786824,0.766
1394.6239808,0.766
1395.9692791999998,0.764
1397.3145776,0.764
1398.659876,0.7711
1400.0051744,0.785
1401.3504728,0.789
1402.6957711999999,0.794
1404.0410696,0.794
1405.386368,0.796
1406.7316664,0.796
1408.0769648,0.802
1409.4222631999999,0.813
1410.7675616,0.813
1412.11286,0.815
1413.4581584,0.815
1414.8034568,0.817
1416.1487551999999,0.817
1417.4940536,0.813
1418.839352,0.789
1420.1846502,0.819
1421.5299484,0.829
1422.8752466,0.834
1424.2205448,0.836
1425.565843,0.84
1426.9111414000001,0.844
1428.2564398000002,0.844
1429.6017382,0.846
1430.9470366,0.848
1432.292335,0.85
1433.6376334000001,0.85
1434.9829318000002,0.85
1436.3282302,0.8151
1437.6735286,0.815
1439.018827,0.8341
1440.3641254000001,0.852
1441.7094238000002,0.859
1443.0547222,0.861
1444.4000206,0.861
1445.745319,0.861
1447.0906174000002,0.861
1448.4359158,0.855
1449.7812142,0.861
1451.1265125999998,0.871
1452.471811,0.871
1453.8171094,0.869
1455.1624078,0.869
1456.5077061999998,0.8688
1457.8530045999998,0.781
1459.198303,0.825
1460.5436014,0.867
1461.8888998,0.876
1463.2341981999998,0.88
1464.5794965999999,0.871
1465.924795,0.867
1467.2700934,0.871
1468.6153918,0.884
1469.9606901999998,0.894
1471.3059885999999,0.894
1472.651287,0.873
1473.9965854,0.855
1475.3418838,0.873
1476.6871821999998,0.884
1478.0324805999999,0.89
1479.377779,0.899
1480.7230774,0.905
1482.0683758,0.909
1483.4136741999998,0.909
1484.7589725999999,0.909
1486.104271,0.907
1487.4495694,0.905
1488.7948678,0.899
1490.1401661999998,0.882
1491.4854646,0.882
1492.830763,0.8901
1494.1760614,0.903
1495.5213598,0.911
1496.8666581999998,0.911
1498.2119566,0.911
1499.557255,0.886
1500.9025534,0.886
1502.2478518,0.909
1503.5931501999999,0.909
1504.9384486,0.909
1506.283747,0.909
1507.6290454,0.9007
1508.9743438,0.8021
1510.3196421999999,0.8461
1511.6649406,0.888
1513.010239,0.888
1514.3555374,0.892
1515.7008358,0.897
1517.0461341999999,0.897
1518.3914326,0.888
1519.736731,0.8968
1521.0820294,0.8479
1522.4273278,0.817
1523.7726261999999,0.817
1525.1179246,0.842
1526.463223,0.867
1527.8085214,0.867
1529.1538198,0.878
1530.4991181999999,0.884
1531.8444166,0.892
1533.189715,0.886
1534.5350134,0.8859
1535.8803118,0.871
1537.2256102,0.8521
1538.5709086,0.892
1539.916207,0.892
1541.2615054,0.7831
1542.6068038,0.8289
1543.9521022,0.84
1545.2974006,0.85
1546.642699,0.859
1547.9879974,0.863
1549.3332958,0.873
1550.6785942,0.882
1552.0238926,0.886
1553.369191,0.89
1554.7144894,0.89
1556.0597878,0.884
1557.4050862,0.869
1558.7503846,0.8291
1560.095683,0.8267
1561.4409814,0.7622
1562.7862798,0.8101
1564.1315782,0.859
1565.4768766,0.884
1566.822175,0.886
1568.1674734,0.886
