sigma,transmittance
2.014,0.993
2.0208093999999996,0.993
2.0276188,0.993
2.0344282,0.991
2.0412376,0.991
2.048047,0.989
2.0548376,0.988
2.0616282,0.988
2.0684188,0.986
2.0752094,0.986
2.082,0.986
2.0888093999999997,0.986
2.0956188,0.986
2.1024282,0.986
2.1092376,0.986
2.116047,0.986
2.1228376,0.988
2.1296282,0.988
2.1364188,0.988
2.1432094,0.989
2.15,0.989
2.1568093999999998,0.989
2.1636188,0.988
2.1704282,0.984
2.1772376,0.982
2.184047,0.979
2.1908376,0.977
2.1976282,0.972
2.2044188,0.965
2.2112094,0.96
2.218,0.959
2.2248094,0.96
2.2316188,0.96
2.2384282,0.962
2.2452376000000003,0.964
2.252047,0.964
2.2588376,0.964
2.2656282,0.964
2.2724188,0.964
2.2792094,0.964
2.286,0.964
2.2928094,0.962
2.2996188,0.962
2.3064282,0.962
2.3132376000000003,0.964
2.320047,0.964
2.3268376,0.964
2.3336282,0.964
2.3404188,0.964
2.3472094,0.964
2.354,0.964
2.3608094,0.962
2.3676188,0.962
2.3744282,0.96
2.3812376,0.959
2.388047,0.959
2.3948376,0.959
2.4016281999999998,0.959
2.4084188,0.957
2.4152094,0.957
2.422,0.957
2.4288094,0.957
2.4356188,0.957
2.4424282,0.957
2.4492376,0.957
2.456047,0.959
2.4628376,0.959
2.4696282,0.959
2.4764188000000003,0.959
2.4832094000000002,0.959
2.49,0.959
2.4968094,0.959
2.5036188,0.96
2.5104282,0.96
2.5172376,0.96
2.524047,0.959
2.5308376,0.959
2.5376282,0.959
2.5444188,0.959
2.5512094,0.959
2.558,0.96
2.5648093999999997,0.96
2.5716188,0.962
2.5784282,0.962
2.5852376,0.964
2.592047,0.964
2.5988376,0.959
2.6056282,0.955
2.6124188,0.954
2.6192094,0.957
2.626,0.96
2.6328093999999997,0.967
2.6396188,0.967
2.6464282,0.967
2.6532376,0.964
2.660047,0.962
2.6668376,0.96
2.6736282,0.96
2.6804188,0.959
2.6872094,0.959
2.694,0.955
2.7008094,0.955
2.7076188,0.954
2.7144282,0.954
2.7212376000000003,0.954
2.728047,0.95
2.7348376,0.948
2.7416282,0.942
2.7484188,0.937
2.7552094,0.93
2.762,0.93
2.7688094,0.928
2.7756188,0.926
2.7824282,0.923
2.7892376000000003,0.918
2.796047,0.913
2.8028376,0.908
2.8096282,0.901
2.8164188,0.894
2.8232094,0.887
2.83,0.88
2.8368094,0.874
2.8436188,0.867
2.8504282,0.858
2.8572376,0.852
2.864047,0.843
2.8708375999999998,0.836
2.8776281999999997,0.828
2.8844188,0.819
2.8912094,0.811
2.898,0.802
2.9048094,0.794
2.9116188,0.785
2.9184282,0.777
2.9252376,0.765
2.932047,0.755
2.9388376,0.746
2.9456282,0.738
2.9524188000000002,0.729
2.9592094,0.721
2.966,0.712
2.9728094,0.7
2.9796188,0.685
2.9864282,0.668
2.9932376,0.644
3.000047,0.615
3.0070376,0.6
3.0140282,0.581
3.0210188000000002,0.561
3.0280094,0.537
3.035,0.515
3.0418094,0.503
3.0486188,0.491
3.0554282,0.465
3.0622376,0.442
3.069047,0.42
3.0758376,0.399
3.0826282,0.379
3.0894188000000002,0.362
3.0962094000000002,0.348
3.103,0.331
3.1098094,0.319
3.1166188,0.307
3.1234282,0.295
3.1302376,0.285
3.137047,0.273
3.1438376,0.263
3.1506282,0.251
3.1574188,0.241
3.1642094,0.231
3.171,0.217
3.1778093999999997,0.205
3.1846188,0.198
3.1914282,0.193
3.1982376,0.187
3.205047,0.18
3.2118376,0.175
3.2186282,0.17
3.2254188,0.164
3.2322094,0.161
3.239,0.158
3.2458093999999997,0.153
3.2526188,0.151
3.2594282,0.149
3.2662376,0.146
3.273047,0.144
3.2798376,0.142
3.2866282,0.141
3.2934188,0.141
3.3002094,0.141
3.307,0.139
3.3138094,0.13
3.3206188,0.113
3.3274282,0.102
3.3342376000000002,0.081
3.341047,0.061
3.3478376,0.049
3.3546282,0.042
3.3614188,0.04
3.3682094,0.04
3.375,0.042
3.3818094,0.049
3.3886188,0.057
3.3954282,0.068
3.4022376000000003,0.074
3.409047,0.083
3.4158376,0.096
3.4226282,0.102
