sigma,transmittance
453.094,0.899
454.0292528,0.899
454.9645056,0.899
455.8997584,0.9
456.8350112,0.9
457.770264,0.9
458.705517,0.9
459.64077,0.9
460.576023,0.9
461.511276,0.9
462.446529,0.9
463.3817818,0.9
464.3170346,0.9
465.2522874,0.9
466.1875402,0.902
467.122793,0.9
468.058046,0.9
468.993299,0.9
469.928552,0.9
470.863805,0.9
471.799058,0.9
472.7343108,0.9
473.6695636,0.9
474.6048164,0.9
475.5400692,0.9
476.475322,0.902
477.410575,0.902
478.345828,0.903
479.28108100000003,0.903
480.216334,0.904
481.151587,0.903
482.0868398,0.904
483.0220926,0.904
483.9573454,0.905
484.8925982,0.905
485.827851,0.907
486.7631038,0.908
487.6983566,0.907
488.6336094,0.905
489.5688622,0.905
490.504115,0.908
491.439368,0.91
492.374621,0.913
493.30987400000004,0.916
494.245127,0.917
495.18038,0.918
496.1156328,0.916
497.0508856,0.916
497.9861384,0.914
498.9213912,0.914
499.856644,0.913
500.791897,0.912
501.72715,0.912
502.66240300000004,0.91
503.59765600000003,0.91
504.532909,0.909
505.4681618,0.91
506.4034146,0.912
507.3386674,0.913
508.2739202,0.913
509.209173,0.914
510.1444258,0.916
511.0796786,0.917
512.0149314,0.916
512.9501842,0.916
513.885437,0.916
514.82069,0.914
515.755943,0.914
516.691196,0.914
517.626449,0.912
518.561702,0.912
519.4969548,0.913
520.4322076,0.912
521.3674604,0.912
522.3027132,0.912
523.237966,0.912
524.173219,0.91
525.108472,0.91
526.043725,0.91
526.978978,0.914
527.914231,0.917
528.8494838,0.918
529.7847366,0.918
530.7199894,0.918
531.6552422,0.917
532.590495,0.913
533.525748,0.91
534.461001,0.909
535.396254,0.908
536.331507,0.907
537.26676,0.905
538.2020128,0.904
539.1372656,0.903
540.0725184,0.903
541.0077712,0.903
541.943024,0.904
542.8782768,0.904
543.8135296,0.904
544.7487824,0.904
545.6840352,0.903
546.619288,0.903
547.554541,0.902
548.489794,0.902
549.4250470000001,0.902
550.3603,0.9
551.295553,0.898
552.2308058,0.895
553.1660586,0.895
554.1013114,0.893
555.0365642,0.89
555.971817,0.885
556.90707,0.879
557.842323,0.876
558.7775760000001,0.879
559.712829,0.885
560.648082,0.895
561.5833348,0.899
562.5185876,0.902
563.4538404,0.903
564.3890932,0.903
565.324346,0.903
566.259599,0.894
567.194852,0.903
568.1301050000001,0.903
569.0653580000001,0.904
570.000611,0.904
570.9358638,0.904
571.8711166,0.904
572.8063694,0.902
573.7416222,0.899
574.676875,0.896
575.6121278,0.898
576.5473806,0.9
577.4826334,0.903
578.4178862,0.905
579.353139,0.908
580.288392,0.908
581.223645,0.909
582.158898,0.909
583.094151,0.91
584.029404,0.91
584.9646568,0.912
585.8999096,0.91
586.8351624,0.909
587.7704152,0.909
588.705668,0.909
589.6409209999999,0.909
590.5761739999999,0.913
591.511427,0.913
592.44668,0.913
593.381933,0.895
594.3171858,0.888
595.2524386,0.889
596.1876914,0.91
597.1229442,0.912
598.058197,0.905
598.9934498,0.905
599.9287026,0.907
600.8639554,0.907
601.7992082,0.912
602.734461,0.913
603.669714,0.913
604.604967,0.912
605.54022,0.912
606.475473,0.912
607.410726,0.912
608.3459788,0.91
609.2812316,0.909
610.2164844,0.909
611.1517372,0.908
612.08699,0.907
613.022243,0.907
613.957496,0.905
614.892749,0.905
615.828002,0.904
616.763255,0.903
617.6985078,0.903
618.6337606,0.9
619.5690134,0.896
620.5042662,0.895
621.439519,0.894
622.374772,0.894
623.310025,0.893
624.245278,0.893
625.180531,0.89
626.115784,0.889
627.0510368,0.8711
627.9862896,0.862
628.9215424,0.871
629.8567952,0.866
630.792048,0.8579
631.7273008,0.81
632.6625536,0.81
633.5978064,0.835
634.5330592,0.852
635.468312,0.867
636.403565,0.875
637.338818,0.888
638.274071,0.895
639.209324,0.898
640.144577,0.899
641.0798298,0.899
642.0150826,0.903
642.9503354,0.905
643.8855882,0.907
644.820841,0.907
645.756094,0.909
646.691347,0.91
647.6266,0.912
648.561853,0.912
649.497106,0.913
650.4323588,0.913
651.3676116,0.912
652.3028644,0.912
653.2381172,0.908
654.17337,0.902
655.108623,0.908
656.043876,0.908
656.9791290000001,0.908
657.914382,0.91
658.849635,0.91
659.7848878,0.91
660.7201406,0.91
661.6553934,0.912
662.5906462,0.91
663.525899,0.91
664.4611518,0.909
665.3964046,0.909
666.3316574,0.909
667.2669102,0.909
668.202163,0.908
669.137416,0.908
670.072669,0.908
671.007922,0.908
671.943175,0.908
672.878428,0.908
673.8136808,0.908
674.7489336,0.908
675.6841864,0.91
676.6194392,0.909
677.554692,0.909
678.489945,0.909
679.425198,0.908
680.360451,0.907
681.295704,0.904
682.230957,0.904
683.1662098,0.908
684.1014626,0.908
685.0367154,0.908
685.9719682,0.905
686.907221,0.904
687.8424738,0.903
688.7777266,0.903
689.7129794,0.909
690.6482322,0.909
691.583485,0.898
692.518738,0.881
693.453991,0.8611
694.3892440000001,0.8391
695.3244970000001,0.8669
696.25975,0.898
697.1950028,0.899
698.1302556,0.899
699.0655084,0.902
700.0007612,0.902
700.936014,0.899
701.871267,0.896
702.80652,0.893
703.741773,0.895
704.677026,0.894
705.612279,0.891
706.5475318,0.895
707.4827846,0.89
708.4180374,0.894
709.3532902,0.89
710.288543,0.88
711.223796,0.87
712.159049,0.87
713.094302,0.87
714.029555,0.871
714.964808,0.871
715.9000608,0.876
716.8353136,0.886
717.7705664,0.89
718.7058192,0.891
719.641072,0.896
720.5763248,0.898
721.5115776,0.896
722.4468304,0.886
723.3820832,0.882
724.317336,0.87
725.252589,0.863
726.1878419999999,0.863
727.123095,0.88
728.058348,0.874
728.993601,0.868
729.9288538,0.866
730.8641066,0.858
731.7993594,0.8699
732.7346122,0.8859
733.669865,0.889
734.605118,0.849
735.5403709999999,0.879
736.475624,0.89
737.410877,0.879
738.34613,0.8471
739.2813828,0.8181
740.2166356,0.816
741.1518884,0.8429
742.0871412,0.8928
743.022394,0.881
743.9576468,0.875
744.8928996,0.86
745.8281524,0.843
746.7634052,0.8021
747.698658,0.802
748.633911,0.8558
749.569164,0.86
750.504417,0.861
751.43967,0.861
752.374923,0.88
753.3101758,0.88
754.2454286,0.84
755.1806814,0.839
756.1159342,0.842
757.051187,0.844
757.98644,0.854
758.921693,0.865
759.856946,0.872
760.792199,0.8541
761.727452,0.844
762.6627048,0.823
763.5979576,0.844
764.5332104,0.854
765.4684632,0.857
766.403716,0.857
767.338969,0.846
768.274222,0.8301
769.209475,0.7862
770.144728,0.786
771.079981,0.7951
772.0152338,0.857
772.9504866,0.874
773.8857394,0.87
774.8209922,0.866
775.756245,0.858
776.6914978,0.847
777.6267506,0.835
778.5620034,0.8071
779.4972562,0.806
780.432509,0.666
781.367762,0.666
782.303015,0.693
783.2382680000001,0.8338
784.173521,0.8739
785.108774,0.875
786.0440268,0.875
786.9792796,0.7983
787.9145324,0.7602
788.8497852,0.6068
789.785038,0.6062
790.720291,0.76
791.655544,0.828
792.5907970000001,0.874
793.52605,0.871
794.461303,0.8241
795.3965558,0.81
796.3318086,0.7871
797.2670614,0.7541
798.2023142,0.6813
799.137567,0.681
800.07282,0.722
801.008073,0.8209
801.9433260000001,0.861
802.8785790000001,0.87
803.813832,0.879
804.7490848,0.877
805.6843376,0.875
806.6195904,0.8631
807.5548432,0.8242
808.490096,0.554
809.4253488,0.5541
810.3606016,0.692
811.2958544,0.8279
812.2311072,0.863
813.16636,0.862
814.101613,0.7862
815.036866,0.7162
815.972119,0.6463
816.907372,0.5773
817.842625,0.543
818.7778777999999,0.507
819.7131306,0.44
820.6483834,0.6358
821.5836362,0.8476
822.518889,0.8789
823.4541419999999,0.879
824.3893949999999,0.874
825.324648,0.863
826.259901,0.8481
827.195154,0.8338
828.1304068,0.6359
829.0656596,0.436
830.0009124,0.3401
830.9361652,0.8514
831.871418,0.852
832.8066708,0.6465
833.7419236,0.5961
834.6771764,0.594
835.6124292,0.5691
836.547682,0.5451
837.482935,0.694
838.418188,0.8699
839.353441,0.876
840.288694,0.879
841.223947,0.876
842.1591998,0.874
843.0944526,0.871
844.0297054,0.871
844.9649582,0.868
845.900211,0.865
846.835464,0.8608
847.770717,0.603
848.70597,0.3441
849.641223,0.344
850.576476,0.6844
851.5117288,0.8247
852.4469816,0.81
853.3822344,0.7931
854.3174872,0.542
855.25274,0.2904
856.187993,0.812
857.123246,0.832
858.058499,0.851
858.993752,0.874
859.929005,0.877
860.8642578,0.879
861.7995106,0.879
862.7347634,0.877
863.6700162,0.875
864.605269,0.872
865.5405218,0.868
866.4757746,0.848
867.4110274,0.7091
868.3462802,0.4982
869.281533,0.2864
870.216786,0.8387
871.152039,0.6555
872.087292,0.5723
873.022545,0.4893
873.957798,0.82
874.8930508,0.847
875.8283036,0.865
876.7635564,0.877
877.6988092,0.88
