sigma,transmittance
2.512,0.918
2.5179102,0.916
2.5238204,0.916
2.5297306,0.916
2.5356408,0.916
2.541551,0.918
2.5474408,0.918
2.5533306000000002,0.92
2.5592204,0.921
2.5651102000000003,0.922
2.571,0.925
2.5769102,0.926
2.5828204,0.928
2.5887306,0.931
2.5946408,0.931
2.600551,0.932
2.6064407999999997,0.934
2.6123306,0.934
2.6182204,0.935
2.6241102,0.935
2.63,0.935
2.6359102,0.937
2.6418204,0.935
2.6477306,0.935
2.6536408,0.934
2.659551,0.934
2.6654408,0.934
2.6713306,0.935
2.6772204,0.935
2.6831102000000002,0.937
2.689,0.937
2.6949102000000003,0.937
2.7008204,0.937
2.7067306,0.935
2.7126408,0.934
2.718551,0.934
2.7244408,0.932
2.7303306000000003,0.928
2.7362204,0.925
2.7421102000000004,0.919
2.748,0.912
2.7539102,0.904
2.7598204,0.9
2.7657306,0.899
2.7716408,0.897
2.777551,0.897
2.7834407999999997,0.896
2.7893306,0.895
2.7952204,0.894
2.8011102,0.893
2.807,0.89
2.8129102,0.888
2.8188204,0.887
2.8247306,0.884
2.8306408,0.882
2.836551,0.878
2.8424408,0.876
2.8483306,0.874
2.8542204,0.871
2.8601102000000003,0.868
2.866,0.865
2.8719102000000003,0.862
2.8778204,0.859
2.8837306000000003,0.856
2.8896408,0.853
2.895551,0.85
2.9014408,0.849
2.9073306,0.846
2.9132204,0.845
2.9191102,0.844
2.925,0.844
2.9309102,0.844
2.9368203999999998,0.845
2.9427306,0.847
2.9486407999999997,0.85
2.954551,0.855
2.9604407999999998,0.859
2.9663306,0.864
2.9722204,0.866
2.9781102,0.868
2.984,0.87
2.9899102,0.871
2.9958204,0.872
3.0017306,0.872
3.0076408,0.874
3.013551,0.874
3.0194408,0.875
3.0253306,0.875
3.0312204,0.876
3.0371102000000003,0.876
3.043,0.876
3.0489102,0.877
3.0548204,0.877
3.0607306,0.876
3.0666408,0.877
3.072551,0.877
3.0786408,0.878
3.0847306,0.878
3.0908204,0.878
3.0969102,0.878
3.103,0.878
3.1089102,0.878
3.1148204,0.878
3.1207306,0.878
3.1266408,0.878
3.132551,0.878
3.1384407999999997,0.877
3.1443306,0.876
3.1502204,0.875
3.1561102,0.875
3.162,0.874
3.1679102,0.872
3.1738204,0.872
3.1797306,0.871
3.1856408,0.87
3.191551,0.868
3.1974408,0.865
3.2033306,0.861
3.2092204,0.857
3.2151102000000003,0.851
3.221,0.844
3.2269102000000003,0.836
3.2328204,0.825
3.2387306000000002,0.814
3.2446408,0.801
3.250551,0.786
3.2564408,0.769
3.2623306,0.75
3.2682204,0.731
3.2741102,0.73
3.28,0.7
3.2859102,0.686
3.2918203999999998,0.675
3.2977306,0.647
3.3036407999999997,0.637
3.309551,0.624
3.3154407999999997,0.616
3.3213306,0.611
3.3272204,0.596
3.3331102,0.595
3.339,0.596
3.3449102,0.627
3.3508204,0.64
3.3567306,0.652
