sigma,transmittance
235.487,0.651
236.4727614,0.651
237.4585228,0.651
238.4442842,0.651
239.4300456,0.649
240.415807,0.649
241.4015686,0.649
242.3873302,0.649
243.3730918,0.651
244.35885340000002,0.651
245.344615,0.652
246.3303764,0.652
247.3161378,0.652
248.3018992,0.652
249.2876606,0.653
250.273422,0.653
251.2591834,0.655
252.2449448,0.655
253.2307062,0.656
254.2164676,0.656
255.202229,0.657
256.1879904,0.657
257.1737518,0.659
258.1595132,0.66
259.1452746,0.661
260.131036,0.663
261.1167976,0.664
262.1025592,0.665
263.0883208,0.665
264.0740824,0.668
265.059844,0.668
266.0456054,0.669
267.0313668,0.669
268.0171282,0.671
269.0028896,0.672
269.988651,0.675
270.9744124,0.675
271.9601738,0.676
272.9459352,0.677
273.9316966,0.679
274.917458,0.68
275.9032194,0.681
276.8889808,0.681
277.8747422,0.683
278.8605036,0.683
279.846265,0.685
280.8320266,0.687
281.8177882,0.688
282.80354980000004,0.688
283.78931140000003,0.691
284.775073,0.692
285.7608344,0.692
286.7465958,0.693
287.7323572,0.695
288.7181186,0.696
289.70388,0.702
290.6896414,0.702
291.67540280000003,0.704
292.6611642,0.707
293.6469256,0.708
294.632687,0.712
295.6184484,0.718
296.6042098,0.719
297.5899712,0.722
298.5757326,0.727
299.561494,0.738
300.54725559999997,0.74
301.53301719999996,0.742
302.5187788,0.742
303.5045404,0.742
304.490302,0.743
305.4760634,0.743
306.4618248,0.744
307.4475862,0.744
308.4333476,0.744
309.419109,0.744
310.4048704,0.744
311.3906318,0.744
312.3763932,0.744
313.3621546,0.746
314.347916,0.746
315.3336774,0.748
316.3194388,0.75
317.3052002,0.753
318.2909616,0.754
319.276723,0.758
320.2624846,0.762
321.2482462,0.763
322.23400780000003,0.763
323.2197694,0.765
324.205531,0.765
325.1912924,0.765
326.1770538,0.765
327.1628152,0.763
328.1485766,0.763
329.134338,0.762
330.1200994,0.762
331.1058608,0.761
332.0916222,0.761
333.0773836,0.765
334.063145,0.766
335.0489066,0.767
336.0346682,0.767
337.02042980000004,0.766
338.00619140000003,0.766
338.991953,0.765
339.9777144,0.762
340.9634758,0.762
341.94923719999997,0.761
342.9349986,0.761
343.92076,0.761
344.9065214,0.761
345.8922828,0.761
346.8780442,0.761
347.8638056,0.761
348.849567,0.761
349.8353284,0.761
350.8210898,0.759
351.8068512,0.759
352.7926126,0.759
353.778374,0.759
354.7641356,0.759
355.74989719999996,0.761
356.7356588,0.761
357.7214204,0.761
358.707182,0.761
359.6929434,0.761
360.6787048,0.761
361.6644662,0.762
362.6502276,0.762
363.635989,0.763
364.6217504,0.765
365.6075118,0.77
366.5932732,0.773
367.5790346,0.775
368.564796,0.777
369.5505574,0.777
370.5363188,0.778
371.5220802,0.778
372.5078416,0.779
373.493603,0.782
374.4793646,0.783
375.4651262,0.785
376.45088780000003,0.785
377.4366494,0.787
378.422411,0.787
379.4081724,0.789
380.3939338,0.79
381.3796952,0.791
382.3654566,0.791
383.351218,0.791
384.3369794,0.791
385.3227408,0.79
386.3085022,0.79
387.2942636,0.786
388.280025,0.783
389.2657864,0.781
390.2515478,0.778
391.23730919999997,0.775
392.22307059999997,0.773
393.208832,0.771
394.19459359999996,0.769
