sigma,transmittance
450.0,0.0
454.0,0.004028819
458.0,0.005335463
462.0,0.005008802
466.0,0.004246593
470.0,0.005879898
474.0,0.007295429
478.0,0.008493186
482.0,0.009037621000000001
486.0,0.009690943
490.0,0.015135293000000001
494.0,0.020035208
498.0,0.022648496
502.0,0.027439524
506.0,0.034952727
510.0,0.040614851
514.0,0.043445913
518.0,0.041921495
522.0,0.044425896
526.0,0.045623653
530.0,0.037130467
534.0,0.030706134
538.0,0.024064027
542.0,0.020144095
546.0,0.016115276
550.0,0.013828649
554.0,0.010670926
558.0,0.011106474
562.0,0.009146508000000001
566.0,0.010344265
570.0,0.006206559
574.0,0.007077655
578.0,0.005008802
582.0,0.006315446000000001
586.0,0.005553237
590.0,0.005226576
594.0,0.005117689
598.0,0.00762209
602.0,0.006750994
606.0,0.008057638
610.0,0.007077655
614.0,0.006750994
618.0,0.008275412
622.0,0.008057638
626.0,0.008819847
630.0,0.011650909000000001
634.0,0.013937536
638.0,0.015353067
642.0,0.015353067
646.0,0.016441937
650.0,0.018293016000000002
654.0,0.017966355
658.0,0.022104061
662.0,0.02613288
666.0,0.027657298
670.0,0.029943925
674.0,0.027766185000000002
678.0,0.026786202000000002
682.0,0.025370671
686.0,0.025261784000000002
690.0,0.021886287
694.0,0.016768598
698.0,0.013610875
702.0,0.011542022
706.0,0.010562039
710.0,0.009255395
714.0,0.009037621000000001
718.0,0.009908717000000001
722.0,0.010670926
726.0,0.00979983
730.0,0.011106474
734.0,0.010670926
738.0,0.013937536
742.0,0.015461954
746.0,0.018184129
750.0,0.022539609000000002
754.0,0.027766185000000002
758.0,0.035061614
762.0,0.041812608
766.0,0.050305794
770.0,0.057056788000000004
774.0,0.060432285
778.0,0.060214511
782.0,0.064134443
786.0,0.060758946
790.0,0.056076805
794.0,0.051612438000000004
798.0,0.042683704
802.0,0.034517179
806.0,0.02831062
810.0,0.024390688
814.0,0.022757383
818.0,0.021450739
822.0,0.021232965
826.0,0.020361869
830.0,0.019490773
834.0,0.02068853
838.0,0.020252982
842.0,0.018946338
846.0,0.019381886
850.0,0.017966355
854.0,0.016006389
858.0,0.014481971
862.0,0.012957553
866.0,0.010126491
870.0,0.009908717000000001
874.0,0.008275412
878.0,0.008384299
882.0,0.009037621000000001
886.0,0.00871096
890.0,0.008602073
894.0,0.009364282
898.0,0.010453152
902.0,0.012413118
906.0,0.014481971
910.0,0.018837451
914.0,0.022975157
918.0,0.028528394000000002
922.0,0.033428309
926.0,0.037566015
930.0,0.041485947
934.0,0.044099235
938.0,0.047692506
942.0,0.052919082
946.0,0.056403466
950.0,0.057056788000000004
954.0,0.056947901
958.0,0.057274562
962.0,0.057056788000000004
966.0,0.059670076
970.0,0.059670076
974.0,0.059125641
978.0,0.05988785
982.0,0.061847816
986.0,0.062501138
990.0,0.060323398
994.0,0.057056788000000004
998.0,0.055314596
1002.0,0.053463517
1006.0,0.046385862
1010.0,0.038001563
1014.0,0.03157723
1018.0,0.02831062
1022.0,0.027548411000000002
1026.0,0.027983959
1030.0,0.031686117
1034.0,0.035061614
1038.0,0.039525981
1042.0,0.043445913
1046.0,0.045623653
1050.0,0.048563602000000004
1054.0,0.048781376
1058.0,0.047474732
1062.0,0.046168088
1066.0,0.042901478
1070.0,0.039852642
1074.0,0.038219337
1078.0,0.038654885
1082.0,0.040614851
1086.0,0.043337026
1090.0,0.045841427000000004
1094.0,0.048345828
1098.0,0.052701308
1102.0,0.058472319
1106.0,0.06456999100000001
1110.0,0.071103211
1114.0,0.074369821
1118.0,0.07513203
