sigma,transmittance
454.0,0.9076
455.0,0.9078
456.0,0.9079
457.0,0.9081
458.0,0.9083
459.0,0.9084
460.0,0.9086
461.0,0.9089
462.0,0.9091
463.0,0.9093
464.0,0.9095
465.0,0.9097
466.0,0.91
467.0,0.9103
468.0,0.9105
469.0,0.9108
470.0,0.9111
471.0,0.9114
472.0,0.912
473.0,0.9127
474.0,0.9135
475.0,0.9142
476.0,0.915
477.0,0.9158
478.0,0.9165
479.0,0.9177
480.0,0.919
481.0,0.9202
482.0,0.9214
483.0,0.9227
484.0,0.9241
485.0,0.9258
486.0,0.9274
487.0,0.929
488.0,0.9307
489.0,0.9312
490.0,0.9315
491.0,0.9318
492.0,0.9322
493.0,0.9325
494.0,0.9328
495.0,0.9329
496.0,0.9329
497.0,0.933
498.0,0.933
499.0,0.933
500.0,0.9331
501.0,0.9331
502.0,0.9332
503.0,0.9332
504.0,0.9332
505.0,0.9333
506.0,0.9332
507.0,0.9332
508.0,0.9331
509.0,0.9331
510.0,0.9331
511.0,0.933
512.0,0.933
513.0,0.9329
514.0,0.9329
515.0,0.9328
516.0,0.9327
517.0,0.9326
518.0,0.9325
519.0,0.9323
520.0,0.9322
521.0,0.932
522.0,0.9318
523.0,0.9316
524.0,0.9315
525.0,0.9313
526.0,0.9311
527.0,0.931
528.0,0.9308
529.0,0.9305
530.0,0.9299
531.0,0.9293
532.0,0.9288
533.0,0.9282
534.0,0.9276
535.0,0.9271
536.0,0.9265
537.0,0.9259
538.0,0.9254
539.0,0.9248
540.0,0.9242
541.0,0.9236
542.0,0.9231
543.0,0.9224
544.0,0.9216
545.0,0.9209
546.0,0.9201
547.0,0.9194
548.0,0.9186
549.0,0.9179
550.0,0.9171
551.0,0.9164
552.0,0.916
553.0,0.9158
554.0,0.9157
555.0,0.9155
556.0,0.9154
557.0,0.9154
558.0,0.9155
559.0,0.9156
560.0,0.9157
561.0,0.9158
562.0,0.9159
563.0,0.916
564.0,0.9161
565.0,0.9166
566.0,0.9171
567.0,0.9176
568.0,0.9182
569.0,0.9186
570.0,0.919
571.0,0.9193
572.0,0.9196
573.0,0.92
574.0,0.9203
575.0,0.9207
576.0,0.921
577.0,0.9213
578.0,0.9217
579.0,0.922
580.0,0.9224
581.0,0.9227
582.0,0.9231
583.0,0.9234
584.0,0.9238
585.0,0.9243
586.0,0.9248
587.0,0.9253
588.0,0.9258
589.0,0.9263
590.0,0.9268
591.0,0.9273
592.0,0.9278
593.0,0.9283
594.0,0.9317
595.0,0.9293
596.0,0.9298
597.0,0.9303
598.0,0.9307
599.0,0.931
600.0,0.9313
601.0,0.9316
602.0,0.9319
603.0,0.9322
604.0,0.9325
605.0,0.9327
606.0,0.9328
607.0,0.933
608.0,0.9332
609.0,0.9333
610.0,0.9332
611.0,0.933
612.0,0.9326
613.0,0.9321
614.0,0.9317
615.0,0.9313
616.0,0.9309
617.0,0.9305
618.0,0.9301
619.0,0.9297
620.0,0.9292
621.0,0.9288
622.0,0.9284
623.0,0.928
624.0,0.9276
625.0,0.9273
626.0,0.927
627.0,0.9267
628.0,0.9263
629.0,0.926
630.0,0.9257
631.0,0.9254
632.0,0.9251
633.0,0.9248
634.0,0.9244
635.0,0.9241
636.0,0.9238
637.0,0.9235
638.0,0.9232
639.0,0.9229
640.0,0.9226
641.0,0.9224
642.0,0.9222
643.0,0.922
644.0,0.9219
645.0,0.9217
646.0,0.9215
647.0,0.9213
648.0,0.921
649.0,0.9199
650.0,0.9189
651.0,0.9178
652.0,0.9168
653.0,0.9157
654.0,0.9147
655.0,0.9136
656.0,0.9126
657.0,0.9115
658.0,0.9105
659.0,0.9095
660.0,0.9084
661.0,0.9074
662.0,0.9064
663.0,0.9051
664.0,0.9038
665.0,0.9025
666.0,0.9012
667.0,0.8999
668.0,0.8986
669.0,0.8978
670.0,0.9019
671.0,0.9081
672.0,0.9078
673.0,0.898
674.0,0.8825
675.0,0.882
676.0,0.8844
677.0,0.8864
678.0,0.8877
679.0,0.8882
680.0,0.8885
681.0,0.8887
682.0,0.8889
683.0,0.8892
684.0,0.8896
685.0,0.8897
686.0,0.8899
687.0,0.8899
688.0,0.8897
689.0,0.8895
690.0,0.8891
691.0,0.8887
692.0,0.8879
693.0,0.8868
694.0,0.8856
695.0,0.8845
696.0,0.8833
697.0,0.8821
698.0,0.8809
