sigma,transmittance
241.289,0.745
242.2720718,0.745
243.2551436,0.746
244.2382154,0.746
245.2212872,0.748
246.204359,0.748
247.187431,0.748
248.170503,0.749
249.15357500000002,0.75
250.136647,0.754
251.119719,0.758
252.1027908,0.761
253.0858626,0.765
254.0689344,0.774
255.0520062,0.782
256.035078,0.785
257.0181498,0.788
258.0012216,0.793
258.9842934,0.8
259.9673652,0.8129
260.950437,0.814
261.933509,0.816
262.916581,0.817
263.899653,0.82
264.882725,0.821
265.865797,0.824
266.8488688,0.829
267.8319406,0.829
268.8150124,0.832
269.7980842,0.838
270.781156,0.841
271.7642278,0.842
272.7472996,0.844
273.73037139999997,0.848
274.7134432,0.852
275.696515,0.853
276.67958699999997,0.854
277.66265899999996,0.854
278.645731,0.854
279.628803,0.856
280.611875,0.857
281.5949468,0.86
282.5780186,0.861
283.5610904,0.862
284.5441622,0.865
285.527234,0.87
286.5103058,0.87
287.49337760000003,0.873
288.4764494,0.877
289.4595212,0.878
290.442593,0.88
291.425665,0.88
292.408737,0.88
293.391809,0.881
294.374881,0.882
295.357953,0.885
296.3410248,0.886
297.3240966,0.888
298.30716839999997,0.889
299.29024019999997,0.889
300.273312,0.89
301.2563838,0.89
302.2394556,0.89
303.2225274,0.892
304.2055992,0.892
305.188671,0.893
306.171743,0.893
307.154815,0.893
308.13788700000003,0.893
309.120959,0.893
310.104031,0.894
311.0871028,0.894
312.07017460000003,0.894
313.0532464,0.897
314.0363182,0.898
315.01939,0.901
316.0024618,0.904
316.9855336,0.908
317.9686054,0.91
318.9516772,0.913
319.934749,0.916
320.917821,0.918
321.900893,0.918
322.883965,0.92
323.867037,0.921
324.850109,0.922
325.8331808,0.922
326.8162526,0.925
327.7993244,0.928
328.7823962,0.929
329.765468,0.93
330.7485398,0.93
331.7316116,0.932
332.7146834,0.932
333.6977552,0.933
334.680827,0.933
335.663899,0.933
336.646971,0.933
337.630043,0.933
338.613115,0.933
339.596187,0.933
340.5792588,0.933
341.5623306,0.933
342.5454024,0.933
343.5284742,0.933
344.511546,0.933
345.494618,0.933
346.47769,0.933
347.460762,0.933
348.443834,0.933
349.426906,0.933
350.4099778,0.933
351.3930496,0.933
352.3761214,0.933
353.3591932,0.933
354.342265,0.933
355.3253368,0.933
356.3084086,0.933
357.2914804,0.933
358.2745522,0.933
359.257624,0.934
360.240696,0.934
361.223768,0.934
362.20684,0.934
363.189912,0.934
364.172984,0.934
365.1560558,0.936
366.1391276,0.936
367.1221994,0.936
368.1052712,0.937
369.088343,0.937
370.0714148,0.938
371.0544866,0.938
372.03755839999997,0.941
373.02063019999997,0.942
374.003702,0.942
374.98677399999997,0.942
375.96984599999996,0.941
376.952918,0.941
377.93599,0.941
378.919062,0.938
379.9021338,0.934
380.8852056,0.926
381.8682774,0.922
382.8513492,0.916
383.834421,0.91
384.8174928,0.906
385.80056460000003,0.904
386.7836364,0.9
387.7667082,0.898
388.74978,0.894
389.732852,0.89
390.715924,0.878
391.698996,0.876
392.682068,0.87
393.66514,0.857
394.6482118,0.853
395.6312836,0.841
396.61435539999997,0.8171
397.59742719999997,0.7931
398.580499,0.786
399.5635708,0.768
400.5466426,0.746
401.5297144,0.708
402.5127862,0.705
403.495858,0.708
404.47893,0.718
405.462002,0.729
406.44507400000003,0.741
407.428146,0.75
408.411218,0.766
409.3942898,0.797
410.37736160000003,0.818
411.3604334,0.841
412.3435052,0.849
413.326577,0.853
414.3096488,0.865
415.2927206,0.878
416.2757924,0.881
417.2588642,0.882
418.241936,0.888
419.225008,0.892
420.20808,0.893
421.191152,0.894
422.174224,0.896
423.157296,0.897
424.1403678,0.897
425.1234396,0.897
426.1065114,0.897
427.0895832,0.897
428.072655,0.896
429.0557268,0.894
430.0387986,0.894
431.0218704,0.893
432.0049422,0.892
432.988014,0.892
433.971086,0.89
434.954158,0.889
435.93723,0.888
436.920302,0.886
437.903374,0.885
438.8864458,0.885
439.8695176,0.884
440.8525894,0.882
441.8356612,0.881
442.818733,0.881
443.8018048,0.88
444.7848766,0.876
445.76794839999997,0.874
446.75102019999997,0.873
447.734092,0.873
448.71716399999997,0.872
449.70023599999996,0.869
450.683308,0.861
451.66638,0.856
452.649452,0.852
453.6325238,0.849
454.6155956,0.848
455.5986674,0.846
456.5817392,0.845
457.564811,0.844
458.5478828,0.844
459.53095460000003,0.845
460.5140264,0.846
461.4970982,0.848
462.48017,0.849
463.463242,0.852
464.446314,0.853
465.429386,0.853
466.412458,0.854
467.39553,0.854
468.3786018,0.854
469.3616736,0.854
470.34474539999997,0.854
471.32781719999997,0.854
472.310889,0.854
473.2939608,0.856
474.2770326,0.856
475.2601044,0.856
476.2431762,0.854
477.226248,0.853
478.20932,0.853
479.192392,0.852
480.17546400000003,0.848
481.158536,0.846
482.141608,0.845
483.1246798,0.844
484.10775160000003,0.844
485.0908234,0.844
486.0738952,0.841
487.056967,0.84
488.0400388,0.84
489.0231106,0.838
490.0061824,0.836
490.9892542,0.833
491.972326,0.832
492.955398,0.83
493.93847,0.829
494.921542,0.829
495.904614,0.828
496.887686,0.826
497.8707578,0.824
498.8538296,0.82
499.8369014,0.816
500.8199732,0.81
501.803045,0.808
502.7861168,0.797
503.7691886,0.794
504.7522604,0.793
505.7353322,0.7801
506.718404,0.77
507.701476,0.765
508.684548,0.754
509.66762,0.726
510.650692,0.702
511.633764,0.69
512.6168358,0.6651
513.5999076,0.6501
514.5829794,0.648
515.5660512,0.65
516.549123,0.661
517.5321948,0.673
518.5152666,0.685
519.4983384,0.708
520.4814102,0.712
521.464482,0.732
522.447554,0.7559
523.430626,0.765
524.4136980000001,0.77
525.3967700000001,0.78
526.379842,0.79
527.3629138,0.792
528.3459856000001,0.797
529.3290574,0.802
530.3121292000001,0.804
531.295201,0.806
532.278273,0.808
533.261345,0.81
534.244417,0.812
535.227489,0.814
536.210561,0.816
537.1936327999999,0.816
538.1767046,0.817
539.1597763999999,0.818
540.1428482,0.82
541.12592,0.821
542.1089918,0.822
543.0920636,0.822
544.0751354,0.822
545.0582072,0.822
546.041279,0.822
547.024351,0.821
548.007423,0.818
548.990495,0.818
549.973567,0.817
550.956639,0.812
551.9397108,0.81
552.9227826,0.809
553.9058544,0.806
554.8889262,0.804
555.871998,0.802
556.8550698,0.801
557.8381416,0.798
558.8212134,0.797
559.8042852,0.796
560.787357,0.794
561.770429,0.792
562.753501,0.789
563.736573,0.789
564.719645,0.786
565.702717,0.784
566.6857888,0.776
567.6688606,0.77
568.6519324,0.769
569.6350042,0.761
570.618076,0.758
571.6011478,0.753
572.5842196,0.744
573.5672914,0.7251
574.5503632,0.72
575.533435,0.713
576.516507,0.705
577.499579,0.676
578.482651,0.669
579.465723,0.644
580.448795,0.625
581.4318668,0.602
582.4149386,0.592
583.3980104,0.576
584.3810822,0.574
585.364154,0.576
586.3472257999999,0.582
587.3302976,0.59
588.3133693999999,0.614
589.2964412,0.638
590.279513,0.669
591.262585,0.7079
592.2456569999999,0.726
593.228729,0.741
594.211801,0.7609
595.194873,0.777
596.1779448,0.792
597.1610166,0.798
598.1440884,0.806
599.1271602,0.812
600.110232,0.813
601.0933038,0.8419
602.0763756,0.844
603.0594474,0.846
604.0425192,0.848
605.025591,0.849
606.008663,0.85
606.991735,0.852
607.974807,0.853
608.957879,0.854
609.940951,0.856
610.9240228,0.857
611.9070946,0.858
612.8901664,0.86
613.8732382000001,0.861
614.85631,0.861
615.8393818,0.862
616.8224536,0.862
617.8055254,0.864
618.7885972,0.864
619.771669,0.865
620.754741,0.865
621.737813,0.866
622.7208850000001,0.866
623.7039570000001,0.868
624.687029,0.868
625.6701008,0.869
626.6531726000001,0.869
627.6362444,0.87
628.6193162000001,0.87
629.602388,0.87
630.5854598,0.87
631.5685316,0.87
632.5516034,0.872
633.5346752,0.872
634.517747,0.872
635.500819,0.872
636.483891,0.872
637.466963,0.873
638.450035,0.873
639.433107,0.873
640.4161788,0.873
641.3992506,0.873
642.3823224,0.874
643.3653942,0.874
644.348466,0.874
645.3315378,0.874
646.3146096,0.874
647.2976814,0.874
648.2807532,0.876
649.263825,0.876
650.246897,0.876
651.229969,0.876
652.213041,0.876
653.196113,0.876
654.179185,0.876
655.1622568,0.876
656.1453286,0.876
657.1284004,0.876
658.1114722,0.876
659.094544,0.876
660.0776158,0.876
661.0606876,0.876
662.0437594,0.876
663.0268312000001,0.876
664.009903,0.876
664.992975,0.876
665.976047,0.876
666.959119,0.876
667.942191,0.876
668.925263,0.876
669.9083348,0.876
670.8914066,0.876
671.8744784,0.876
672.8575502,0.876
673.840622,0.876
674.8236938,0.876
675.8067656000001,0.876
676.7898374,0.876
677.7729092000001,0.876
678.755981,0.876
679.739053,0.876
680.722125,0.874
681.705197,0.874
682.688269,0.874
683.671341,0.873
684.6544127999999,0.873
685.6374846,0.873
686.6205563999999,0.872
687.6036282,0.872
688.5867,0.872
689.5697718,0.87
690.5528436,0.87
691.5359154,0.87
692.5189872,0.869
693.502059,0.869
694.485131,0.869
695.468203,0.868
696.451275,0.868
697.434347,0.868
698.417419,0.866
699.4004908,0.866
700.3835626,0.865
701.3666344,0.865
702.3497062,0.864
703.332778,0.864
704.3158498,0.864
705.2989216,0.862
706.2819934,0.862
707.2650652,0.861
708.248137,0.861
709.231209,0.861
710.214281,0.86
711.197353,0.86
712.180425,0.856
713.163497,0.853
714.1465688,0.852
715.1296406,0.852
716.1127124,0.852
717.0957842,0.85
718.078856,0.85
719.061928,0.849
720.045,0.849
721.0280720000001,0.848
722.0111440000001,0.845
722.994216,0.842
723.9772878,0.834
724.9603596000001,0.833
725.9434314,0.832
726.9265032000001,0.83
727.909575,0.828
728.8926468,0.825
729.8757186,0.822
730.8587904,0.818
731.8418622,0.81
732.824934,0.8
733.808006,0.796
734.791078,0.793
735.77415,0.78
736.757222,0.776
737.740294,0.769
738.7233658,0.766
739.7064376,0.7481
740.6895094,0.7241
741.6725812,0.6921
742.655653,0.681
743.6387248,0.665
744.6217966,0.652
745.6048684,0.628
746.5879402,0.613
747.571012,0.609
748.554084,0.604
749.537156,0.601
750.520228,0.598
751.5033,0.596
752.486372,0.593
753.4694438,0.592
754.4525156,0.588
755.4355874,0.585
756.4186592,0.585
757.401731,0.586
758.3848028,0.593
759.3678746,0.601
760.3509464,0.6289
761.3340182000001,0.6609
762.31709,0.686
763.300162,0.728
764.283234,0.75
765.266306,0.76
766.249378,0.772
767.23245,0.793
768.2155218,0.798
769.1985936,0.801
770.1816654,0.814
771.1647372,0.82
772.147809,0.821
773.1308808,0.824
774.1139526000001,0.825
775.0970244,0.826
776.0800962000001,0.829
777.063168,0.83
778.04624,0.832
779.029312,0.832
780.012384,0.832
780.995456,0.832
781.978528,0.832
782.9615997999999,0.832
783.9446716,0.832
784.9277433999999,0.833
785.9108152,0.834
786.893887,0.834
787.8769588,0.836
788.8600306,0.837
789.8431024,0.838
790.8261742,0.84
791.809246,0.841
792.792318,0.841
793.77539,0.841
794.758462,0.842
795.741534,0.842
796.724606,0.844
797.7076777999999,0.845
798.6907496,0.846
799.6738214,0.846
800.6568932,0.848
801.639965,0.85
802.6230368,0.852
803.6061086,0.853
804.5891804,0.853
805.5722522,0.854
806.555324,0.854
807.538396,0.853
808.521468,0.852
809.50454,0.852
810.487612,0.852
811.470684,0.852
812.4537558,0.853
813.4368276,0.854
814.4198994,0.857
815.4029712,0.858
816.386043,0.86
817.3691148,0.86
818.3521866,0.861
819.3352584,0.862
820.3183302,0.864
821.301402,0.864
822.284474,0.865
823.267546,0.866
824.250618,0.866
825.23369,0.868
826.216762,0.869
827.1998338,0.869
828.1829056,0.87
829.1659774,0.87
830.1490492,0.872
831.132121,0.872
832.1151927999999,0.872
833.0982646,0.87
834.0813363999999,0.869
835.0644082,0.868
836.04748,0.866
837.030552,0.864
838.0136239999999,0.861
838.996696,0.857
839.979768,0.854
840.96284,0.85
841.9459118,0.846
842.9289836,0.846
843.9120554,0.844
844.8951272,0.844
845.878199,0.842
846.8612707999999,0.842
847.8443426,0.841
848.8274144,0.84
849.8104862,0.84
850.793558,0.838
851.77663,0.837
852.759702,0.837
853.742774,0.837
854.725846,0.837
855.708918,0.837
856.6919898,0.836
857.6750616,0.836
858.6581334,0.836
859.6412052000001,0.836
860.624277,0.836
861.6073488,0.836
862.5904206,0.837
863.5734924,0.837
864.5565642,0.838
865.539636,0.838
866.522708,0.84
867.50578,0.84
868.4888520000001,0.84
869.4719240000001,0.84
870.454996,0.84
871.4380678,0.838
872.4211396000001,0.838
873.4042114,0.837
874.3872832000001,0.837
875.370355,0.84
876.3534268,0.84
877.3364986,0.842
878.3195704,0.842
879.3026422,0.84
880.285714,0.838
881.268786,0.837
882.251858,0.836
883.23493,0.836
884.218002,0.837
885.201074,0.838
886.1841458,0.838
887.1672176,0.838
888.1502894,0.837
889.1333612,0.836
890.116433,0.836
891.0995048,0.834
892.0825766,0.833
893.0656484,0.833
894.0487202,0.832
895.031792,0.826
896.014864,0.814
896.997936,0.812
897.981008,0.808
898.96408,0.804
899.947152,0.8
900.9302238,0.796
901.9132956,0.794
902.8963674,0.792
903.8794392,0.781
904.862511,0.78
905.845583,0.776
906.828655,0.772
907.811727,0.77
908.794799,0.765
909.777871,0.758
910.7609428,0.744
911.7440146,0.726
912.7270864,0.722
913.7101582,0.714
914.69323,0.71
915.6763018,0.706
916.6593736,0.688
917.6424454,0.669
918.6255172,0.6521
919.608589,0.646
920.591661,0.618
921.574733,0.586
922.557805,0.554
923.540877,0.538
924.523949,0.524
925.5070208,0.509
926.4900926,0.494
927.4731644,0.484
928.4562362,0.473
929.439308,0.45
930.4223797999999,0.433
931.4054516,0.42
932.3885233999999,0.408
933.3715952,0.4
934.354667,0.392
935.3377389999999,0.385
936.3208109999999,0.377
937.303883,0.368
938.286955,0.365
939.270027,0.364
940.2530988,0.364
941.2361706,0.364
942.2192424,0.365
943.2023142,0.373
944.185386,0.38
945.1684577999999,0.388
946.1515296,0.41
947.1346014,0.414
948.1176732,0.429
949.100745,0.444
950.083817,0.458
951.066889,0.496
952.049961,0.52
953.033033,0.534
954.016105,0.544
954.9991768,0.558
955.9822486,0.572
956.9653204,0.5929
957.9483922000001,0.6099
958.931464,0.621
959.9145358,0.637
960.8976076,0.649
961.8806794,0.664
962.8637512,0.674
963.846823,0.678
964.829895,0.682
965.812967,0.686
966.7960390000001,0.693
967.7791110000001,0.7
968.762183,0.705
969.7452548,0.706
970.7283266000001,0.71
971.7113984,0.713
972.6944702000001,0.717
973.677542,0.72
974.6606138,0.721
975.6436856,0.721
976.6267574,0.721
977.6098292,0.72
978.592901,0.717
979.575973,0.714
980.559045,0.71
981.542117,0.706
982.525189,0.702
983.508261,0.697
984.4913328,0.692
985.4744046,0.682
986.4574764,0.672
987.4405482,0.661
988.42362,0.652
989.4066918,0.641
990.3897636,0.638
991.3728354,0.64
992.3559072,0.644
993.338979,0.649
994.322051,0.656
995.305123,0.674
996.288195,0.688
997.271267,0.692
998.254339,0.71
999.2374108,0.725
1000.2204826,0.728
1001.2035544,0.734
1002.1866262,0.744
1003.169698,0.758
1004.1527698,0.761
1005.1358416,0.762
1006.1189134,0.769
1007.1019852000001,0.77
1008.085057,0.772
1009.068129,0.773
1010.051201,0.774
1011.034273,0.776
1012.017345,0.776
1013.000417,0.776
1013.9834888,0.777
1014.9665606,0.777
1015.9496324,0.778
1016.9327042,0.78
1017.915776,0.782
1018.8988478,0.784
1019.8819196000001,0.785
1020.8649914,0.786
1021.8480632000001,0.786
1022.831135,0.786
1023.814207,0.788
1024.7972790000001,0.788
1025.780351,0.788
1026.763423,0.788
1027.746495,0.788
1028.7295668000002,0.789
1029.7126386,0.79
1030.6957104,0.79
1031.6787822,0.792
1032.661854,0.792
1033.6449258,0.792
1034.6279976,0.793
1035.6110694,0.793
1036.5941412,0.793
1037.577213,0.792
1038.560285,0.79
1039.543357,0.789
1040.526429,0.788
1041.509501,0.786
1042.492573,0.784
1043.4756448,0.782
1044.4587166000001,0.781
1045.4417884,0.78
1046.4248602,0.778
1047.407932,0.777
1048.3910038000001,0.776
1049.3740756,0.773
1050.3571474,0.77
1051.3402191999999,0.768
1052.323291,0.765
1053.306363,0.764
1054.289435,0.764
1055.272507,0.761
1056.255579,0.761
1057.238651,0.76
1058.2217228,0.758
1059.2047946,0.756
1060.1878663999998,0.749
1061.1709382,0.745
1062.15401,0.738
1063.1370818,0.73
1064.1201536,0.725
1065.1032254,0.722
1066.0862972,0.709
1067.069369,0.706
1068.052441,0.694
1069.035513,0.692
1070.018585,0.676
1071.001657,0.66
1071.984729,0.65
1072.9678008,0.642
1073.9508726000001,0.632
1074.9339444,0.62
1075.9170162,0.614
1076.900088,0.601
1077.8831598000002,0.59
1078.8662316,0.582
1079.8493034,0.568
1080.8323752,0.549
1081.815447,0.546
1082.798519,0.548
1083.781591,0.554
1084.764663,0.557
1085.747735,0.565
1086.730807,0.592
1087.7138788,0.616
1088.6969506,0.632
1089.6800223999999,0.656
1090.6630942,0.67
1091.646166,0.682
1092.629238,0.685
1093.61231,0.69
1094.595382,0.692
1095.578454,0.692
1096.561526,0.692
1097.5445978,0.692
1098.5276696,0.69
1099.5107414,0.685
1100.4938132,0.684
1101.476885,0.684
1102.4599568,0.686
1103.4430286,0.694
1104.4261004,0.697
1105.4091721999998,0.705
1106.392244,0.71
1107.3753159999999,0.716
1108.3583879999999,0.718
1109.34146,0.722
1110.324532,0.724
1111.307604,0.725
1112.2906758000001,0.728
1113.2737476,0.729
1114.2568194,0.729
1115.2398911999999,0.729
1116.222963,0.729
1117.2060348,0.728
1118.1891066,0.728
1119.1721784,0.726
1120.1552502,0.721
1121.138322,0.717
1122.121394,0.714
1123.104466,0.712
1124.087538,0.71
1125.07061,0.709
1126.053682,0.709
