sigma,transmittance
450.0,0.008923568
454.0,0.0054412
458.0,0.000299266
462.0,0.007155178
466.0,0.00326472
470.0,0.004162518
474.0,0.004733844
478.0,0.00856989
482.0,0.003645604
486.0,0.0054412
490.0,0.006039732
494.0,0.006094144
498.0,0.006230174
502.0,0.008624302
506.0,0.008216212
510.0,0.004543402
514.0,0.006338998
518.0,0.005087522
522.0,0.006230174
526.0,0.007644886
530.0,0.007100766
534.0,0.007563268
538.0,0.005604436
542.0,0.00652944
546.0,0.003155896
550.0,0.00448899
554.0,0.005196346
558.0,0.004706638
562.0,0.004108106
566.0,0.00584929
570.0,0.005550024
574.0,0.003863252
578.0,0.004652226
582.0,0.007372826
586.0,0.00435296
590.0,0.004108106
594.0,0.00652944
598.0,0.00503311
602.0,0.004570608
606.0,0.007536062
610.0,0.005686054
614.0,0.007019148
618.0,0.004543402
622.0,0.007644886
626.0,0.005550024
630.0,0.003999282
634.0,0.004869874
638.0,0.005087522
642.0,0.005196346
646.0,0.005767672
650.0,0.005658848
654.0,0.007019148
658.0,0.007100766
662.0,0.006475028
666.0,0.00870592
670.0,0.007236796
674.0,0.005141934
678.0,0.006475028
682.0,0.007372826
686.0,0.005958114
690.0,0.004815462
694.0,0.005359582
698.0,0.0070735600000000004
702.0,0.006366204
706.0,0.005386788
710.0,0.004434578
714.0,0.003972076
718.0,0.006910324
722.0,0.004162518
726.0,0.00571326
730.0,0.00448899
734.0,0.005604436
738.0,0.004570608
742.0,0.0061757620000000004
746.0,0.005767672
750.0,0.00421693
754.0,0.004570608
758.0,0.00476105
762.0,0.0061757620000000004
766.0,0.004108106
770.0,0.004325754
774.0,0.004652226
778.0,0.004407372
782.0,0.004516196
786.0,0.005604436
790.0,0.005958114
794.0,0.004108106
798.0,0.006311792
802.0,0.005223552
806.0,0.0052779640000000004
810.0,0.004815462
814.0,0.005060316
818.0,0.005794878
822.0,0.004978698
826.0,0.005658848
830.0,0.0054412
834.0,0.00584929
838.0,0.00516914
842.0,0.004788256
846.0,0.005196346
850.0,0.0052779640000000004
854.0,0.004924286
858.0,0.00448899
862.0,0.004162518
866.0,0.003917664
870.0,0.00476105
874.0,0.00421693
878.0,0.004597814
882.0,0.004978698
886.0,0.00503311
890.0,0.004924286
894.0,0.005386788
898.0,0.004706638
902.0,0.005114728
906.0,0.004706638
910.0,0.004325754
914.0,0.004924286
918.0,0.00476105
922.0,0.005196346
926.0,0.004407372
930.0,0.005223552
934.0,0.005930908
938.0,0.004924286
942.0,0.0043801660000000004
946.0,0.004788256
950.0,0.005060316
954.0,0.004951492
958.0,0.004951492
962.0,0.004842668
966.0,0.004271342
970.0,0.004679432
974.0,0.00530517
978.0,0.004869874
982.0,0.004978698
986.0,0.004325754
990.0,0.004407372
994.0,0.004189724
998.0,0.004298548
1002.0,0.0043801660000000004
1006.0,0.004325754
1010.0,0.004298548
1014.0,0.0040809
1018.0,0.004461784
1022.0,0.004516196
1026.0,0.004706638
1030.0,0.0043801660000000004
1034.0,0.004978698
1038.0,0.004407372
1042.0,0.004108106
1046.0,0.004543402
1050.0,0.004815462
1054.0,0.004325754
1058.0,0.0040809
1062.0,0.004570608
1066.0,0.004407372
1070.0,0.004271342
1074.0,0.0040809
1078.0,0.004407372
1082.0,0.004570608
1086.0,0.004679432
1090.0,0.004407372
1094.0,0.00462502
1098.0,0.00476105
1102.0,0.004298548
1106.0,0.004570608
1110.0,0.004053694
1114.0,0.004461784
1118.0,0.003727222
1122.0,0.004189724
1126.0,0.003999282
1130.0,0.004108106
1134.0,0.003999282
1138.0,0.004026488
1142.0,0.004271342
1146.0,0.004271342
1150.0,0.0040809
1154.0,0.003972076
1158.0,0.003836046
1162.0,0.003563986
1166.0,0.003999282
1170.0,0.00435296
1174.0,0.003972076
1178.0,0.004189724
1182.0,0.003999282
1186.0,0.004108106
1190.0,0.003917664
1194.0,0.004026488
1198.0,0.003890458
1202.0,0.004189724
1206.0,0.003591192
1210.0,0.00394487
1214.0,0.00435296
1218.0,0.0040809
1222.0,0.004407372
1226.0,0.00435296
1230.0,0.003890458
1234.0,0.003700016
1238.0,0.003727222
1242.0,0.003890458
1246.0,0.004516196
1250.0,0.004108106
1254.0,0.004325754
1258.0,0.003754428
1262.0,0.00380884
1266.0,0.003700016
1270.0,0.003455162
1274.0,0.00380884
1278.0,0.003890458
1282.0,0.003482368
1286.0,0.003563986
1290.0,0.003319132
1294.0,0.003509574
1298.0,0.003455162
1302.0,0.003019866
1306.0,0.003618398
1310.0,0.00326472
1314.0,0.003183102
1318.0,0.003591192
1322.0,0.003645604
1326.0,0.004026488
1330.0,0.00394487
1334.0,0.004108106
1338.0,0.003346338
1342.0,0.003346338
1346.0,0.003591192
1350.0,0.0035367800000000002
1354.0,0.003700016
1358.0,0.0035367800000000002
1362.0,0.003237514
1366.0,0.003863252
1370.0,0.003645604
1374.0,0.003427956
1378.0,0.003563986
1382.0,0.003482368
1386.0,0.003237514
1390.0,0.003346338
1394.0,0.003019866
1398.0,0.002693394
1402.0,0.003101484
1406.0,0.003373544
1410.0,0.00326472
1414.0,0.00326472
1418.0,0.00312869
1422.0,0.003836046
1426.0,0.003427956
1430.0,0.00299266
1434.0,0.002530158
1438.0,0.0027206
1442.0,0.003237514
1446.0,0.002829424
1450.0,0.00312869
1454.0,0.002666188
1458.0,0.003863252
1462.0,0.002829424
1466.0,0.002339716
1470.0,0.002911042
1474.0,0.003047072
1478.0,0.002938248
1482.0,0.0027206
1486.0,0.003291926
1490.0,0.002285304
1494.0,0.003591192
1498.0,0.003210308
1502.0,0.003101484
1506.0,0.002530158
1510.0,0.002394128
1514.0,0.00258457
1518.0,0.002339716
1522.0,0.002829424
1526.0,0.002747806
1530.0,0.003074278
1534.0,0.002094862
1538.0,0.003482368
1542.0,0.002802218
1546.0,0.002693394
1550.0,0.002938248
1554.0,0.002965454
1558.0,0.003482368
1562.0,0.003319132
1566.0,0.00285663
1570.0,0.002666188
1574.0,0.002775012
1578.0,0.00312869
1582.0,0.002802218
1586.0,0.00244854
1590.0,0.002693394
1594.0,0.002611776
1598.0,0.002883836
1602.0,0.00258457
1606.0,0.002829424
1610.0,0.003183102
1614.0,0.002965454
1618.0,0.002911042
1622.0,0.002339716
1626.0,0.002693394
1630.0,0.002611776
1634.0,0.003237514
1638.0,0.002693394
1642.0,0.003291926
1646.0,0.003074278
1650.0,0.002965454
1654.0,0.003291926
1658.0,0.003319132
1662.0,0.002530158
1666.0,0.0027206
1670.0,0.0027206
1674.0,0.0026389820000000002
1678.0,0.002421334
1682.0,0.002775012
1686.0,0.003237514
1690.0,0.002611776
1694.0,0.0026389820000000002
1698.0,0.003101484
1702.0,0.001877214
1706.0,0.002203686
1710.0,0.002122068
1714.0,0.002285304
1718.0,0.00244854
1722.0,0.00285663
1726.0,0.001986038
1730.0,0.001877214
1734.0,0.003183102
1738.0,0.002366922
1742.0,0.00231251
1746.0,0.00149633
1750.0,0.002394128
1754.0,0.002203686
1758.0,0.002530158
1762.0,0.002285304
1766.0,0.002666188
1770.0,0.00258457
1774.0,0.002149274
1778.0,0.002421334
1782.0,0.002013244
1786.0,0.002747806
1790.0,0.002149274
1794.0,0.002611776
1798.0,0.001958832
1802.0,0.002067656
1806.0,0.0026389820000000002
1810.0,0.002339716
1814.0,0.002258098
1818.0,0.002203686
1822.0,0.002067656
1826.0,0.001659566
1830.0,0.002230892
1834.0,0.002122068
1838.0,0.002285304
1842.0,0.001523536
1846.0,0.002122068
1850.0,0.001713978
1854.0,0.001686772
1858.0,0.00149633
1862.0,0.001469124
1866.0,0.00149633
1870.0,0.000897798
1874.0,0.002502952
1878.0,0.001741184
1882.0,0.002094862
1886.0,0.00163236
1890.0,0.00244854
1894.0,0.001877214
1898.0,0.0017683900000000001
1902.0,0.001931626
1906.0,0.001577948
1910.0,0.00231251
1914.0,0.001795596
1918.0,0.0027206
1922.0,0.002339716
1926.0,0.002502952
1930.0,0.002258098
1934.0,0.00244854
1938.0,0.002339716
1942.0,0.002339716
1946.0,0.002394128
1950.0,0.00204045
1954.0,0.002911042
1958.0,0.002747806
1962.0,0.003482368
1966.0,0.00231251
1970.0,0.003754428
1974.0,0.003237514
1978.0,0.003700016
1982.0,0.003563986
1986.0,0.00462502
1990.0,0.006991942
1994.0,0.00788974
1998.0,0.010120632
2002.0,0.010283868
2006.0,0.013494176
2010.0,0.017901548
2014.0,0.02543761
2018.0,0.028593506
2022.0,0.028457476
2026.0,0.03142293
2030.0,0.039938408
2034.0,0.05468406
2038.0,0.060887028
2042.0,0.062655418
2046.0,0.067661322
2050.0,0.078190044
2054.0,0.081808442
2058.0,0.093098932
2062.0,0.101859264
2066.0,0.12052258
2070.0,0.137689566
2074.0,0.145307246
2078.0,0.156951414
2082.0,0.164922772
2086.0,0.167888226
2090.0,0.16337203
2094.0,0.17207795
2098.0,0.176757382
2102.0,0.192428038
2106.0,0.194577312
2110.0,0.214220044
2114.0,0.215553138
2118.0,0.213403864
2122.0,0.210411204
2126.0,0.1918023
2130.0,0.185327272
2134.0,0.15986245600000001
2138.0,0.16391615
2142.0,0.064559838
2146.0,0.076122388
2150.0,0.138097656
2154.0,0.176213262
2158.0,0.20826193
2162.0,0.231631884
2166.0,0.236392934
2170.0,0.261531278
2174.0,0.26185775
2178.0,0.27206
2182.0,0.26280996
2186.0,0.266591594
2190.0,0.252716534
2194.0,0.240528246
2198.0,0.226163478
2202.0,0.209241346
2206.0,0.191367004
2210.0,0.170336766
2214.0,0.154421256
2218.0,0.132411602
2222.0,0.1156255
2226.0,0.096091592
2230.0,0.082243738
2234.0,0.065239988
2238.0,0.053242142
2242.0,0.042114888
2246.0,0.031885432
2250.0,0.022934658
2254.0,0.014664034
2258.0,0.011127254
2262.0,0.006066938
2266.0,0.00462502
2270.0,0.003183102
2274.0,0.003047072
2278.0,0.001523536
2282.0,0.00204045
2286.0,0.002258098
2290.0,0.002394128
2294.0,0.002611776
2298.0,0.002394128
2302.0,0.003591192
2306.0,0.001822802
2310.0,0.003618398
2314.0,0.002666188
2318.0,0.003101484
2322.0,0.003427956
2326.0,0.003972076
2330.0,0.004053694
2334.0,0.001958832
2338.0,0.002475746
2342.0,0.001713978
2346.0,0.003183102
2350.0,0.001958832
2354.0,0.003863252
2358.0,0.003074278
2362.0,0.001850008
2366.0,0.002339716
2370.0,0.002067656
2374.0,0.002666188
2378.0,0.001877214
2382.0,0.002530158
2386.0,0.000598532
2390.0,0.000925004
2394.0,0.000163236
2398.0,0.001142652
2402.0,0.000870592
2406.0,0.001115446
2410.0,0.000788974
2414.0,0.001115446
2418.0,0.00095221
2422.0,0.000435296
2426.0,0.00068015
2430.0,0.000217648
2434.0,0.000979416
2438.0,0.000843386
2442.0,0.001197064
2446.0,0.000925004
2450.0,0.001006622
2454.0,0.00095221
2458.0,0.000652944
2462.0,0.000897798
2466.0,0.000571326
2470.0,0.001115446
2474.0,0.000598532
2478.0,0.000870592
2482.0,0.00040809
2486.0,0.000843386
2490.0,0.000435296
2494.0,0.000707356
2498.0,0.000734562
2502.0,0.000353678
2506.0,0.00040809
2510.0,0.000489708
2514.0,0.000598532
2518.0,0.00040809
2522.0,0.001115446
2526.0,0.000870592
2530.0,0.001197064
2534.0,0.000788974
2538.0,0.000870592
2542.0,0.000979416
2546.0,0.000353678
2550.0,0.001006622
2554.0,0.001197064
2558.0,0.001469124
2562.0,0.000870592
2566.0,0.001414712
2570.0,0.001033828
2574.0,0.001251476
2578.0,0.001305888
2582.0,0.001387506
2586.0,0.001305888
2590.0,0.001441918
2594.0,0.001414712
2598.0,0.000897798
2602.0,0.001333094
2606.0,0.000734562
2610.0,0.001278682
2614.0,0.000761768
2618.0,0.00081618
2622.0,0.000925004
2626.0,0.000897798
2630.0,0.00081618
2634.0,0.000652944
2638.0,0.00122427
2642.0,0.000897798
2646.0,0.001550742
2650.0,0.00081618
2654.0,0.001305888
2658.0,0.000788974
2662.0,0.00108824
2666.0,0.000788974
2670.0,0.000897798
2674.0,0.001061034
2678.0,0.000462502
2682.0,0.000843386
2686.0,0.000897798
2690.0,0.001441918
2694.0,0.001305888
2698.0,0.00095221
2702.0,0.000979416
2706.0,0.000925004
2710.0,0.001142652
2714.0,0.001251476
2718.0,0.001197064
2722.0,0.00108824
2726.0,0.001441918
2730.0,0.001033828
2734.0,0.001251476
2738.0,0.000897798
2742.0,0.001061034
2746.0,0.001251476
2750.0,0.00054412
2754.0,0.00054412
2758.0,0.000652944
2762.0,0.000979416
2766.0,0.001033828
2770.0,0.00095221
2774.0,0.000734562
2778.0,0.00068015
2782.0,0.000625738
2786.0,0.001033828
2790.0,0.000380884
2794.0,0.000353678
2798.0,0.00068015
2802.0,0.00122427
2806.0,0.000761768
2810.0,0.000843386
2814.0,0.000897798
2818.0,0.00068015
2822.0,0.000598532
2826.0,0.000435296
2830.0,0.000788974
2834.0,0.000897798
2838.0,0.000925004
2842.0,0.00149633
2846.0,0.00108824
2850.0,0.001333094
2854.0,0.001061034
2858.0,0.000979416
2862.0,0.000707356
2866.0,0.00081618
2870.0,0.001115446
2874.0,0.000788974
2878.0,0.000625738
2882.0,0.001033828
2886.0,0.001169858
2890.0,0.000707356
2894.0,0.000897798
2898.0,0.00068015
2902.0,0.001061034
2906.0,0.000925004
2910.0,0.001033828
2914.0,0.000598532
2918.0,0.000761768
2922.0,0.00068015
2926.0,0.000897798
2930.0,0.00068015
2934.0,0.000897798
2938.0,0.001278682
2942.0,0.001333094
2946.0,0.001523536
2950.0,0.001033828
2954.0,0.001550742
2958.0,0.001251476
2962.0,0.000843386
2966.0,0.001061034
2970.0,0.000979416
2974.0,0.001441918
2978.0,0.00122427
2982.0,0.001061034
2986.0,0.001414712
2990.0,0.00163236
2994.0,0.001278682
2998.0,0.001605154
3002.0,0.001877214
3006.0,0.001006622
3010.0,0.000761768
3014.0,0.0013603
3018.0,0.00108824
3022.0,0.001142652
3026.0,0.000979416
3030.0,0.000788974
3034.0,0.000870592
3038.0,0.00122427
3042.0,0.001278682
3046.0,0.001469124
3050.0,0.001305888
3054.0,0.001387506
3058.0,0.001169858
3062.0,0.001115446
3066.0,0.001278682
3070.0,0.001278682
3074.0,0.000788974
3078.0,0.00149633
3082.0,0.001169858
3086.0,0.001197064
3090.0,0.001741184
3094.0,0.00122427
3098.0,0.001305888
3102.0,0.000788974
3106.0,0.000979416
3110.0,0.00054412
3114.0,0.000925004
3118.0,0.00122427
3122.0,0.00149633
3126.0,0.001305888
3130.0,0.001387506
3134.0,0.001197064
3138.0,0.001006622
3142.0,0.00149633
3146.0,0.000843386
3150.0,0.001305888
3154.0,0.001387506
3158.0,0.001278682
3162.0,0.001278682
3166.0,0.001414712
3170.0,0.00095221
3174.0,0.000489708
3178.0,0.001169858
3182.0,0.000925004
3186.0,0.001659566
3190.0,0.001305888
3194.0,0.0017683900000000001
3198.0,0.000571326
3202.0,0.00095221
3206.0,0.001142652
3210.0,0.000925004
3214.0,0.001659566
3218.0,0.001197064
3222.0,0.00068015
3226.0,0.000652944
3230.0,0.001006622
3234.0,0.000979416
3238.0,0.002013244
3242.0,0.001414712
3246.0,0.001333094
3250.0,0.000299266
3254.0,0.001061034
3258.0,0.00081618
3262.0,0.001006622
3266.0,0.001278682
3270.0,0.001006622
3274.0,0.001686772
3278.0,0.000925004
3282.0,0.001278682
3286.0,0.001061034
