sigma,transmittance
450.0,0.006094801
454.0,0.113602064
458.0,0.293995607
462.0,0.109894917
466.0,0.086835206
470.0,0.183849358
474.0,0.195536296
478.0,0.047690247
482.0,0.089411359
486.0,0.105685106
490.0,0.097705315
494.0,0.106941766
498.0,0.039521956999999996
502.0,0.172225253
506.0,0.101538128
510.0,0.098584977
514.0,0.098082313
518.0,0.201568264
522.0,0.0816829
526.0,0.084070554
530.0,0.050769064
534.0,0.036003309
538.0,0.06220467
542.0,0.020169393
546.0,0.084950216
550.0,0.06723131
554.0,0.047815913
558.0,0.033489989
562.0,0.032296162
566.0,0.038579462
570.0,0.0565497
574.0,0.078038586
578.0,0.056424034
582.0,0.085955544
586.0,0.049700903
590.0,0.06597465
594.0,0.031919164
598.0,0.065032155
602.0,0.038453796
606.0,0.037825466
610.0,0.01382326
614.0,0.039898955
618.0,0.032170496
622.0,0.03644314
626.0,0.056298368
630.0,0.021865884
634.0,0.053910714
638.0,0.047250415999999996
642.0,0.048318577
646.0,0.020232226
650.0,0.02890318
654.0,0.023688041
658.0,0.028777514
662.0,0.029908508
666.0,0.013383429
670.0,0.049700903
674.0,0.020420725
678.0,0.028526182
682.0,0.012629433
686.0,0.038642295
690.0,0.035437812
694.0,0.043731768
698.0,0.033175824
702.0,0.029782842
706.0,0.036820138
710.0,0.025698697
714.0,0.025698697
718.0,0.020169393
722.0,0.022871212
726.0,0.019226898
730.0,0.0251332
734.0,0.016273747
738.0,0.023436709
742.0,0.029908508
746.0,0.033615655
750.0,0.01947823
754.0,0.03015984
758.0,0.02136322
762.0,0.015142753
766.0,0.026264194
770.0,0.01759324
774.0,0.024881868
778.0,0.017718906
782.0,0.029217345
786.0,0.014828588
790.0,0.022808379
794.0,0.022808379
798.0,0.028589015
802.0,0.025447365
806.0,0.019415397
810.0,0.029343011
814.0,0.014765755
818.0,0.025070367
822.0,0.016085248
826.0,0.025447365
830.0,0.014325924
834.0,0.02136322
838.0,0.022557047
842.0,0.017404741
846.0,0.021928717
850.0,0.019729562
854.0,0.030474005
858.0,0.015017087
862.0,0.025321699
866.0,0.018724234
870.0,0.023311043
874.0,0.016210914
878.0,0.023813707
882.0,0.020483558
886.0,0.017656073
890.0,0.023688041
894.0,0.01947823
898.0,0.02324821
902.0,0.015519751
906.0,0.027835019
910.0,0.018472902
914.0,0.023625207999999998
918.0,0.019226898
922.0,0.025447365
926.0,0.020357892
930.0,0.019729562
934.0,0.025635864
938.0,0.018724234
942.0,0.023688041
946.0,0.01696491
950.0,0.028086351
954.0,0.016273747
958.0,0.023939373
962.0,0.020609224
966.0,0.023122544
970.0,0.020986222
974.0,0.021237554
978.0,0.025447365
982.0,0.016839244
986.0,0.024442037
990.0,0.018912733
994.0,0.025510198
998.0,0.017027743
1002.0,0.024881868
1006.0,0.02136322
1010.0,0.021111888
1014.0,0.023122544
1018.0,0.021928717
1022.0,0.024065039
1026.0,0.016210914
1030.0,0.026075695
1034.0,0.019352564
1038.0,0.025196033
1042.0,0.017718906
1046.0,0.027395188
1050.0,0.020546391
1054.0,0.022305715
1058.0,0.024065039
1062.0,0.022368548
1066.0,0.024379204
1070.0,0.019918061
1074.0,0.027960685
1078.0,0.018535735
1082.0,0.025698697
1086.0,0.019603896
1090.0,0.026829691
1094.0,0.019729562
1098.0,0.023311043
1102.0,0.025447365
1106.0,0.021865884
1110.0,0.0251332
1114.0,0.019729562
1118.0,0.028337683
1122.0,0.017718906
1126.0,0.026829691
1130.0,0.020797723
1134.0,0.025196033
1138.0,0.024379204
1142.0,0.023562375
1146.0,0.025824363
1150.0,0.020357892
1154.0,0.02764652
1158.0,0.021237554
1162.0,0.027269522
1166.0,0.019352564
1170.0,0.028714681
1174.0,0.028023518
1178.0,0.025510198
1182.0,0.023688041
1186.0,0.027332355
1190.0,0.028023518
1194.0,0.018724234
1198.0,0.030851003
1202.0,0.020420725
1206.0,0.026578359
1210.0,0.021677385
1214.0,0.037322802
1218.0,0.022305715
1222.0,0.02638986
1226.0,0.037008637
1230.0,0.022808379
1234.0,0.025824363
1238.0,0.02010656
1242.0,0.038893627
1246.0,0.022305715
1250.0,0.030474005
1254.0,0.020483558
1258.0,0.037385635
1262.0,0.035374979
1266.0,0.043480436
1270.0,0.06848797
1274.0,0.034055486
1278.0,0.031165168
1282.0,0.030034174
1286.0,0.056109869
1290.0,0.054162046
1294.0,0.055481538999999996
1298.0,0.034369651
1302.0,0.032798826
1306.0,0.020357892
1310.0,0.067482642
1314.0,0.095443327
1318.0,0.148411546
1322.0,0.07665626
1326.0,0.042600774
1330.0,0.0376998
1334.0,0.033427156
1338.0,0.231602438
1342.0,0.178005889
1346.0,0.045742424
1350.0,0.04963807
1354.0,0.044234432
1358.0,0.100909798
1362.0,0.180456376
1366.0,0.132012133
1370.0,0.08652104099999999
1374.0,0.195222131
1378.0,0.136598942
1382.0,0.059251519
1386.0,0.149479707
1390.0,0.126671328
1394.0,0.19792395
1398.0,0.279921015
1402.0,0.136096278
1406.0,0.095883158
1410.0,0.158653325
1414.0,0.025321699
1418.0,0.416017293
1422.0,0.168329607
1426.0,0.196101793
1430.0,0.077535922
1434.0,0.265218093
1438.0,0.215077359
1442.0,0.082876727
1446.0,0.08482455
1450.0,0.148474379
1454.0,0.241718551
1458.0,0.46999084
1462.0,0.231288273
1466.0,0.14137425
1470.0,0.144076069
1474.0,0.415577462
1478.0,0.29468677
1482.0,0.044988428
1486.0,0.221674824
1490.0,0.383092801
1494.0,0.170151764
1498.0,0.285513152
1502.0,0.23122544
1506.0,0.472692659
1510.0,0.6283299999999999
1514.0,0.382464471
1518.0,0.448816119
1522.0,0.605270289
1526.0,0.33112990999999997
1530.0,0.352681629
1534.0,0.258997626
1538.0,0.386611449
1542.0,0.60068348
1546.0,0.45365426
1550.0,0.208919725
1554.0,0.265972089
1558.0,0.563674843
1562.0,0.315295994
1566.0,0.13666177499999999
1570.0,0.182781197
1574.0,0.16858093899999999
1578.0,0.123969509
1582.0,0.127425324
1586.0,0.0
1590.0,0.08004924199999999
1594.0,0.03392982
1598.0,0.097768148
1602.0,0.028086351
1606.0,0.081305902
1610.0,0.08985119
1614.0,0.062141837
1618.0,0.241467219
1622.0,0.082751061
1626.0,0.246682358
1630.0,0.013069264
1634.0,0.215077359
1638.0,0.245802696
