sigma,transmittance
388.677,0.438
389.5479854,0.438
390.4189708,0.437
391.2899562,0.437
392.1609416,0.435
393.031927,0.435
393.9029124,0.434
394.7738978,0.433
395.64488320000004,0.433
396.51586860000003,0.433
397.386854,0.433
398.2578394,0.433
399.1288248,0.433
399.9998102,0.43
400.8707956,0.43
401.741781,0.43
402.6127664,0.43
403.4837518,0.43
404.3547372,0.43
405.2257226,0.43
406.096708,0.43
406.9676934,0.43
407.83867879999997,0.43
408.7096642,0.43
409.5806496,0.43
410.451635,0.429
411.3226204,0.429
412.1936058,0.429
413.0645912,0.429
413.9355766,0.429
414.806562,0.429
415.6775474,0.427
416.5485328,0.427
417.4195182,0.426
418.2905036,0.426
419.161489,0.426
420.0324744,0.426
420.9034598,0.425
421.7744452,0.425
422.6454306,0.425
423.516416,0.423
424.3874014,0.423
425.2583868,0.423
426.12937220000003,0.422
427.00035760000003,0.422
427.871343,0.42
428.7423284,0.42
429.6133138,0.42
430.4842992,0.419
431.3552846,0.418
432.22627,0.418
433.0972554,0.418
433.9682408,0.416
434.8392262,0.416
435.7102116,0.416
436.581197,0.415
437.45218239999997,0.415
438.32316779999996,0.414
439.1941532,0.414
440.0651386,0.412
440.936124,0.412
441.8071094,0.411
442.6780948,0.411
443.5490802,0.411
444.4200656,0.41
445.291051,0.41
446.1620364,0.41
447.0330218,0.408
447.9040072,0.408
448.7749926,0.408
449.645978,0.408
450.5169634,0.407
451.3879488,0.405
452.2589342,0.405
453.1299196,0.405
454.000905,0.405
454.8718904,0.404
455.7428758,0.403
456.61386120000003,0.403
457.4848466,0.401
458.355832,0.401
459.2268174,0.401
460.0978028,0.4
460.9687882,0.4
461.8397736,0.4
462.710759,0.399
463.5817444,0.399
464.4527298,0.397
465.32371520000004,0.396
466.19470060000003,0.396
467.065686,0.395
467.9366716,0.393
468.8076572,0.393
469.67864280000003,0.392
470.5496284,0.389
471.420614,0.389
472.2915994,0.388
473.1625848,0.388
474.0335702,0.386
474.9045556,0.385
475.775541,0.385
476.64652639999997,0.384
477.51751179999997,0.384
478.3884972,0.382
479.2594826,0.382
480.130468,0.381
481.0014534,0.381
481.8724388,0.38
482.7434242,0.38
483.6144096,0.378
484.485395,0.377
485.3563804,0.376
486.2273658,0.376
487.0983512,0.374
487.9693366,0.374
488.840322,0.373
489.7113074,0.373
490.5822928,0.371
491.4532782,0.371
492.3242636,0.37
493.195249,0.369
494.0662344,0.367
494.9372198,0.366
495.80820520000003,0.365
496.6791906,0.363
497.550176,0.362
498.4211614,0.362
499.2921468,0.361
500.1631322,0.359
501.0341176,0.358
501.905103,0.356
502.7760884,0.355
503.6470738,0.355
504.5180592,0.354
505.3890446,0.354
506.26003,0.354
507.13101539999997,0.352
508.00200079999996,0.352
508.8729862,0.351
509.7439716,0.35
510.614957,0.348
511.4859424,0.348
512.3569278,0.347
513.2279132,0.347
514.0988986,0.346
514.969884,0.346
515.8408694,0.344
516.7118548,0.343
517.5828402,0.343
518.4538256,0.341
519.324811,0.341
520.1957964,0.34
521.0667818,0.339
521.9377672,0.337
522.8087526,0.337
523.679738,0.337
524.5507234,0.337
525.4217088,0.337
526.2926942,0.336
527.1636796,0.336
528.034665,0.336
528.9056504,0.335
529.7766358,0.333
530.6476212,0.332
531.5186066,0.332
532.389592,0.332
533.2605774,0.332
534.1315628,0.331
535.0025482,0.331
535.8735336,0.331
536.744519,0.331
537.6155044,0.329
538.4864898,0.328
539.3574752,0.326
540.2284606,0.325
541.099446,0.325
541.9704313999999,0.325
542.8414167999999,0.324
543.7124022,0.324
544.5833876,0.324
545.454373,0.322
546.3253584,0.322
547.1963438,0.321
548.0673292,0.321
548.9383146,0.32
549.8093,0.318
550.6802854,0.317
551.5512708,0.317
552.4222562,0.316
553.2932416,0.316
554.164227,0.314
555.0352124,0.314
555.9061978,0.314
556.7771832,0.313
557.6481686,0.311
558.519154,0.311
559.3901394,0.31
560.2611248,0.309
561.1321102,0.307
562.0030956,0.307
562.874081,0.307
563.7450664,0.306
564.6160518,0.306
565.4870372,0.306
566.3580226,0.305
567.229008,0.305
568.0999934,0.303
568.9709788,0.303
569.8419642,0.302
570.7129496,0.301
571.583935,0.301
572.4549204,0.301
573.3259058,0.301
574.1968912,0.299
575.0678766,0.299
575.938862,0.299
576.8098474,0.298
577.6808328,0.298
578.5518182,0.298
579.4228036,0.297
580.293789,0.297
581.1647743999999,0.297
582.0357597999999,0.295
582.9067452,0.295
583.7777306,0.295
584.648716,0.294
585.5197014,0.294
586.3906868,0.294
587.2616722,0.292
588.1326576,0.292
589.003643,0.291
589.8746284,0.29
590.7456138,0.29
591.6165992,0.29
592.4875846,0.288
593.35857,0.288
594.2295554,0.288
595.1005408,0.288
595.9715262,0.288
596.8425116,0.287
597.713497,0.287
598.5844824,0.287
599.4554678,0.287
600.3264532000001,0.287
601.1974386,0.286
602.068424,0.286
602.9394094,0.286
603.8103948,0.286
604.6813802,0.284
605.5523656,0.284
606.423351,0.284
607.2943364,0.284
608.1653218,0.284
609.0363072,0.284
609.9072926,0.284
610.778278,0.284
611.6492634,0.283
612.5202488,0.283
613.3912342,0.283
614.2622196,0.283
615.133205,0.283
616.0041904,0.283
616.8751758,0.282
617.7461612,0.282
618.6171466,0.282
619.488132,0.282
620.3591174,0.282
621.2301027999999,0.282
622.1010882,0.282
622.9720736,0.28
623.843059,0.28
624.7140444,0.28
625.5850298,0.28
626.4560152,0.28
627.3270006,0.28
628.197986,0.279
629.0689716,0.279
629.9399572,0.279
630.8109428,0.279
631.6819284,0.279
632.552914,0.279
633.4238994,0.277
634.2948848,0.277
635.1658702,0.277
636.0368556,0.277
636.907841,0.277
637.7788264,0.277
638.6498118,0.277
639.5207972000001,0.277
640.3917826,0.277
641.262768,0.276
642.1337534,0.276
643.0047388,0.276
643.8757242,0.276
644.7467096,0.276
645.617695,0.276
646.4886804,0.276
647.3596658,0.276
648.2306512,0.276
649.1016366,0.275
649.972622,0.275
650.8436074,0.275
651.7145928,0.275
652.5855782,0.275
653.4565636,0.275
654.327549,0.275
655.1985344,0.275
656.0695198,0.275
656.9405052,0.273
657.8114906,0.273
658.682476,0.273
659.5534614,0.273
660.4244467999999,0.273
661.2954322,0.273
662.1664176,0.273
663.037403,0.273
663.9083884,0.273
664.7793738,0.273
665.6503592,0.273
666.5213446,0.273
667.39233,0.273
668.2633154,0.273
669.1343008,0.273
670.0052862,0.273
670.8762716,0.273
671.747257,0.273
672.6182424,0.273
673.4892278,0.273
674.3602132,0.273
675.2311986,0.273
676.102184,0.273
676.9731694,0.273
677.8441548,0.273
678.7151402000001,0.273
679.5861256000001,0.273
680.457111,0.273
681.3280964,0.272
682.1990818,0.272
683.0700672,0.272
683.9410526,0.272
684.812038,0.272
685.6830234,0.272
686.5540088,0.272
687.4249942,0.272
688.2959796,0.272
689.166965,0.272
690.0379504,0.272
690.9089358,0.272
691.7799212,0.272
692.6509066,0.272
693.521892,0.272
694.3928774,0.272
695.2638628,0.273
696.1348482,0.273
697.0058336,0.273
697.876819,0.273
698.7478044,0.273
699.6187898,0.273
700.4897752,0.273
701.3607606,0.275
702.231746,0.275
703.1027314,0.275
703.9737168,0.275
704.8447022,0.275
705.7156876,0.275
706.586673,0.275
707.4576584,0.276
708.3286438,0.276
709.1996292,0.276
710.0706146,0.276
710.9416,0.276
711.8125854,0.276
712.6835708,0.276
713.5545562,0.276
714.4255416,0.276
715.296527,0.276
716.1675124,0.276
717.0384978,0.276
717.9094832,0.276
718.7804686,0.277
719.651454,0.277
720.5224393999999,0.277
721.3934247999999,0.279
722.2644102,0.279
723.1353956,0.28
724.006381,0.282
724.8773664,0.282
725.7483518,0.282
726.6193372,0.282
727.4903226,0.282
728.361308,0.282
729.2322934,0.283
730.1032788,0.283
730.9742642,0.284
731.8452496,0.284
732.716235,0.284
733.5872204,0.286
734.4582058,0.286
735.3291912,0.287
736.2001766,0.287
737.071162,0.287
737.9421474,0.288
738.8131328,0.288
739.6841182000001,0.288
740.5551036,0.29
741.426089,0.291
742.2970744,0.291
743.1680598,0.292
744.0390452,0.292
744.9100306,0.294
745.781016,0.294
746.6520014,0.295
747.5229868,0.297
748.3939722,0.297
749.2649576,0.298
750.135943,0.299
751.0069284,0.299
751.8779138,0.299
752.7488992,0.301
753.6198846,0.301
754.49087,0.301
755.3618554,0.301
756.2328408,0.302
757.1038262,0.303
757.9748116,0.305
758.845797,0.305
759.7167823999999,0.306
760.5877677999999,0.306
761.4587532,0.306
762.3297386,0.307
763.200724,0.309
764.0717094,0.31
764.9426948,0.31
765.8136802,0.311
766.6846656,0.313
767.555651,0.313
768.4266364,0.314
769.2976218,0.314
770.1686072,0.316
771.0395926,0.316
771.910578,0.316
772.7815634,0.317
773.6525488,0.317
774.5235342,0.318
775.3945196,0.32
776.265505,0.32
777.1364904,0.322
778.0074758,0.322
778.8784612000001,0.322
779.7494466,0.322
780.620432,0.324
781.4914174,0.324
782.3624028,0.324
783.2333882,0.325
784.1043736,0.326
784.975359,0.329
785.8463444,0.329
786.7173298,0.331
787.5883152,0.332
788.4593006,0.332
789.330286,0.333
790.2012716,0.335
791.0722572,0.336
791.9432428,0.336
792.8142283999999,0.337
793.685214,0.339
794.5561994,0.339
795.4271848,0.339
796.2981702,0.34
797.1691556,0.341
798.040141,0.343
798.9111264,0.344
799.7821117999999,0.346
800.6530972,0.347
801.5240826,0.347
802.395068,0.348
803.2660534,0.348
804.1370388,0.351
805.0080242,0.351
805.8790096,0.354
806.749995,0.354
807.6209804,0.355
808.4919658,0.355
809.3629512,0.356
810.2339366,0.358
811.104922,0.362
811.9759074,0.362
812.8468928,0.363
813.7178782,0.365
814.5888636,0.366
815.459849,0.367
816.3308344,0.369
817.2018198,0.37
818.0728052000001,0.371
818.9437906,0.373
