sigma,transmittance
3800.0,0.9245
3799.0,0.9245
3798.0,0.9245
3797.0,0.9247
3796.0,0.9257
3795.0,0.9248
3794.0,0.926
3793.0,0.926
3792.0,0.926
3791.0,0.926
3790.0,0.9261
3789.0,0.9261
3788.0,0.9261
3787.0,0.9261
3786.0,0.9261
3785.0,0.9261
3784.0,0.9253
3783.0,0.9247
3782.0,0.9247
3781.0,0.9258
3780.0,0.9263
3779.0,0.9251
3778.0,0.9261
3777.0,0.9263
3776.0,0.9263
3775.0,0.9249
3774.0,0.9263
3773.0,0.9263
3772.0,0.9263
3771.0,0.9263
3770.0,0.9263
3769.0,0.9262
3768.0,0.9262
3767.0,0.9262
3766.0,0.9262
3765.0,0.9262
3764.0,0.9262
3763.0,0.9262
3762.0,0.9262
3761.0,0.9261
3760.0,0.9269
3759.0,0.9268
3758.0,0.9261
3757.0,0.9261
3756.0,0.9261
3755.0,0.9262
3754.0,0.9264
3753.0,0.9265
3752.0,0.9266
3751.0,0.9267
3750.0,0.9268
3749.0,0.9269
3748.0,0.9271
3747.0,0.9272
3746.0,0.9273
3745.0,0.9274
3744.0,0.9276
3743.0,0.9277
3742.0,0.9278
3741.0,0.928
3740.0,0.9281
3739.0,0.9286
3738.0,0.9298
3737.0,0.9298
3736.0,0.9299
3735.0,0.9299
3734.0,0.9293
3733.0,0.9285
3732.0,0.9294
3731.0,0.9301
3730.0,0.9302
3729.0,0.9302
3728.0,0.9313
3727.0,0.9303
3726.0,0.9305
3725.0,0.9305
3724.0,0.9306
3723.0,0.9303
3722.0,0.9299
3721.0,0.9294
3720.0,0.929
3719.0,0.927
3718.0,0.9267
3717.0,0.9275
3716.0,0.927
3715.0,0.9265
3714.0,0.9261
3713.0,0.9255
3712.0,0.9254
3711.0,0.9254
3710.0,0.9242
3709.0,0.9244
3708.0,0.9237
3707.0,0.923
3706.0,0.9223
3705.0,0.9215
3704.0,0.9208
3703.0,0.9201
3702.0,0.9193
3701.0,0.9186
3700.0,0.9179
3699.0,0.917
3698.0,0.9163
3697.0,0.9154
3696.0,0.9133
3695.0,0.9123
3694.0,0.9114
3693.0,0.9105
3692.0,0.9096
3691.0,0.9089
3690.0,0.9082
3689.0,0.9074
3688.0,0.9067
3687.0,0.9057
3686.0,0.9039
3685.0,0.9033
3684.0,0.9025
3683.0,0.9022
3682.0,0.9018
3681.0,0.9014
3680.0,0.901
3679.0,0.9011
3678.0,0.9012
3677.0,0.9014
3676.0,0.9016
3675.0,0.9018
3674.0,0.9021
3673.0,0.9023
3672.0,0.9025
3671.0,0.9027
3670.0,0.9042
3669.0,0.9036
3668.0,0.9039
3667.0,0.9043
3666.0,0.9048
3665.0,0.9052
3664.0,0.9056
3663.0,0.9061
3662.0,0.9066
3661.0,0.907
3660.0,0.9074
3659.0,0.9077
3658.0,0.9083
3657.0,0.9085
3656.0,0.9088
3655.0,0.9091
3654.0,0.9093
3653.0,0.9095
3652.0,0.9098
3651.0,0.91
3650.0,0.9103
3649.0,0.9105
3648.0,0.9108
3647.0,0.9108
3646.0,0.9107
3645.0,0.9106
3644.0,0.9105
3643.0,0.9104
3642.0,0.9103
3641.0,0.9101
3640.0,0.91
3639.0,0.9099
3638.0,0.9098
3637.0,0.9096
3636.0,0.9095
3635.0,0.9093
3634.0,0.9092
3633.0,0.9093
3632.0,0.9104
3631.0,0.9102
3630.0,0.9094
3629.0,0.9083
3628.0,0.9086
3627.0,0.9094
3626.0,0.9091
3625.0,0.9089
3624.0,0.9087
3623.0,0.9085
3622.0,0.9083
3621.0,0.9081
3620.0,0.9079
3619.0,0.9077
3618.0,0.9075
3617.0,0.9072
3616.0,0.907
3615.0,0.9068
3614.0,0.9066
3613.0,0.9063
3612.0,0.9061
3611.0,0.9059
3610.0,0.9057
3609.0,0.9053
3608.0,0.904
3607.0,0.9049
3606.0,0.9048
3605.0,0.9045
3604.0,0.9042
3603.0,0.9036
3602.0,0.9029
3601.0,0.9037
3600.0,0.9029
3599.0,0.9017
3598.0,0.9022
3597.0,0.9026
3596.0,0.9023
3595.0,0.902
3594.0,0.9017
3593.0,0.9013
3592.0,0.9011
3591.0,0.9008
3590.0,0.9005
3589.0,0.9002
3588.0,0.8999
3587.0,0.8992
3586.0,0.8986
3585.0,0.898
3584.0,0.8973
3583.0,0.8967
3582.0,0.8961
3581.0,0.8934
3580.0,0.8908
3579.0,0.8852
3578.0,0.8795
3577.0,0.8791
3576.0,0.8782
3575.0,0.8774
3574.0,0.8779
3573.0,0.8787
3572.0,0.8788
3571.0,0.8788
3570.0,0.8797
3569.0,0.8807
3568.0,0.8817
3567.0,0.8827
3566.0,0.8836
3565.0,0.8843
3564.0,0.8849
3563.0,0.8852
3562.0,0.8855
3561.0,0.8854
3560.0,0.8853
3559.0,0.8851
3558.0,0.885
3557.0,0.8849
3556.0,0.8848
3555.0,0.8858
3554.0,0.8841
3553.0,0.8838
3552.0,0.8845
3551.0,0.8839
3550.0,0.8831
3549.0,0.8818
3548.0,0.8823
3547.0,0.8818
3546.0,0.8812
3545.0,0.8801
3544.0,0.8794
3543.0,0.8796
3542.0,0.879
3541.0,0.8785
3540.0,0.8772
3539.0,0.8771
3538.0,0.8762
3537.0,0.8762
3536.0,0.8762
3535.0,0.8757
3534.0,0.8752
