sigma,transmittance
450.219,1.024
451.15826119999997,1.024
452.0975224,1.024
453.0367836,1.024
453.9760448,1.024
454.915306,1.024
455.85456719999996,1.024
456.7938284,1.024
457.73308959999997,1.024
458.6723508,1.026
459.611612,1.026
460.55087319999996,1.026
461.4901344,1.026
462.42939559999996,1.026
463.3686568,1.026
464.307918,1.026
465.2471792,1.027
466.1864404,1.027
467.1257016,1.028
468.0649628,1.028
469.004224,1.031
469.9434852,1.031
470.88274640000003,1.033
471.8220076,1.034
472.76126880000004,1.034
473.70053,1.036
474.6397912,1.037
475.5790524,1.037
476.5183136,1.037
477.45757480000003,1.039
478.396836,1.041
479.3360972,1.047
480.2753584,1.047
481.2146196,1.047
482.1538808,1.049
483.093142,1.05
484.0324032,1.05
484.9716644,1.05
485.9109256,1.052
486.8501868,1.054
487.789448,1.054
488.7287094,1.057
489.6679708,1.059
490.6072322,1.059
491.54649359999996,1.06
492.485755,1.06
493.42501619999996,1.062
494.3642774,1.062
495.30353859999997,1.062
496.2427998,1.062
497.182061,1.062
498.1213222,1.063
499.0605834,1.062
499.9998446,1.063
500.9391058,1.063
501.878367,1.063
502.8176282,1.063
503.75688940000003,1.063
504.6961506,1.065
505.63541180000004,1.065
506.574673,1.065
507.5139342,1.065
508.4531954,1.063
509.3924566,1.063
510.33171780000004,1.062
511.270979,1.062
512.2102402,1.062
513.1495014,1.063
514.0887626,1.062
515.0280237999999,1.062
515.967285,1.063
516.9065462,1.063
517.8458074,1.066
518.7850685999999,1.066
519.7243298,1.066
520.663591,1.066
521.6028522,1.066
522.5421134000001,1.066
523.4813746,1.066
524.4206358,1.065
525.359897,1.065
526.2991582000001,1.063
527.2384194,1.062
528.1776806,1.062
529.1169418,1.06
530.056203,1.06
530.9954642,1.059
531.9347254,1.059
532.8739866,1.057
533.8132478,1.057
534.752509,1.056
535.6917702000001,1.054
536.6310314,1.053
537.5702926,1.053
538.5095537999999,1.052
539.448815,1.05
540.3880762,1.05
541.3273374,1.049
542.2665986,1.047
543.2058598,1.047
544.145121,1.046
545.0843822,1.046
546.0236434,1.046
546.9629046,1.046
547.9021657999999,1.044
548.841427,1.044
549.7806882,1.044
550.7199494,1.044
551.6592105999999,1.044
552.5984718,1.044
553.537733,1.044
554.4769942,1.044
555.4162554000001,1.046
556.3555166,1.046
557.2947778,1.046
558.234039,1.046
559.1733002000001,1.047
560.1125614,1.047
561.0518226,1.049
561.9910838,1.049
562.930345,1.05
563.8696064,1.05
564.8088678,1.052
565.7481292,1.052
566.6873906000001,1.054
567.626652,1.054
568.5659132000001,1.056
569.5051744,1.056
570.4444356,1.057
571.3836967999999,1.057
572.322958,1.059
573.2622192,1.06
574.2014804,1.06
575.1407416,1.062
576.0800028,1.063
577.019264,1.065
577.9585252,1.065
578.8977864,1.065
579.8370476,1.066
580.7763087999999,1.066
581.71557,1.068
582.6548312,1.069
583.5940924,1.069
584.5333535999999,1.069
585.4726148,1.069
586.411876,1.069
587.3511372,1.069
588.2903984000001,1.069
589.2296596,1.07
590.1689208,1.07
591.108182,1.07
592.0474432000001,1.07
592.9867044,1.07
593.9259656,1.072
594.8652268,1.072
595.804488,1.072
596.7437492,1.072
597.6830104000001,1.072
598.6222716,1.072
599.5615328,1.072
600.500794,1.072
601.4400552000001,1.072
602.3793164,1.072
603.3185776,1.072
604.2578388,1.072
605.1971,1.07
606.1363612,1.07
607.0756224,1.07
608.0148836,1.069
608.9541448,1.069
609.893406,1.069
610.8326672000001,1.068
611.7719284,1.068
612.7111896,1.068
613.6504507999999,1.066
614.589712,1.066
615.5289732,1.066
616.4682344,1.066
617.4074956,1.066
618.3467568,1.066
619.286018,1.065
620.2252792,1.065
621.1645404,1.065
622.1038016,1.065
623.0430627999999,1.065
623.982324,1.065
624.9215852,1.065
625.8608464,1.066
626.8001075999999,1.066
627.7393688,1.066
628.67863,1.068
629.6178912,1.068
630.5571524000001,1.068
631.4964136,1.07
632.4356748,1.07
633.374936,1.072
634.3141972000001,1.072
635.2534584,1.072
636.1927196,1.072
637.1319808,1.073
638.071242,1.075
639.0105032,1.076
639.9497644,1.078
640.8890256,1.079
641.8282868,1.081
642.767548,1.081
643.7068094,1.083
644.6460708,1.085
645.5853322,1.085
646.5245936,1.085
647.463855,1.083
648.4031162,1.083
649.3423774,1.082
650.2816386,1.082
651.2208998,1.082
652.160161,1.082
653.0994222,1.082
654.0386834,1.081
654.9779446,1.081
655.9172057999999,1.081
656.856467,1.081
657.7957282,1.081
658.7349894,1.081
659.6742505999999,1.081
660.6135118,1.079
661.552773,1.079
662.4920342,1.081
663.4312954000001,1.081
664.3705566,1.081
665.3098178,1.079
666.249079,1.081
667.1883402000001,1.083
668.1276014,1.102
669.0668626,1.092
670.0061238,1.089
670.945385,1.088
671.8846462,1.086
672.8239074,1.085
673.7631686,1.085
674.7024298,1.085
675.641691,1.083
676.5809522000001,1.082
677.5202134,1.081
678.4594746,1.079
679.3987357999999,1.078
680.337997,1.075
681.2772582,1.073
682.2165194,1.073
683.1557806,1.072
684.0950418,1.07
685.034303,1.069
685.9735642,1.069
686.9128254,1.068
687.8520866,1.066
688.7913477999999,1.065
689.730609,1.062
690.6698702,1.06
691.6091314,1.06
692.5483925999999,1.059
693.4876538,1.057
694.426915,1.057
695.3661762,1.056
696.3054374,1.054
697.2446986,1.054
698.1839597999999,1.053
699.123221,1.053
700.0624822,1.052
701.0017434,1.05
701.9410045999999,1.049
702.8802658,1.049
703.819527,1.047
704.7587882,1.046
705.6980494000001,1.044
706.6373106,1.044
707.5765718,1.043
708.515833,1.041
709.4550942000001,1.04
710.3943554,1.04
711.3336166,1.039
712.2728778,1.037
713.212139,1.036
714.1514002,1.034
715.0906614,1.034
716.0299226,1.033
716.9691838,1.031
717.908445,1.031
718.8477064,1.03
719.7869678,1.03
720.7262292,1.028
721.6654906,1.027
722.604752,1.027
723.5440132,1.026
724.4832744,1.026
725.4225356,1.026
726.3617968,1.024
727.301058,1.024
728.2403192,1.024
729.1795804,1.023
730.1188416,1.021
731.0581027999999,1.021
731.997364,1.021
732.9366252,1.021
733.8758864,1.02
734.8151475999999,1.018
735.7544088,1.017
736.69367,1.015
737.6329312,1.014
738.5721924000001,1.013
739.5114536,1.011
740.4507148,1.01
741.389976,1.01
742.3292372000001,1.01
743.2684984,1.008
744.2077596,1.007
745.1470208,1.005
746.086282,1.004
747.0255432,1.002
747.9648044,1.001
748.9040656,1.002
749.8433268,1.001
750.782588,1.0
751.7218492000001,1.0
752.6611104,0.998
753.6003716,0.998
754.5396327999999,0.994
755.478894,0.991
756.4181552,0.988
757.3574164,0.986
758.2966776,0.985
759.2359388,0.981
760.1752,0.978
761.1144612,0.976
762.0537224,0.973
762.9929836,0.972
763.9322447999999,0.971
764.871506,0.968
765.8107672,0.965
766.7500284,0.96
767.6892895999999,0.958
768.6285508,0.955
769.567812,0.95
770.5070732,0.946
771.4463344000001,0.942
772.3855956,0.937
773.3248568,0.933
774.264118,0.931
775.2033792000001,0.924
776.1426404,0.923
777.0819016,0.918
778.0211628,0.914
778.960424,0.913
779.8996852,0.911
780.8389464,0.903
781.7782076,0.895
782.7174688,0.891
783.65673,0.89
784.5959912000001,0.888
785.5352524,0.887
786.4745136,0.881
787.4137747999999,0.875
788.353036,0.874
789.2922972,0.872
790.2315584,0.871
791.1708196,0.861
792.1100808,0.858
793.049342,0.845
793.9886032000001,0.839
794.9278644,0.839
795.8671256,0.849
796.8063867999999,0.849
797.745648,0.827
798.6849093999999,0.813
799.6241708,0.798
800.5634322,0.784
801.5026936,0.784
802.441955,0.788
803.3812162,0.8298
804.3204774000001,0.832
805.2597386,0.833
806.1989998,0.829
807.138261,0.726
808.0775222000001,0.726
809.0167834,0.8299
809.9560446,0.7521
810.8953058,0.749
811.834567,0.7101
812.7738282,0.71
813.7130894000001,0.8285
814.6523506,0.829
815.5916118,0.7076
816.530873,0.664
817.4701342000001,0.664
818.4093954,0.7778
819.3486566,0.8399
820.2879178,0.826
821.227179,0.7512
822.1664402,0.6833
823.1057014,0.6173
824.0449626,0.616
824.9842238,0.617
825.923485,0.645
826.8627462000001,0.8158
827.8020074,0.807
828.7412686,0.8
829.6805297999999,0.7013
830.619791,0.6462
831.5590522,0.654
832.4983134,0.7058
833.4375746,0.7736
834.3768358,0.8157
835.316097,0.668
836.2553582,0.667
837.1946194,0.667
838.1338806,0.678
839.0731417999999,0.7977
840.012403,0.8
840.9516642,0.801
841.8909254,0.801
842.8301865999999,0.7363
843.7694478,0.733
844.708709,0.736
845.6479702,0.781
846.5872314000001,0.781
847.5264926,0.775
848.4657538,0.767
849.405015,0.767
850.3442762000001,0.777
851.2835374,0.785
852.2227986,0.7949
853.1620598,0.798
854.101321,0.803
855.0405822,0.806
855.9798434,0.808
856.9191046,0.81
857.8583658,0.816
858.797627,0.826
859.7368882000001,0.827
860.6761494,0.83
861.6154106,0.833
862.5546717999999,0.837
863.493933,0.842
864.4331942,0.852
865.3724554,0.853
866.3117166,0.856
867.2509778,0.859
868.190239,0.862
869.1295002,0.872
870.0687614,0.878
871.0080226,0.882
871.9472837999999,0.888
872.886545,0.894
873.8258063999999,0.897
874.7650678,0.904
875.7043292,0.907
876.6435906,0.908
877.582852,0.911
878.5221132,0.914
879.4613744000001,0.92
880.4006356,0.923
881.3398968,0.927
882.279158,0.931
883.2184192000001,0.934
884.1576804,0.936
885.0969416,0.942
886.0362028,0.946
886.975464,0.949
887.9147252,0.952
888.8539864,0.955
889.7932476,0.956
890.7325088,0.958
891.67177,0.96
892.6110312000001,0.963
893.5502924,0.965
894.4895536,0.966
895.4288147999999,0.969
896.368076,0.972
897.3073372,0.973
898.2465984,0.976
899.1858596,0.976
900.1251208,0.978
901.064382,0.979
902.0036432,0.984
902.9429044,0.985
903.8821656,0.985
904.8214267999999,0.986
905.760688,0.988
906.6999492,0.988
907.6392104,0.989
908.5784716,0.991
909.5177328,0.991
910.456994,0.991
911.3962552,0.992
912.3355164,0.992
913.2747776,0.994
914.2140387999999,0.997
915.1533,0.998
916.0925612,0.997
