sigma,transmittance
392.049,0.817
392.9195762,0.818
393.7901524,0.819
394.66072859999997,0.819
395.5313048,0.821
396.401881,0.821
397.2724572,0.822
398.14303340000004,0.822
399.0136096,0.822
399.8841858,0.824
400.754762,0.825
401.62533840000003,0.825
402.49591480000004,0.825
403.3664912,0.826
404.2370676,0.826
405.107644,0.826
405.9782202,0.829
406.8487964,0.829
407.7193726,0.83
408.5899488,0.83
409.460525,0.832
410.33110120000003,0.832
411.2016774,0.832
412.0722536,0.83
412.94282979999997,0.829
413.813406,0.826
414.6839822,0.825
415.5545584,0.822
416.4251346,0.819
417.2957108,0.817
418.166287,0.811
419.0368634,0.803
419.9074398,0.799
420.77801619999997,0.792
421.6485926,0.791
422.519169,0.78
423.3897452,0.774
424.2603214,0.77
425.13089759999997,0.77
426.0014738,0.768
426.87205,0.766
427.7426262,0.766
428.61320240000003,0.765
429.4837786,0.765
430.3543548,0.765
431.224931,0.766
432.09550720000004,0.766
432.9660834,0.769
433.8366596,0.77
434.7072358,0.773
435.577812,0.774
436.4483882,0.776
437.3189644,0.778
438.1895406,0.783
439.0601168,0.787
439.930693,0.791
440.8012694,0.793
441.6718458,0.796
442.5424222,0.804
443.4129986,0.81
444.283575,0.811
445.1541512,0.815
446.0247274,0.819
446.8953036,0.825
447.7658798,0.83
448.636456,0.832
449.5070322,0.833
450.3776084,0.836
451.2481846,0.839
452.11876079999996,0.844
452.989337,0.845
453.8599132,0.848
454.7304894,0.848
455.60106559999997,0.849
456.4716418,0.851
457.342218,0.852
458.2127944,0.852
459.0833708,0.855
459.9539472,0.855
460.8245236,0.855
461.6951,0.856
462.56567620000004,0.856
463.4362524,0.856
464.3068286,0.858
465.1774048,0.858
466.047981,0.858
466.9185572,0.858
467.7891334,0.858
468.6597096,0.856
469.5302858,0.856
470.400862,0.856
471.27143820000003,0.858
472.1420144,0.858
473.0125906,0.856
473.88316679999997,0.856
474.753743,0.856
475.6243192,0.856
476.4948954,0.856
477.3654716,0.856
478.2360478,0.856
479.106624,0.856
479.9772004,0.856
480.8477768,0.855
481.71835319999997,0.854
482.5889296,0.852
483.459506,0.851
484.3300822,0.851
485.2006584,0.849
486.07123459999997,0.849
486.9418108,0.848
487.812387,0.848
488.6829632,0.847
489.55353940000003,0.847
490.4241156,0.845
491.2946918,0.844
492.165268,0.841
493.03584420000004,0.84
493.9064204,0.839
494.7769966,0.836
495.6475728,0.836
496.518149,0.836
497.3887254,0.834
498.2593018,0.833
499.1298782,0.832
500.0004546,0.83
500.871031,0.829
501.74160720000003,0.826
502.6121834,0.824
503.4827596,0.821
504.35333579999997,0.821
505.223912,0.819
506.0944882,0.818
506.9650644,0.817
507.8356406,0.815
508.7062168,0.813
509.576793,0.811
510.4473692,0.809
511.3179454,0.806
512.1885216,0.803
513.0590978,0.803
513.929674,0.8
514.8002501999999,0.799
515.6708264,0.796
516.5414026,0.795
517.4119788,0.793
518.282555,0.792
519.1531314,0.787
520.0237078,0.787
520.8942842,0.784
521.7648606,0.781
522.635437,0.78
523.5060132,0.777
524.3765894000001,0.776
525.2471656,0.774
526.1177418000001,0.77
526.988318,0.768
527.8588942,0.765
528.7294704,0.762
529.6000466,0.761
530.4706228,0.758
531.341199,0.755
532.2117751999999,0.751
533.0823514,0.75
533.9529276,0.747
534.8235038,0.744
535.69408,0.743
536.5646564,0.74
537.4352328,0.739
538.3058092,0.736
539.1763856,0.733
540.046962,0.732
540.9175382,0.731
541.7881144,0.727
542.6586906,0.725
543.5292668000001,0.724
544.399843,0.723
545.2704192,0.723
546.1409954,0.72
547.0115716,0.718
547.8821478,0.716
548.752724,0.714
549.6233001999999,0.713
550.4938764,0.712
551.3644525999999,0.709
552.2350288,0.706
553.105605,0.703
553.9761811999999,0.699
554.8467574,0.697
555.7173336,0.697
556.5879098,0.695
557.458486,0.694
558.3290624,0.693
559.1996388,0.691
560.0702152,0.688
560.9407916,0.684
561.811368,0.68
562.6819442,0.678
563.5525204,0.676
564.4230966,0.675
565.2936728000001,0.673
566.164249,0.671
567.0348252,0.668
567.9054014,0.665
568.7759776,0.663
569.6465538,0.661
570.51713,0.661
571.3877061999999,0.66
572.2582824,0.658
573.1288586,0.658
573.9994348,0.657
574.870011,0.653
575.7405874,0.649
576.6111638,0.648
577.4817402,0.645
578.3523166,0.645
579.222893,0.643
580.0934692,0.643
580.9640454,0.641
581.8346216,0.637
582.7051978000001,0.634
583.575774,0.631
584.4463502,0.63
585.3169264,0.628
586.1875026,0.627
587.0580788000001,0.624
587.928655,0.623
588.7992312,0.622
589.6698074,0.622
590.5403836,0.62
591.4109598,0.618
592.281536,0.615
593.1521121999999,0.615
594.0226884,0.613
594.8932646,0.611
595.7638408,0.609
596.634417,0.607
597.5049934,0.607
598.3755698,0.604
599.2461462,0.604
600.1167226,0.603
600.987299,0.601
601.8578752,0.6
602.7284514,0.596
603.5990276,0.594
604.4696038000001,0.593
605.34018,0.593
606.2107562,0.59
607.0813324,0.589
607.9519086,0.586
608.8224848,0.586
609.693061,0.585
610.5636371999999,0.583
611.4342134,0.581
612.3047895999999,0.579
613.1753658,0.578
614.045942,0.577
614.9165184,0.575
615.7870948,0.575
616.6576712,0.574
617.5282476,0.572
618.398824,0.571
619.2694002,0.57
620.1399764,0.567
621.0105526,0.567
621.8811288,0.566
622.751705,0.564
623.6222812,0.563
624.4928574,0.562
625.3634336,0.562
626.2340098000001,0.56
627.104586,0.56
627.9751622,0.56
628.8457384,0.56
629.7163146,0.56
630.5868908,0.559
631.457467,0.559
632.3280431999999,0.557
633.1986194,0.556
634.0691956,0.555
634.9397718,0.555
635.810348,0.553
636.6809244,0.553
637.5515008,0.552
638.4220772,0.552
639.2926536,0.551
640.16323,0.551
641.0338062,0.549
641.9043824,0.549
642.7749586,0.549
643.6455348000001,0.549
644.516111,0.549
645.3866872,0.549
646.2572634,0.549
647.1278396,0.549
647.9984158000001,0.549
648.868992,0.549
649.7395682,0.551
650.6101444,0.551
651.4807206,0.552
652.3512968,0.552
653.221873,0.552
654.0924494,0.553
654.9630258,0.555
655.8336022,0.556
656.7041786,0.557
657.574755,0.56
658.4453311999999,0.56
659.3159074,0.56
660.1864836,0.56
661.0570598,0.562
661.927636,0.562
662.7982122,0.562
663.6687884,0.562
664.5393646,0.562
665.4099408000001,0.562
666.280517,0.562
667.1510932,0.563
668.0216694000001,0.563
668.8922456,0.563
669.7628218000001,0.563
670.633398,0.563
671.5039742,0.563
672.3745504,0.563
673.2451266,0.563
674.1157028,0.563
674.986279,0.563
675.8568554,0.563
676.7274318,0.563
677.5980082,0.563
678.4685846,0.563
679.339161,0.564
680.2097372,0.566
681.0803134,0.567
681.9508896,0.567
682.8214658,0.567
683.692042,0.568
684.5626182,0.571
685.4331944,0.571
686.3037706,0.572
687.1743468000001,0.574
688.044923,0.574
688.9154992,0.575
689.7860754,0.575
690.6566516,0.578
691.5272278,0.579
692.397804,0.582
693.2683804,0.583
694.1389568,0.585
695.0095332,0.586
695.8801096,0.587
696.750686,0.589
697.6212621999999,0.59
698.4918384,0.593
699.3624146,0.594
700.2329908,0.594
701.103567,0.596
701.9741432,0.598
702.8447194,0.6
703.7152956,0.601
704.5858718000001,0.601
705.456448,0.603
706.3270242,0.604
707.1976004,0.607
708.0681766,0.609
708.9387528000001,0.611
709.809329,0.612
710.6799052,0.613
711.5504814,0.615
712.4210576,0.616
713.2916338,0.616
714.16221,0.62
715.0327864,0.622
715.9033628,0.623
716.7739392,0.628
717.6445156,0.628
718.515092,0.63
