sigma,transmittance
392.206,0.92
393.1413104,0.92
394.0766208,0.92
395.0119312,0.92
395.9472416,0.92
396.882552,0.92
397.81786259999996,0.92
398.7531732,0.92
399.6884838,0.92
400.6237944,0.92
401.559105,0.92
402.4944154,0.92
403.42972579999997,0.92
404.3650362,0.92
405.3003466,0.92
406.235657,0.919
407.1709674,0.919
408.1062778,0.919
409.04158820000004,0.919
409.9768986,0.919
410.912209,0.919
411.8475194,0.916
412.7828298,0.916
413.7181402,0.916
414.6534506,0.917
415.588761,0.917
416.52407159999996,0.917
417.4593822,0.917
418.3946928,0.917
419.3300034,0.917
420.265314,0.916
421.2006244,0.916
422.1359348,0.916
423.0712452,0.916
424.0065556,0.914
424.941866,0.914
425.8771764,0.913
426.8124868,0.913
427.74779720000004,0.913
428.6831076,0.911
429.618418,0.908
430.5537284,0.906
431.4890388,0.901
432.4243492,0.898
433.3596596,0.895
434.29497,0.894
435.23028059999996,0.892
436.1655912,0.892
437.1009018,0.888
438.0362124,0.885
438.971523,0.882
439.9068334,0.881
440.8421438,0.878
441.7774542,0.876
442.7127646,0.873
443.648075,0.872
444.5833854,0.869
445.5186958,0.867
446.45400620000004,0.864
447.38931660000003,0.863
448.324627,0.86
449.2599376,0.859
450.1952482,0.856
451.1305588,0.856
452.0658694,0.854
453.00118,0.854
453.93649039999997,0.854
454.87180079999996,0.853
455.8071112,0.853
456.7424216,0.854
457.677732,0.854
458.6130424,0.856
459.5483528,0.856
460.4836632,0.857
461.4189736,0.86
462.354284,0.863
463.2895944,0.866
464.2249048,0.869
465.16021520000004,0.87
466.09552560000003,0.875
467.030836,0.879
467.9661466,0.882
468.9014572,0.885
469.8367678,0.891
470.7720784,0.894
471.707389,0.9
472.64269939999997,0.906
473.57800979999996,0.911
474.5133202,0.914
475.4486306,0.92
476.383941,0.926
477.3192514,0.933
478.2545618,0.935
479.1898722,0.938
480.1251826,0.944
481.060493,0.95
481.9958034,0.955
482.9311138,0.958
483.86642420000004,0.961
484.80173460000003,0.964
485.737045,0.969
486.6723556,0.972
487.6076662,0.977
488.5429768,0.979
489.4782874,0.98
490.413598,0.985
491.34890839999997,0.988
492.28421879999996,0.989
493.2195292,0.991
494.1548396,0.992
495.09015,0.995
496.0254604,0.995
496.9607708,0.997
497.8960812,0.997
498.8313916,0.997
499.766702,0.998
500.7020124,1.0
501.6373228,1.0
502.57263320000004,1.001
503.50794360000003,1.001
504.443254,1.002
505.3785646,1.002
506.3138752,1.002
507.2491858,1.002
508.1844964,1.002
509.119807,1.002
510.0551174,1.002
510.9904278,1.004
511.9257382,1.004
512.8610486,1.004
513.796359,1.004
514.7316694,1.004
515.6669798,1.004
516.6022902,1.005
517.5376006,1.005
518.472911,1.005
519.4082215999999,1.005
520.3435321999999,1.005
521.2788428,1.005
522.2141534,1.005
523.149464,1.005
524.0847744,1.005
525.0200848,1.005
525.9553952,1.007
526.8907055999999,1.008
527.826016,1.008
528.7613264,1.01
529.6966368,1.01
530.6319472,1.01
531.5672576,1.01
532.502568,1.011
533.4378784,1.011
534.3731888,1.011
535.3084992,1.011
536.2438096,1.011
537.17912,1.013
538.1144306,1.013
539.0497412,1.013
539.9850518000001,1.011
540.9203624,1.01
541.855673,1.01
542.7909834000001,1.01
543.7262938,1.01
544.6616042,1.01
545.5969146,1.011
546.532225,1.011
547.4675354000001,1.011
548.4028458,1.011
549.3381562000001,1.011
550.2734666,1.013
551.208777,1.013
552.1440874,1.013
553.0793978,1.014
554.0147082,1.014
554.9500186,1.014
555.885329,1.013
556.8206395999999,1.013
557.7559501999999,1.011
558.6912608,1.011
559.6265714,1.013
560.561882,1.013
561.4971924,1.013
562.4325028,1.013
563.3678132,1.011
564.3031235999999,1.011
565.238434,1.01
566.1737444,1.01
567.1090548,1.01
568.0443652,1.01
568.9796756,1.01
569.914986,1.01
570.8502966,1.01
571.7856072,1.01
572.7209178,1.01
573.6562284,1.008
574.591539,1.008
575.5268494000001,1.008
576.4621598,1.008
577.3974702,1.008
578.3327806,1.01
579.268091,1.01
580.2034014000001,1.011
581.1387118,1.011
582.0740222000001,1.011
583.0093326,1.01
583.944643,1.01
584.8799534,1.01
585.8152638,1.01
586.7505742,1.01
587.6858846,1.01
588.621195,1.008
589.5565055999999,1.008
590.4918161999999,1.007
591.4271268,1.004
592.3624374,1.002
593.297748,1.001
594.2330584,1.001
595.1683687999999,1.001
596.1036792,1.001
597.0389895999999,1.001
597.9743,1.001
598.9096104,1.001
599.8449208,1.0
600.7802312,1.0
601.7155415999999,0.998
602.650852,0.997
603.5861624,0.995
604.5214728,0.992
605.4567832,0.991
606.3920936,0.991
607.327404,0.989
608.2627146,0.989
609.1980252,0.988
610.1333358,0.986
611.0686464,0.986
612.003957,0.988
612.9392674000001,0.988
613.8745778,0.988
614.8098882,0.988
615.7451986,0.988
616.680509,0.986
617.6158194000001,0.986
618.5511298,0.986
619.4864402000001,0.988
620.4217506,0.989
621.357061,0.991
622.2923716,0.991
623.2276822,0.991
624.1629928,0.991
625.0983034,0.991
626.033614,0.989
626.9689244,0.986
627.9042347999999,0.98
628.8395452,0.975
629.7748555999999,0.963
630.710166,0.953
631.6454764,0.944
632.5807867999999,0.942
633.5160972,0.942
634.4514075999999,0.947
635.386718,0.95
636.3220284,0.954
637.2573388,0.954
638.1926492,0.955
639.1279595999999,0.955
640.06327,0.96
640.9985806,0.969
641.9338912,0.979
642.8692018,0.982
643.8045124,0.988
644.739823,0.989
645.6751334,0.991
646.6104438,0.992
647.5457542,0.992
648.4810646,0.992
649.416375,0.994
650.3516854000001,0.994
651.2869958,0.998
652.2223062,0.998
653.1576166,0.998
654.092927,0.997
655.0282374000001,0.997
655.9635478,0.997
656.8988582000001,0.995
657.8341686,0.995
658.769479,0.995
659.7047896,1.002
660.6401002,1.002
661.5754108,1.004
662.5107214,1.005
663.446032,1.005
664.3813424,1.007
665.3166527999999,1.007
666.2519632,1.008
667.1872735999999,1.008
668.122584,1.01
669.0578944,1.01
669.9932048,1.011
670.9285152,1.011
671.8638255999999,1.013
672.799136,1.013
673.7344464,1.014
674.6697568,1.014
675.6050672,1.016
676.5403775999999,1.016
677.475688,1.016
678.4109986,1.017
679.3463092,1.017
680.2816198,1.019
681.2169304,1.019
682.152241,1.02
683.0875514,1.02
684.0228618,1.02
684.9581722,1.02
685.8934826,1.022
686.828793,1.022
687.7641034000001,1.022
688.6994138,1.023
689.6347242,1.023
690.5700346,1.023
691.505345,1.024
692.4406556,1.024
693.3759662,1.024
694.3112768000001,1.024
695.2465874000001,1.024
696.181898,1.024
697.1172084,1.026
698.0525188,1.026
698.9878292,1.026
699.9231396,1.026
700.85845,1.026
701.7937604,1.026
702.7290707999999,1.026
703.6643812,1.026
704.5996915999999,1.026
705.535002,1.026
706.4703124,1.026
707.4056228,1.026
708.3409332,1.026
709.2762435999999,1.026
710.211554,1.026
711.1468646,1.026
712.0821751999999,1.026
713.0174858,1.026
713.9527964,1.026
714.888107,1.024
715.8234174,1.024
716.7587278,1.024
717.6940382,1.023
