sigma,transmittance
550.0,0.0005455999999999999
554.0,0.000336
558.0,0.0003216
562.0,0.0002432
566.0,0.0002048
570.0,0.00028639999999999997
574.0,0.000272
578.0,0.00023679999999999998
582.0,0.0002592
586.0,0.0002352
590.0,0.0001792
594.0,0.0001792
598.0,0.00014879999999999998
602.0,7.52e-05
606.0,9.279999999999999e-05
610.0,0.0001904
614.0,0.00021759999999999998
618.0,0.00021759999999999998
622.0,0.00023999999999999998
626.0,0.00021439999999999998
630.0,0.00017439999999999998
634.0,0.000208
638.0,0.0001904
642.0,0.00011679999999999999
646.0,9.6e-05
650.0,0.00011679999999999999
654.0,0.00011679999999999999
658.0,5.4399999999999994e-05
662.0,3.68e-05
666.0,7.2e-05
670.0,9.92e-05
674.0,7.84e-05
678.0,4.32e-05
682.0,2.24e-05
686.0,1.28e-05
690.0,5.12e-05
694.0,5.6e-05
698.0,5.2799999999999996e-05
702.0,7.2e-05
706.0,7.36e-05
710.0,7.999999999999999e-05
714.0,7.999999999999999e-05
718.0,8.8e-05
722.0,0.0001312
726.0,0.000168
730.0,0.0001872
734.0,0.0002608
738.0,0.0002608
742.0,0.0002208
746.0,0.0003104
750.0,0.000384
754.0,0.00036639999999999996
758.0,0.0003696
762.0,0.00037759999999999996
766.0,0.0004048
770.0,0.0004304
774.0,0.000384
778.0,0.00037119999999999997
782.0,0.000392
786.0,0.000408
790.0,0.0004432
794.0,0.0004256
798.0,0.000464
802.0,0.000544
806.0,0.0005568
810.0,0.0005616
814.0,0.0005648
818.0,0.0005632
822.0,0.0005376
826.0,0.0005951999999999999
830.0,0.0006399999999999999
834.0,0.0005888
838.0,0.0005312
842.0,0.00052
846.0,0.0005216
850.0,0.0004896
854.0,0.000512
858.0,0.0005455999999999999
862.0,0.0005264
866.0,0.000504
870.0,0.0005488
874.0,0.000656
878.0,0.0007712
882.0,0.0008719999999999999
886.0,0.0009104
890.0,0.0009456
894.0,0.0009632
898.0,0.0008384
902.0,0.0007072
906.0,0.000584
910.0,0.0004128
914.0,0.0003184
918.0,0.00030399999999999996
922.0,0.000312
926.0,0.0003232
930.0,0.0003408
934.0,0.000392
938.0,0.0004592
942.0,0.0005648
946.0,0.0007312
950.0,0.000928
954.0,0.0011007999999999999
958.0,0.0012448
962.0,0.0013792
966.0,0.0014592
970.0,0.0015248
974.0,0.0015616
978.0,0.0015792
982.0,0.0015647999999999999
986.0,0.0015023999999999999
990.0,0.0014655999999999998
994.0,0.0014112
998.0,0.001392
1002.0,0.0014303999999999999
1006.0,0.0014831999999999998
1010.0,0.0015856
1014.0,0.0017167999999999999
1018.0,0.0017871999999999999
1022.0,0.0018047999999999999
1026.0,0.0017392
1030.0,0.0016543999999999999
1034.0,0.0015631999999999998
1038.0,0.0013968
1042.0,0.0012736
1046.0,0.0011744
1050.0,0.0011152
1054.0,0.0010704
1058.0,0.001064
1062.0,0.0010256
1066.0,0.0009632
1070.0,0.000968
1074.0,0.0010064
1078.0,0.0010944
1082.0,0.0012416
1086.0,0.0014704
1090.0,0.0017231999999999998
1094.0,0.0019648
1098.0,0.0021647999999999997
1102.0,0.0023584
1106.0,0.0025407999999999997
1110.0,0.0027359999999999997
1114.0,0.0030239999999999998
1118.0,0.0033583999999999997
1122.0,0.003584
1126.0,0.0037216
1130.0,0.003848
1134.0,0.0039008
1138.0,0.0038031999999999996
1142.0,0.0036592
1146.0,0.0035776
1150.0,0.0035696
1154.0,0.0036063999999999996
1158.0,0.0036928
1162.0,0.0037151999999999997
1166.0,0.0036079999999999997
1170.0,0.0033696
1174.0,0.0030415999999999998
1178.0,0.0026512
1182.0,0.0022256
1186.0,0.0018751999999999998
1190.0,0.0015536
1194.0,0.001312
1198.0,0.001152
1202.0,0.0010624
1206.0,0.0010016
1210.0,0.000976
1214.0,0.0010448
1218.0,0.0011024
1222.0,0.0011248
1226.0,0.0011472
1230.0,0.0011376
1234.0,0.0010864
1238.0,0.0010688
1242.0,0.0010976
1246.0,0.0011087999999999998
1250.0,0.0011408
1254.0,0.001224
1258.0,0.00132
1262.0,0.0014223999999999999
1266.0,0.0014896
1270.0,0.0015119999999999999
1274.0,0.0015136
1278.0,0.001536
1282.0,0.0015248
1286.0,0.0014912
1290.0,0.0014368
1294.0,0.0013759999999999998
1298.0,0.0013664
1302.0,0.0014144
1306.0,0.0014927999999999999
1310.0,0.0015936
1314.0,0.0017503999999999998
1318.0,0.0019424
1322.0,0.002136
1326.0,0.002368
1330.0,0.0026352
1334.0,0.0029248
1338.0,0.00328
1342.0,0.0036431999999999997
