sigma,transmittance
590.139,0.721
591.0635006,0.726
591.9880012,0.728
592.9125018,0.728
593.8370024,0.723
594.761503,0.713
595.6860038,0.709
596.6105046,0.704
597.5350053999999,0.701
598.4595062,0.7
599.384007,0.699
600.3085076,0.698
601.2330082,0.698
602.1575088000001,0.698
603.0820094000001,0.696
604.00651,0.696
604.9310106,0.696
605.8555112,0.696
606.7800118,0.696
607.7045124,0.695
608.629013,0.695
609.5535138,0.695
610.4780146,0.694
611.4025154,0.693
612.3270162,0.691
613.251517,0.69
614.1760176,0.689
615.1005182,0.687
616.0250188,0.683
616.9495194,0.682
617.87402,0.679
618.7985208,0.677
619.7230216,0.674
620.6475224,0.672
621.5720232,0.665
622.496524,0.66
623.4210246,0.658
624.3455252,0.657
625.2700258,0.657
626.1945264,0.656
627.119027,0.656
628.0435276,0.656
628.9680281999999,0.656
629.8925288,0.657
630.8170294,0.66
631.74153,0.668
632.6660308,0.676
633.5905316,0.682
634.5150324,0.687
635.4395331999999,0.69
636.364034,0.705
637.2885345999999,0.707
638.2130351999999,0.711
639.1375358,0.726
640.0620364,0.733
640.986537,0.739
641.9110376,0.746
642.8355382,0.7589
643.7600388000001,0.76
644.6845394000001,0.766
645.60904,0.773
646.5335408000001,0.776
647.4580416,0.777
648.3825424,0.779
649.3070432,0.781
650.231544,0.783
651.1560446,0.786
652.0805452,0.788
653.0050458000001,0.79
653.9295464,0.793
654.854047,0.794
655.7785478000001,0.794
656.7030486,0.795
657.6275494,0.797
658.5520501999999,0.799
659.476551,0.8
660.4010516,0.801
661.3255522,0.801
662.2500528,0.803
663.1745534,0.804
664.099054,0.804
665.0235546,0.805
665.9480552,0.805
666.8725558,0.805
667.7970564,0.805
668.721557,0.806
669.6460578,0.806
670.5705586,0.806
671.4950594,0.806
672.4195602,0.806
673.344061,0.805
674.2685616,0.805
675.1930622,0.804
676.1175628,0.804
677.0420634,0.804
677.966564,0.803
678.8910645999999,0.801
679.8155651999999,0.8
680.7400658,0.799
681.6645664,0.799
682.589067,0.798
683.5135678,0.797
684.4380686000001,0.794
685.3625694,0.793
686.2870702,0.788
687.211571,0.786
688.1360716,0.786
689.0605722,0.781
689.9850728,0.777
690.9095734,0.775
691.834074,0.772
692.7585748,0.766
693.6830756,0.759
694.6075764,0.751
695.5320772,0.744
696.456578,0.738
697.3810786,0.733
698.3055792,0.728
699.2300798,0.722
700.1545804,0.7131
701.079081,0.707
702.0035816,0.702
702.9280822,0.696
703.8525828,0.69
704.7770834,0.689
705.701584,0.688
706.6260848000001,0.682
707.5505856,0.679
708.4750864,0.677
709.3995871999999,0.677
710.324088,0.676
711.2485886,0.676
712.1730891999999,0.676
713.0975898,0.677
714.0220904,0.677
714.946591,0.677
715.8710916,0.677
716.7955922,0.677
