sigma,transmittance
391.115,0.937
391.98608160000003,0.939
392.8571632,0.939
393.7282448,0.939
394.5993264,0.939
395.470408,0.941
396.34148980000003,0.941
397.2125716,0.942
398.0836534,0.942
398.95473519999996,0.943
399.825817,0.943
400.6968986,0.943
401.56798019999997,0.945
402.4390618,0.946
403.31014339999996,0.946
404.181225,0.946
405.0523068,0.948
405.9233886,0.949
406.79447039999997,0.949
407.6655522,0.949
408.536634,0.95
409.4077156,0.952
410.2787972,0.952
411.1498788,0.953
412.0209604,0.953
412.892042,0.954
413.76312360000003,0.954
414.6342052,0.954
415.5052868,0.954
416.3763684,0.954
417.24745,0.956
418.1185318,0.956
418.98961360000004,0.956
419.8606954,0.954
420.7317772,0.954
421.602859,0.954
422.4739406,0.954
423.3450222,0.953
424.2161038,0.952
425.0871854,0.952
425.958267,0.952
426.8293488,0.95
427.7004306,0.95
428.57151239999996,0.95
429.4425942,0.95
430.313676,0.949
431.1847576,0.949
432.0558392,0.948
432.9269208,0.948
433.7980024,0.948
434.669084,0.948
435.5401656,0.946
436.4112472,0.946
437.2823288,0.945
438.1534104,0.943
439.024492,0.942
439.8955738,0.939
440.76665560000004,0.937
441.6377374,0.935
442.5088192,0.935
443.379901,0.934
444.2509826,0.934
445.1220642,0.934
445.9931458,0.934
446.8642274,0.933
447.735309,0.931
448.6063908,0.93
449.4774726,0.928
450.34855439999995,0.928
451.21963619999997,0.927
452.090718,0.926
452.9617996,0.926
453.8328812,0.926
454.7039628,0.926
455.57504439999997,0.924
456.446126,0.924
457.3172076,0.924
458.1882892,0.923
459.0593708,0.923
459.9304524,0.922
460.801534,0.922
461.6726158,0.92
462.54369760000003,0.919
463.4147794,0.918
464.2858612,0.915
465.156943,0.915
466.02802460000004,0.913
466.8991062,0.913
467.77018780000003,0.913
468.6412694,0.912
469.512351,0.912
470.38343280000004,0.912
471.2545146,0.911
472.1255964,0.911
472.99667819999996,0.911
473.86776,0.911
474.7388416,0.909
475.60992319999997,0.908
476.4810048,0.908
477.35208639999996,0.908
478.223168,0.908
479.0942496,0.908
479.9653312,0.908
480.8364128,0.908
481.7074944,0.908
482.578576,0.908
483.4496578,0.908
484.3207396,0.908
485.1918214,0.908
486.0629032,0.908
486.933985,0.908
487.80506660000003,0.908
488.6761482,0.907
489.5472298,0.907
490.4183114,0.905
491.289393,0.905
492.16047480000003,0.905
493.03155660000004,0.905
493.9026384,0.905
494.7737202,0.904
495.644802,0.903
496.5158836,0.901
497.3869652,0.9
498.2580468,0.898
499.1291284,0.897
500.00021,0.894
500.8712916,0.893
501.7423732,0.893
502.6134548,0.892
503.48453639999997,0.892
504.355618,0.89
505.2266998,0.89
506.0977816,0.89
506.9688634,0.89
507.8399452,0.889
508.711027,0.889
509.58210859999997,0.889
510.4531902,0.889
511.32427179999996,0.889
512.1953533999999,0.887
513.066435,0.887
513.9375167999999,0.887
514.8085986,0.887
515.6796803999999,0.886
516.5507622,0.885
517.421844,0.883
518.2929256,0.883
519.1640072,0.882
520.0350887999999,0.881
520.9061704,0.881
521.777252,0.881
522.6483336,0.879
523.5194152,0.878
524.3904967999999,0.878
525.2615784,0.877
526.13266,0.875
527.0037418,0.872
527.8748236,0.871
528.7459054,0.871
529.6169872,0.871
530.488069,0.87
531.3591506,0.87
532.2302322,0.87
533.1013138,0.87
533.9723954,0.87
534.843477,0.868
535.7145588,0.868
536.5856406,0.868
537.4567224,0.868
538.3278042000001,0.868
539.198886,0.868
540.0699676,0.868
540.9410492000001,0.868
541.8121308,0.868
542.6832124,0.867
543.554294,0.867
544.4253758,0.867
545.2964576,0.867
546.1675394,0.867
547.0386212000001,0.867
547.909703,0.866
548.7807846000001,0.866
549.6518662000001,0.866
550.5229478,0.866
551.3940294,0.863
552.265111,0.863
553.1361926000001,0.863
554.0072742,0.862
554.8783558,0.862
555.7494373999999,0.862
556.620519,0.862
557.4916007999999,0.862
558.3626826,0.86
559.2337643999999,0.86
560.1048462,0.86
560.975928,0.86
561.8470096,0.86
562.7180912,0.86
563.5891727999999,0.86
564.4602543999999,0.86
565.331336,0.86
566.2024177999999,0.859
567.0734996,0.859
567.9445814,0.859
568.8156632,0.859
569.686745,0.859
570.5578266,0.859
571.4289082,0.859
572.2999897999999,0.859
573.1710714,0.859
574.042153,0.857
574.9132346,0.857
575.7843162,0.857
576.6553978,0.856
577.5264794,0.856
578.397561,0.856
579.2686428,0.856
580.1397246,0.856
581.0108064,0.855
581.8818882,0.855
582.75297,0.855
583.6240516,0.855
584.4951332,0.855
585.3662148,0.852
586.2372964,0.852
587.108378,0.851
587.9794598,0.851
588.8505416,0.851
589.7216234,0.851
590.5927052000001,0.851
591.463787,0.851
592.3348686,0.851
593.2059502000001,0.851
594.0770318,0.849
594.9481134,0.849
595.819195,0.849
596.6902766000001,0.849
597.5613582000001,0.849
598.4324398,0.849
599.3035214,0.848
600.174603,0.848
601.0456848,0.848
601.9167666000001,0.848
602.7878484,0.848
603.6589302000001,0.848
604.530012,0.848
605.4010936000001,0.845
606.2721752,0.844
607.1432568,0.844
608.0143383999999,0.844
608.88542,0.844
609.7565017999999,0.842
610.6275836,0.842
611.4986653999999,0.842
612.3697472,0.844
613.240829,0.844
614.1119106,0.844
614.9829922,0.844
615.8540737999999,0.844
616.7251554,0.842
617.596237,0.842
618.4673186,0.842
619.3384002,0.842
620.2094817999999,0.842
621.0805634,0.844
621.951645,0.844
622.8227267999999,0.844
623.6938086,0.844
624.5648904,0.844
625.4359722,0.844
626.307054,0.844
627.1781356,0.844
628.0492172,0.844
628.9202988,0.842
629.7913804,0.842
630.662462,0.842
631.5335438,0.841
632.4046256,0.841
633.2757074,0.841
634.1467892000001,0.842
635.017871,0.842
635.8889526,0.841
636.7600342000001,0.841
637.6311158,0.841
638.5021974,0.84
639.373279,0.84
640.2443606,0.84
641.1154422000001,0.84
641.9865238,0.84
642.8576054,0.84
643.728687,0.84
644.5997688,0.84
645.4708506000001,0.84
646.3419324,0.841
647.2130142000001,0.841
648.084096,0.841
648.9551776000001,0.841
649.8262592000001,0.841
650.6973408,0.841
651.5684224,0.841
652.439504,0.841
653.3105858,0.841
654.1816676,0.841
655.0527494,0.842
655.9238312,0.842
656.794913,0.842
657.6659946,0.844
658.5370762,0.844
659.4081577999999,0.845
660.2792393999999,0.845
661.150321,0.845
662.0214026,0.845
662.8924842,0.846
663.7635657999999,0.846
664.6346474,0.846
665.505729,0.846
666.3768107999999,0.848
667.2478926,0.848
668.1189744,0.848
668.9900562,0.848
669.861138,0.848
670.7322196,0.848
671.6033012,0.848
672.4743828,0.848
673.3454644,0.848
674.216546,0.849
675.0876278,0.849
675.9587096,0.851
676.8297914,0.853
677.7008732,0.855
678.571955,0.855
679.4430366,0.855
680.3141182,0.855
681.1851998,0.856
682.0562814,0.857
682.927363,0.857
683.7984446,0.857
684.6695262000001,0.859
685.5406078,0.86
686.4116894,0.86
687.282771,0.862
688.1538528,0.862
