sigma,transmittance
458.191,0.86
459.044244,0.86
459.897488,0.861
460.75073199999997,0.861
461.603976,0.861
462.45722,0.862
463.3104642,0.862
464.1637084,0.862
465.01695259999997,0.864
465.8701968,0.864
466.723441,0.868
467.576685,0.869
468.429929,0.869
469.283173,0.87
470.136417,0.87
470.989661,0.872
471.84290500000003,0.872
472.696149,0.872
473.549393,0.872
474.40263699999997,0.873
475.255881,0.874
476.109125,0.876
476.962369,0.876
477.815613,0.877
478.668857,0.878
479.522101,0.88
480.3753452,0.881
481.22858940000003,0.882
482.0818336,0.882
482.9350778,0.884
483.788322,0.884
484.641566,0.885
485.49481000000003,0.886
486.348054,0.889
487.201298,0.889
488.054542,0.889
488.90778600000004,0.89
489.76103,0.89
490.614274,0.892
491.467518,0.892
492.320762,0.893
493.174006,0.893
494.02725,0.894
494.880494,0.896
495.73373799999996,0.897
496.586982,0.898
497.4402262,0.898
498.2934704,0.9
499.1467146,0.9
499.9999588,0.898
500.853203,0.9
501.706447,0.901
502.559691,0.902
503.412935,0.902
504.26617899999997,0.902
505.119423,0.902
505.972667,0.902
506.825911,0.904
507.679155,0.904
508.532399,0.904
509.385643,0.904
510.23888700000003,0.905
511.09213100000005,0.905
511.945375,0.905
512.798619,0.905
513.651863,0.904
514.5051072,0.904
515.3583514000001,0.904
516.2115956,0.904
517.0648398000001,0.904
517.918084,0.905
518.771328,0.905
519.6245720000001,0.905
520.477816,0.905
521.33106,0.906
522.184304,0.905
523.037548,0.905
523.890792,0.906
524.7440359999999,0.906
525.59728,0.906
526.450524,0.906
527.303768,0.906
528.157012,0.906
529.0102559999999,0.909
529.8634999999999,0.91
530.716744,0.91
531.5699882,0.91
532.4232324,0.909
533.2764766,0.908
534.1297208,0.906
534.982965,0.906
535.836209,0.908
536.6894530000001,0.909
537.542697,0.909
538.395941,0.909
539.249185,0.909
540.102429,0.909
540.955673,0.909
541.808917,0.91
542.662161,0.91
543.515405,0.91
544.3686491999999,0.91
545.2218934,0.91
546.0751376,0.912
546.9283818,0.912
547.781626,0.912
548.63487,0.912
549.488114,0.913
550.341358,0.912
551.194602,0.912
552.047846,0.912
552.9010900000001,0.913
553.7543340000001,0.914
554.607578,0.916
555.460822,0.916
556.314066,0.917
557.16731,0.917
558.0205540000001,0.917
558.873798,0.918
559.727042,0.918
560.580286,0.92
561.4335302,0.918
562.2867744,0.918
563.1400186,0.917
563.9932628,0.917
564.846507,0.917
565.699751,0.917
566.552995,0.918
567.4062389999999,0.918
568.2594829999999,0.918
569.112727,0.918
569.965971,0.918
570.819215,0.92
571.672459,0.92
572.525703,0.917
573.378947,0.917
574.2321910000001,0.916
575.0854350000001,0.914
575.938679,0.913
576.791923,0.913
577.645167,0.912
578.4984112,0.912
579.3516554,0.912
580.2048996,0.912
581.0581438,0.909
581.911388,0.909
582.764632,0.908
583.617876,0.908
584.4711199999999,0.905
585.324364,0.904
586.177608,0.901
587.030852,0.897
587.884096,0.893
