sigma,transmittance
382.813,0.975
383.7505016,0.973
384.6880032,0.973
385.6255048,0.975
386.5630064,0.973
387.500508,0.973
388.43800960000004,0.973
389.3755112,0.973
390.3130128,0.973
391.2505144,0.972
392.188016,0.972
393.1255176,0.972
394.0630192,0.972
395.0005208,0.97
395.93802239999997,0.97
396.875524,0.967
397.8130256,0.967
398.7505272,0.967
399.6880288,0.967
400.6255304,0.967
401.563032,0.967
402.5005334,0.966
403.4380348,0.966
404.3755362,0.966
405.31303760000003,0.966
406.250539,0.966
407.1880406,0.965
408.1255422,0.965
409.0630438,0.965
410.00054539999996,0.965
410.938047,0.963
411.8755486,0.965
412.8130502,0.965
413.7505518,0.965
414.6880534,0.963
415.625555,0.963
416.56305660000004,0.963
417.5005582,0.963
418.4380598,0.963
419.3755614,0.962
420.313063,0.962
421.2505646,0.962
422.1880662,0.962
423.1255678,0.96
424.06306939999996,0.96
425.000571,0.96
425.9380726,0.959
426.8755742,0.959
427.8130758,0.959
428.7505774,0.959
429.688079,0.957
430.62558060000003,0.957
431.5630822,0.956
432.5005838,0.956
433.4380854,0.956
434.375587,0.956
435.3130886,0.956
436.2505902,0.956
437.1880918,0.956
438.12559339999996,0.954
439.063095,0.954
440.0005964,0.954
440.9380978,0.954
441.8755992,0.954
442.8131006,0.956
443.750602,0.956
444.68810360000003,0.956
445.6256052,0.956
446.5631068,0.956
447.5006084,0.956
448.43811,0.956
449.3756116,0.956
450.3131132,0.957
451.2506148,0.957
452.18811639999996,0.957
453.125618,0.959
454.0631196,0.959
455.0006212,0.959
455.9381228,0.959
456.8756244,0.959
457.813126,0.959
458.75062760000003,0.959
459.6881292,0.959
460.6256308,0.959
461.5631324,0.959
462.500634,0.959
463.4381356,0.959
464.3756372,0.959
465.3131388,0.959
466.2506404,0.959
467.188142,0.959
468.12564360000005,0.959
469.0631452,0.959
470.0006468,0.959
470.9381484,0.959
471.87565,0.959
472.8131516,0.959
473.7506532,0.959
474.6881548,0.959
475.62565639999997,0.959
476.563158,0.959
477.5006596,0.959
478.4381612,0.96
479.3756628,0.96
480.3131644,0.962
481.250666,0.962
482.1881674,0.962
483.1256688,0.962
484.0631702,0.962
485.00067160000003,0.962
485.938173,0.96
486.8756746,0.96
487.8131762,0.959
488.7506778,0.959
489.68817939999997,0.957
490.625681,0.957
491.5631826,0.957
492.5006842,0.956
493.4381858,0.956
494.3756874,0.956
495.313189,0.956
496.25069060000004,0.954
497.1881922,0.954
498.1256938,0.953
499.0631954,0.953
500.000697,0.953
500.9381986,0.953
501.8757002,0.953
502.8132018,0.953
503.75070339999996,0.953
504.688205,0.953
505.6257066,0.953
506.5632082,0.951
507.5007098,0.951
508.4382114,0.951
509.375713,0.951
510.31321460000004,0.951
511.2507162,0.951
512.1882178,0.95
513.1257194,0.95
514.063221,0.95
515.0007226,0.95
515.9382242,0.95
516.8757257999999,0.95
517.8132274,0.95
518.750729,0.95
519.6882304,0.948
520.6257317999999,0.948
521.5632332,0.948
522.5007346,0.948
523.438236,0.948
524.3757376,0.948
525.3132392,0.948
526.2507408,0.947
527.1882424,0.947
528.125744,0.947
529.0632456000001,0.947
530.0007472000001,0.947
530.9382488,0.947
531.8757504,0.946
532.813252,0.946
533.7507536,0.946
534.6882552000001,0.946
535.6257568,0.946
536.5632584,0.946
537.50076,0.946
538.4382616,0.946
539.3757632,0.946
540.3132648,0.946
541.2507664,0.947
542.188268,0.947
543.1257696,0.947
544.0632712,0.947
545.0007727999999,0.948
545.9382744,0.948
546.875776,0.948
547.8132776,0.948
548.7507792,0.947
549.6882807999999,0.947
550.6257823999999,0.947
551.563284,0.947
552.5007856,0.947
553.4382872,0.947
554.3757888,0.948
555.3132904,0.947
556.250792,0.947
557.1882934,0.947
558.1257948,0.947
559.0632962000001,0.947
560.0007976,0.947
560.938299,0.947
561.8758006,0.947
562.8133022000001,0.947
563.7508038,0.946
564.6883054,0.946
565.625807,0.946
566.5633086,0.946
567.5008102,0.947
568.4383118,0.946
569.3758134,0.946
570.313315,0.946
571.2508166,0.946
572.1883182,0.946
573.1258197999999,0.946
574.0633214,0.947
575.000823,0.947
575.9383246,0.948
576.8758262,0.948
577.8133277999999,0.948
578.7508293999999,0.95
579.688331,0.95
580.6258326,0.951
581.5633342,0.951
582.5008358,0.951
583.4383374,0.951
584.375839,0.953
585.3133406000001,0.953
586.2508422000001,0.953
587.1883438,0.953
588.1258454,0.953
589.063347,0.953
590.0008486,0.953
590.9383502000001,0.954
591.8758518,0.954
592.8133534,0.954
593.750855,0.953
594.6883566,0.953
595.6258582,0.954
596.5633598,0.954
597.5008614,0.954
598.438363,0.956
599.3758644,0.956
600.3133657999999,0.956
601.2508672,0.957
602.1883686,0.957
603.12587,0.957
604.0633716,0.956
605.0008732,0.957
605.9383747999999,0.957
606.8758763999999,0.957
607.813378,0.959
608.7508796,0.959
609.6883812,0.959
610.6258828,0.96
611.5633844,0.96
612.500886,0.959
613.4383876,0.959
614.3758892000001,0.959
615.3133908,0.957
616.2508924,0.957
617.188394,0.957
618.1258956,0.957
619.0633972,0.957
620.0008988,0.957
620.9384004,0.957
621.875902,0.957
622.8134036,0.957
623.7509052,0.957
624.6884067999999,0.957
625.6259084,0.957
626.56341,0.959
627.5009116,0.959
628.4384132,0.96
629.3759147999999,0.962
630.3134163999999,0.962
631.250918,0.963
632.1884196,0.962
633.1259212,0.962
634.0634228,0.963
635.0009244,0.963
635.938426,0.963
636.8759274,0.965
637.8134288,0.965
638.7509302000001,0.965
639.6884316000001,0.966
640.625933,0.967
641.5634346,0.967
642.5009362000001,0.969
643.4384378,0.97
644.3759394,0.973
645.313441,0.975
646.2509426,0.975
647.1884442,0.976
648.1259458,0.979
649.0634474,0.981
650.000949,0.981
650.9384506,0.982
651.8759522,0.983
652.8134537999999,0.983
653.7509554,0.985
654.688457,0.985
655.6259586,0.985
656.5634602,0.985
657.5009617999999,0.985
658.4384633999999,0.985
659.375965,0.985
660.3134666,0.983
661.2509682,0.983
662.1884698,0.982
663.1259714,0.983
664.063473,0.983
665.0009746000001,0.983
665.9384762000001,0.983
666.8759778,0.985
667.8134794,0.983
668.750981,0.985
669.6884826,0.986
670.6259842000001,0.986
671.5634858,0.988
672.5009874,0.989
673.438489,0.991
