sigma,transmittance
402.089,0.963
403.3944862,0.963
404.6999724,0.963
406.0054586,0.961
407.31094479999996,0.959
408.616431,0.959
409.9219174,0.956
411.2274038,0.956
412.5328902,0.954
413.8383766,0.954
415.143863,0.952
416.44934920000003,0.952
417.7548354,0.948
419.0603216,0.942
420.36580779999997,0.94
421.671294,0.938
422.9767804,0.936
424.2822668,0.934
425.5877532,0.932
426.8932396,0.932
428.198726,0.93
429.50421220000004,0.924
430.8096984,0.922
432.1151846,0.92
433.4206708,0.92
434.726157,0.915
436.0316432,0.913
437.3371294,0.913
438.6426156,0.911
439.94810179999996,0.909
441.253588,0.905
442.5590744,0.905
443.8645608,0.905
445.1700472,0.905
446.4755336,0.905
447.78102,0.903
449.08650620000003,0.903
450.3919924,0.901
451.6974786,0.901
453.0029648,0.901
454.308451,0.901
455.6139372,0.901
456.9194234,0.899
458.2249096,0.899
459.5303958,0.897
460.835882,0.895
462.14136840000003,0.895
463.44685480000004,0.895
464.7523412,0.897
466.0578276,0.897
467.363314,0.899
468.6688002,0.899
469.9742864,0.899
471.2797726,0.899
472.58525879999996,0.899
473.890745,0.901
475.1962314,0.903
476.5017178,0.903
477.8072042,0.909
479.1126906,0.909
480.418177,0.909
481.72366320000003,0.911
483.0291494,0.911
484.3346356,0.911
485.6401218,0.911
486.945608,0.913
488.2510942,0.915
489.55658040000003,0.918
490.8620666,0.92
492.1675528,0.92
493.473039,0.92
494.77852540000004,0.922
496.08401180000004,0.922
497.3894982,0.93
498.6949846,0.934
500.000471,0.934
501.3059572,0.936
502.6114434,0.936
503.9169296,0.936
505.22241579999996,0.936
506.527902,0.938
507.8333882,0.94
509.1388744,0.942
510.4443606,0.942
511.7498468,0.944
513.055333,0.944
514.3608194,0.946
515.6663058,0.946
516.9717922,0.948
518.2772786,0.95
519.582765,0.952
520.8882512,0.954
522.1937374,0.956
523.4992235999999,0.956
524.8047098,0.959
526.110196,0.959
527.4156823999999,0.961
528.7211688,0.963
530.0266551999999,0.967
531.3321416,0.971
532.637628,0.973
533.9431142,0.975
535.2486004,0.977
536.5540866,0.977
537.8595728,0.979
539.165059,0.983
540.4705452000001,0.985
541.7760314000001,0.987
543.0815176,0.989
544.3870038,0.991
545.69249,0.993
546.9979764,1.004
548.3034628,1.006
549.6089492,1.008
550.9144356,1.008
552.219922,1.01
553.5254082,1.01
554.8308944,1.012
556.1363805999999,1.012
557.4418668,1.016
558.747353,1.018
560.0528393999999,1.018
561.3583258,1.018
562.6638121999999,1.02
563.9692986,1.022
565.274785,1.022
566.5802712,1.022
567.8857574,1.024
569.1912436,1.024
570.4967298,1.024
571.802216,1.026
573.1077022000001,1.026
574.4131884000001,1.026
575.7186746,1.026
577.0241608,1.026
578.329647,1.026
579.6351334,1.026
580.9406198,1.028
582.2461062,1.028
583.5515926,1.028
584.857079,1.026
586.1625652,1.026
587.4680514,1.026
588.7735375999999,1.026
590.0790238,1.026
591.38451,1.026
592.6899962,1.026
593.9954824,1.026
595.3009685999999,1.028
596.6064547999999,1.028
597.911941,1.028
599.2174274,1.028
600.5229138,1.028
601.8284002,1.028
603.1338866,1.026
604.439373,1.026
605.7448592000001,1.028
607.0503454000001,1.028
608.3558316,1.026
609.6613178,1.026
610.966804,1.024
612.2722904,1.022
613.5777768,1.022
614.8832632,1.014
616.1887496,1.008
617.494236,1.006
618.7997222,1.006
620.1052084,1.006
621.4106945999999,1.006
622.7161808,1.006
624.021667,1.004
625.3271532,1.004
626.6326394,1.002
627.9381255999999,1.002
629.2436117999999,1.0
630.549098,1.0
631.8545844,1.0
633.1600708,0.997
634.4655572,0.993
635.7710436,0.989
637.07653,0.981
638.3820162000001,0.977
639.6875024000001,0.975
640.9929886,0.971
642.2984748,0.967
643.603961,0.961
644.9094472,0.959
646.2149334000001,0.9481
647.5204196,0.9381
648.8259058,0.932
650.131392,0.93
651.4368784,0.928
652.7423648,0.924
654.0478512,0.922
655.3533376,0.92
656.658824,0.92
657.9643102,0.92
659.2697964,0.92
660.5752825999999,0.918
661.8807687999999,0.918
663.186255,0.913
664.4917414,0.903
665.7972278,0.895
667.1027142,0.885
668.4082006,0.879
669.713687,0.875
671.0191732000001,0.875
672.3246594000001,0.883
673.6301456,0.883
674.9356318,0.8174
676.241118,0.795
677.5466042,0.793
678.8520904000001,0.793
680.1575766,0.793
681.4630628,0.793
682.768549,0.793
684.0740354,0.793
685.3795218,0.793
686.6850082,0.795
687.9904946,0.797
689.295981,0.805
690.6014672,0.805
691.9069534,0.811
693.2124395999999,0.813
694.5179258,0.815
695.823412,0.823
697.1288982,0.827
698.4343844,0.836
699.7398706,0.844
701.0453568,0.846
702.350843,0.85
703.6563294,0.852
704.9618158000001,0.852
706.2673022,0.852
707.5727886000001,0.852
708.878275,0.852
710.1837612,0.852
711.4892474000001,0.852
712.7947336,0.852
714.1002198,0.852
715.405706,0.85
716.7111924,0.85
718.0166788,0.85
719.3221652,0.848
720.6276516,0.846
721.933138,0.848
723.2386242,0.85
724.5441104,0.854
725.8495965999999,0.86
727.1550828,0.866
728.460569,0.87
729.7660552,0.872
731.0715414,0.875
732.3770276,0.877
733.6825138,0.879
734.988,0.883
736.2934864,0.885
737.5989728000001,0.885
738.9044592,0.891
740.2099456000001,0.891
741.515432,0.893
742.8209182,0.893
744.1264044000001,0.895
745.4318906,0.895
746.7373768,0.895
748.042863,0.899
749.3483494,0.901
750.6538358,0.905
751.9593222,0.907
753.2648086,0.911
754.570295,0.911
755.8757812,0.913
757.1812674,0.913
758.4867535999999,0.913
759.7922398,0.913
761.097726,0.915
762.4032122,0.918
763.7086984,0.918
765.0141845999999,0.918
766.3196707999999,0.918
767.625157,0.918
768.9306434,0.92
770.2361298,0.92
771.5416162,0.92
772.8471026,0.92
774.152589,0.918
775.4580752,0.915
776.7635614000001,0.915
778.0690476,0.915
779.3745338,0.913
780.68002,0.907
781.9855062,0.905
783.2909924,0.903
784.5964786,0.903
785.9019648,0.901
787.207451,0.899
788.5129373999999,0.897
789.8184238,0.895
791.1239102,0.895
792.4293966,0.891
793.734883,0.889
795.0403692,0.887
796.3458554,0.887
797.6513415999999,0.887
798.9568277999999,0.889
800.262314,0.889
801.5678004,0.891
802.8732868,0.891
804.1787732,0.891
805.4842596,0.891
806.789746,0.891
808.0952322,0.891
809.4007184000001,0.893
810.7062046,0.895
812.0116908,0.901
813.317177,0.905
814.6226632,0.911
815.9281494,0.911
817.2336356,0.913
818.5391218,0.915
819.844608,0.918
821.1500944,0.92
822.4555808,0.922
823.7610672,0.924
825.0665536,0.924
826.37204,0.924
827.6775262,0.926
828.9830124,0.926
830.2884985999999,0.928
831.5939847999999,0.928
832.899471,0.928
834.2049572,0.928
835.5104434,0.928
836.8159296,0.928
838.1214158,0.928
839.426902,0.928
840.7323884,0.926
842.0378748,0.926
843.3433612,0.926
844.6488476000001,0.926
845.954334,0.926
847.2598202,0.924
848.5653064,0.924
849.8707926,0.924
851.1762788,0.924
852.481765,0.924
853.7872514,0.924
855.0927378,0.926
856.3982242,0.926
857.7037106,0.926
859.009197,0.926
860.3146832,0.926
861.6201694,0.926
862.9256555999999,0.926
864.2311417999999,0.926
865.536628,0.926
866.8421142,0.926
868.1476004,0.926
869.4530866,0.926
870.7585728,0.926
872.064059,0.926
873.3695454,0.926
874.6750318,0.926
875.9805182,0.926
877.2860046000001,0.926
878.591491,0.926
879.8969772,0.926
881.2024634,0.926
882.5079496,0.926
883.8134358,0.926
885.118922,0.926
886.4244084,0.926
887.7298948,0.926
889.0353812,0.926
890.3408676,0.926
891.646354,0.926
892.9518402,0.924
894.2573264,0.924
895.5628125999999,0.922
896.8682987999999,0.922
898.173785,0.922
899.4792712,0.922
900.7847574,0.924
902.0902436,0.924
903.3957298,0.922
904.701216,0.92
906.0067024,0.92
907.3121888000001,0.92
908.6176752,0.92
909.9231616000001,0.92
911.228648,0.92
912.5341342,0.918
913.8396204000001,0.918
915.1451066,0.918
916.4505928,0.918
