sigma,transmittance
396.094,0.428
397.3958732,0.442
398.69774639999997,0.456
399.9996196,0.459
401.3014928,0.5397
402.603366,0.4285
403.90523939999997,0.4419
405.2071128,0.4559
406.5089862,0.459
407.8108596,0.4679
409.112733,0.479
410.4146062,0.489
411.71647939999997,0.496
413.0183526,0.502
414.3202258,0.509
415.622099,0.519
416.9239722,0.523
418.22584539999997,0.5329
419.5277186,0.5439
420.8295918,0.5539
422.131465,0.563
423.43333839999997,0.575
424.7352118,0.584
426.0370852,0.59
427.3389586,0.593
428.640832,0.604
429.9427052,0.6139
431.24457839999997,0.6239
432.5464516,0.6329
433.8483248,0.637
435.150198,0.646
436.4520712,0.657
437.75394439999997,0.668
439.0558176,0.673
440.3576908,0.677
441.659564,0.685
442.9614372,0.691
444.26331039999997,0.697
445.5651836,0.701
446.8670568,0.704
448.16893,0.707
449.47080339999997,0.708
450.7726768,0.712
452.0745502,0.732
453.3764236,0.74
454.678297,0.742
455.9801702,0.748
457.28204339999996,0.753
458.5839166,0.754
459.8857898,0.7609
461.187663,0.765
462.4895362,0.771
463.79140939999996,0.774
465.0932826,0.778
466.3951558,0.779
467.697029,0.783
468.99890239999996,0.785
470.3007758,0.791
471.6026492,0.797
472.9045226,0.802
474.206396,0.804
475.5082692,0.806
476.81014239999996,0.809
478.1120156,0.81
479.4138888,0.814
480.715762,0.818
482.0176352,0.822
483.31950839999996,0.823
484.6213816,0.825
485.9232548,0.826
487.225128,0.827
488.52700139999996,0.828
489.8288748,0.83
491.13074819999997,0.83
492.4326216,0.83
493.734495,0.83
495.03636819999997,0.828
496.33824139999996,0.828
497.6401146,0.827
498.9419878,0.825
500.243861,0.822
501.54573419999997,0.819
502.84760739999996,0.815
504.1494806,0.813
505.4513538,0.812
506.753227,0.809
508.0551004,0.809
509.3569738,0.809
510.6588472,0.808
511.9607206,0.806
513.262594,0.806
514.5644672000001,0.805
515.8663404,0.804
517.1682136000001,0.802
518.4700868,0.802
519.77196,0.802
521.0738332000001,0.802
522.3757064,0.802
523.6775796000001,0.802
524.9794528,0.804
526.281326,0.805
527.5831992000001,0.808
528.8850724,0.81
530.1869456000001,0.812
531.4888188,0.813
532.790692,0.813
534.0925654,0.817
535.3944388,0.821
536.6963122000001,0.822
537.9981856,0.822
539.300059,0.826
540.6019322000001,0.83
541.9038054,0.832
543.2056786,0.832
544.5075518,0.834
545.809425,0.834
547.1112982000001,0.835
548.4131714,0.836
549.7150446,0.839
551.0169178,0.84
552.318791,0.843
553.6206644,0.844
554.9225378,0.845
556.2244112000001,0.845
557.5262846,0.848
558.828158,0.848
560.1300312000001,0.849
561.4319044,0.852
562.7337776,0.853
564.0356508,0.853
565.337524,0.855
566.6393972000001,0.855
567.9412704,0.855
569.2431436,0.856
570.5450168,0.859
571.84689,0.859
573.1487634,0.86
574.4506368,0.859
575.7525102000001,0.857
577.0543836,0.856
578.356257,0.857
579.6581302000001,0.859
580.9600034,0.859
582.2618766,0.86
583.5637498,0.86
584.865623,0.86
586.1674962000001,0.86
587.4693694,0.861
