sigma,transmittance
400.894,0.573
401.9364436,0.578
402.97888720000003,0.579
404.0213308,0.581
405.0637744,0.588
406.106218,0.596
407.1486616,0.602
408.19110520000004,0.609
409.2335488,0.613
410.2759924,0.621
411.318436,0.628
412.36087960000003,0.632
413.40332320000005,0.635
414.4457668,0.64
415.4882104,0.643
416.530654,0.649
417.57309760000004,0.653
418.6155412,0.659
419.6579848,0.668
420.70042839999996,0.672
421.742872,0.677
422.7853156,0.682
423.8277592,0.685
424.87020279999996,0.69
425.91264639999997,0.695
426.95509,0.7
427.9975336,0.701
429.0399772,0.703
430.08242079999997,0.706
431.1248644,0.712
432.167308,0.72
433.2097516,0.724
434.2521952,0.726
435.2946388,0.73
436.3370824,0.733
437.379526,0.737
438.4219696,0.74
439.4644132,0.742
440.5068568,0.745
441.5493004,0.75
442.591744,0.75
443.6341876,0.751
444.67663120000003,0.753
445.7190748,0.755
446.7615184,0.759
447.803962,0.76
448.8464056,0.762
449.88884920000004,0.764
450.9312928,0.768
451.9737364,0.772
453.01618,0.773
454.05862360000003,0.775
455.10106720000005,0.78
456.1435108,0.782
457.1859544,0.785
458.228398,0.787
459.27084160000004,0.789
460.3132852,0.791
461.3557288,0.792
462.39817239999996,0.795
463.440616,0.796
464.4830596,0.797
465.5255032,0.798
466.56794679999996,0.799
467.61039039999997,0.8
468.652834,0.801
469.6952776,0.801
470.7377212,0.804
471.78016479999997,0.808
472.8226084,0.809
473.865052,0.81
474.9074956,0.811
475.9499392,0.811
476.9923828,0.813
478.0348264,0.817
479.07727,0.819
480.1197136,0.82
481.1621572,0.822
482.2046008,0.824
483.2470444,0.825
484.289488,0.826
485.3319316,0.829
486.37437520000003,0.829
487.4168188,0.83
488.4592624,0.831
489.501706,0.832
490.5441496,0.835
491.58659320000004,0.836
492.6290368,0.837
493.6714804,0.838
494.713924,0.838
495.75636760000003,0.838
496.79881120000005,0.838
497.8412548,0.838
498.8836984,0.84
499.926142,0.84
500.96858560000004,0.84
502.0110292,0.841
503.0534728,0.841
