sigma,transmittance
448.0,0.4585
449.0,0.4616
450.0,0.4648
451.0,0.4679
452.0,0.471
453.0,0.4741
454.0,0.4771
455.0,0.4801
456.0,0.4831
457.0,0.4861
458.0,0.4891
459.0,0.4926
460.0,0.4961
461.0,0.4997
462.0,0.5032
463.0,0.5067
464.0,0.5103
465.0,0.5138
466.0,0.5183
467.0,0.5229
468.0,0.5275
469.0,0.5321
470.0,0.5367
471.0,0.5414
472.0,0.546
473.0,0.5507
474.0,0.5556
475.0,0.5605
476.0,0.5655
477.0,0.5704
478.0,0.5753
479.0,0.5802
480.0,0.5851
481.0,0.5899
482.0,0.5946
483.0,0.5993
484.0,0.6041
485.0,0.6088
486.0,0.6135
487.0,0.6183
488.0,0.6235
489.0,0.6287
490.0,0.634
491.0,0.6393
492.0,0.6445
493.0,0.6494
494.0,0.6542
495.0,0.659
496.0,0.6637
497.0,0.6682
498.0,0.6722
499.0,0.6763
500.0,0.6803
501.0,0.6844
502.0,0.6872
503.0,0.6895
504.0,0.6919
505.0,0.6943
506.0,0.6966
507.0,0.699
508.0,0.7013
509.0,0.7036
510.0,0.7058
511.0,0.7081
512.0,0.7103
513.0,0.7126
514.0,0.7148
515.0,0.717
516.0,0.7193
517.0,0.7215
518.0,0.7237
519.0,0.726
520.0,0.7282
521.0,0.7304
522.0,0.7327
523.0,0.7349
524.0,0.7371
525.0,0.7394
526.0,0.7416
527.0,0.7438
528.0,0.7461
529.0,0.7483
530.0,0.7505
531.0,0.7528
532.0,0.7552
533.0,0.7575
534.0,0.7598
535.0,0.7621
536.0,0.7644
537.0,0.7667
538.0,0.771
539.0,0.7759
540.0,0.7807
541.0,0.7854
542.0,0.7898
543.0,0.7941
544.0,0.7985
545.0,0.8029
546.0,0.8074
547.0,0.8119
548.0,0.8164
549.0,0.8209
550.0,0.8252
551.0,0.8286
552.0,0.8321
553.0,0.8355
554.0,0.8389
555.0,0.8423
556.0,0.8453
557.0,0.8482
558.0,0.8512
559.0,0.8541
560.0,0.8571
561.0,0.8601
562.0,0.8631
563.0,0.8661
564.0,0.8692
565.0,0.8722
566.0,0.8746
567.0,0.877
568.0,0.8794
569.0,0.8819
570.0,0.8843
571.0,0.8862
572.0,0.8876
573.0,0.889
574.0,0.8904
575.0,0.8914
576.0,0.8922
577.0,0.8931
578.0,0.8939
579.0,0.8947
580.0,0.8955
581.0,0.8963
582.0,0.8969
583.0,0.8971
584.0,0.8974
585.0,0.8976
586.0,0.8978
587.0,0.8981
588.0,0.8983
589.0,0.8984
590.0,0.8985
591.0,0.8986
592.0,0.8988
593.0,0.8989
594.0,0.899
595.0,0.8993
596.0,0.8998
597.0,0.9003
598.0,0.9008
