sigma,transmittance
399.335,0.36
400.24189359999997,0.357
401.14878719999996,0.349
402.0556808,0.336
402.9625744,0.329
403.869468,0.326
404.7763614,0.325
405.6832548,0.323
406.5901482,0.322
407.4970416,0.322
408.403935,0.321
409.3108286,0.321
410.21772219999997,0.322
411.1246158,0.322
412.0315094,0.326
412.938403,0.329
413.8452964,0.335
414.7521898,0.342
415.6590832,0.35
416.5659766,0.355
417.47287,0.366
418.3797636,0.373
419.2866572,0.39
420.1935508,0.397
421.1004444,0.4459
422.007338,0.5068
422.9142314,0.509
423.8211248,0.5229
424.7280182,0.528
425.6349116,0.537
426.541805,0.548
427.4486986,0.561
428.3555922,0.568
429.26248580000004,0.582
430.1693794,0.594
431.076273,0.605
431.9831664,0.618
432.8900598,0.629
433.7969532,0.636
434.7038466,0.6469
435.61074,0.66
436.5176336,0.673
437.4245272,0.68
438.33142080000005,0.69
439.23831440000004,0.697
440.145208,0.707
441.0521014,0.7209
441.9589948,0.732
442.8658882,0.736
443.7727816,0.742
444.679675,0.755
445.58656859999996,0.756
446.49346219999995,0.76
447.4003558,0.766
448.3072494,0.773
449.214143,0.777
450.1210364,0.782
451.0279298,0.789
451.9348232,0.792
452.8417166,0.794
453.74861,0.794
454.6555036,0.797
455.56239719999996,0.799
456.4692908,0.8
457.3761844,0.8
458.283078,0.8
459.1899714,0.8
460.0968648,0.799
461.0037582,0.794
461.9106516,0.79
462.817545,0.786
463.7244386,0.78
464.6313322,0.775
465.5382258,0.765
466.4451194,0.759
467.352013,0.758
468.2589064,0.756
469.1657998,0.755
470.0726932,0.755
470.9795866,0.755
471.88648,0.756
472.7933736,0.758
473.7002672,0.759
474.60716080000003,0.76
475.5140544,0.763
476.420948,0.765
477.3278414,0.769
478.2347348,0.773
479.1416282,0.775
480.0485216,0.777
480.955415,0.777
481.8623086,0.779
482.7692022,0.779
483.67609580000004,0.78
484.58298940000003,0.782
485.489883,0.783
486.3967764,0.785
487.3036698,0.792
488.2105632,0.794
489.1174566,0.797
490.02435,0.803
490.9312436,0.811
491.8381372,0.817
492.7450308,0.823
493.6519244,0.83
494.558818,0.834
495.4657114,0.841
496.3726048,0.848
497.2794982,0.851
498.1863916,0.854
499.093285,0.859
500.00017859999997,0.862
500.90707219999996,0.869
501.8139658,0.871
502.7208594,0.874
503.627753,0.876
504.5346464,0.879
505.4415398,0.884
506.3484332,0.886
507.2553266,0.888
508.16222,0.889
509.0691136,0.889
509.97600719999997,0.892
510.8829008,0.893
511.7897944,0.895
512.696688,0.895
513.6035813999999,0.896
514.5104748,0.898
515.4173681999999,0.898
516.3242616,0.898
517.231155,0.898
518.1380485999999,0.898
519.0449421999999,0.898
519.9518358,0.898
520.8587294,0.896
521.765623,0.896
522.6725164,0.895
523.5794098,0.893
524.4863032,0.891
525.3931966,0.889
526.30009,0.888
527.2069836,0.886
528.1138771999999,0.886
529.0207708,0.885
529.9276644,0.882
530.834558,0.881
531.7414514,0.879
532.6483448,0.878
533.5552382,0.876
534.4621316,0.874
535.369025,0.874
536.2759186,0.872
537.1828122,0.872
538.0897058,0.871
538.9965994,0.869
539.903493,0.868
540.8103864,0.865
541.7172798,0.862
542.6241732,0.861
543.5310666,0.859
544.43796,0.858
545.3448536,0.857
546.2517472,0.857
547.1586408000001,0.855
548.0655344,0.855
548.972428,0.851
549.8793214,0.848
550.7862148,0.847
551.6931082,0.845
552.6000016,0.842
553.506895,0.84
554.4137886,0.837
555.3206822,0.837
556.2275758000001,0.835
557.1344694000001,0.835
558.041363,0.834
558.9482566,0.831
559.8551502,0.828
560.7620438,0.828
561.6689374,0.824
562.575831,0.821
563.4827243999999,0.82
564.3896178,0.818
565.2965111999999,0.817
566.2034046,0.816
567.110298,0.814
568.0171915999999,0.813
568.9240851999999,0.811
569.8309788,0.81
570.7378724,0.806
571.644766,0.804
572.5516594,0.801
573.4585528,0.799
574.3654462,0.797
575.2723396,0.797
576.179233,0.794
577.0861266,0.794
577.9930201999999,0.793
578.8999138,0.793
579.8068074,0.79
580.713701,0.787
581.6205944,0.785
582.5274878,0.783
583.4343812,0.783
584.3412746,0.782
585.248168,0.779
586.1550616,0.777
587.0619551999999,0.776
587.9688488,0.776
588.8757424,0.775
589.782636,0.773
590.6895294,0.768
591.5964228,0.765
592.5033162,0.762
593.4102096,0.759
594.317103,0.759
595.2239966,0.758
596.1308902,0.756
597.0377838,0.755
597.9446774,0.755
598.851571,0.752
599.7584644,0.749
600.6653578,0.746
601.5722512,0.745
602.4791446,0.743
603.386038,0.742
604.2929316,0.741
605.1998252,0.738
606.1067188000001,0.738
607.0136124,0.735
607.920506,0.732
608.8273994,0.731
609.7342928,0.729
610.6411862,0.727
611.5480796,0.725
612.454973,0.724
613.3618666,0.722
614.2687602,0.721
615.1756538000001,0.721
616.0825474000001,0.719
616.989441,0.718
617.8963344,0.718
618.8032278000001,0.715
619.7101212,0.712
620.6170146000001,0.711
621.523908,0.708
622.4308016,0.707
623.3376952,0.705
624.2445888,0.705
625.1514824,0.702
626.058376,0.7
626.9652694,0.698
627.8721628,0.697
628.7790562,0.695
629.6859496,0.693
630.592843,0.691
631.4997366,0.69
632.4066302,0.688
633.3135238,0.685
634.2204174,0.684
635.127311,0.683
636.0342044,0.68
636.9410978,0.678
637.8479912,0.676
638.7548846,0.676
639.661778,0.674
640.5686716,0.673
641.4755652,0.667
642.3824588,0.666
643.2893524,0.663
644.196246,0.66
645.1031394,0.659
646.0100328,0.657
646.9169262,0.654
647.8238196,0.652
648.730713,0.65
649.6376066,0.649
650.5445002,0.644
651.4513938,0.643
652.3582874,0.642
653.265181,0.64
654.1720744,0.639
655.0789678,0.637
655.9858612,0.636
656.8927546,0.635
657.799648,0.633
658.7065416,0.635
659.6134352,0.636
660.5203288,0.637
661.4272224,0.64
662.334116,0.643
663.2410093999999,0.644
664.1479028,0.646
665.0547961999999,0.647
665.9616896,0.649
666.868583,0.652
667.7754765999999,0.654
668.6823701999999,0.657
669.5892638,0.657
670.4961574,0.659
671.403051,0.661
672.3099444,0.664
673.2168378,0.667
674.1237312,0.669
675.0306246,0.67
675.937518,0.673
676.8444116,0.673
677.7513051999999,0.674
678.6581988,0.676
679.5650924,0.676
680.471986,0.68
681.3788794,0.68
682.2857728,0.68
683.1926662,0.681
684.0995596,0.683
685.006453,0.684
685.9133466,0.688
686.8202402,0.688
687.7271338,0.69
688.6340274,0.691
689.540921,0.694
690.4478144,0.697
691.3547078,0.698
692.2616012,0.698
693.1684946,0.7
694.075388,0.701
694.9822816,0.704
695.8891752,0.705
696.7960688000001,0.705
697.7029624,0.707
698.609856,0.707
699.5167494,0.71
700.4236428,0.711
701.3305362,0.714
702.2374296,0.717
703.144323,0.718
704.0512166,0.721
704.9581102,0.722
705.8650038000001,0.724
706.7718974000001,0.724
707.678791,0.725
708.5856844,0.727
709.4925778,0.729
710.3994712,0.734
711.3063646,0.738
712.213258,0.738
713.1201516,0.739
714.0270452,0.741
714.9339388,0.743
715.8408324,0.745
716.747726,0.748
717.6546194,0.751
718.5615128,0.755
719.4684062,0.756
720.3752996,0.759
721.282193,0.762
722.1890866,0.762
723.0959802,0.765
724.0028738,0.766
724.9097674,0.769
725.816661,0.773
726.7235545999999,0.776
727.6304481999999,0.777
728.5373418,0.777
729.4442354,0.78
730.351129,0.786
731.2580224,0.79
732.1649158,0.79
733.0718092,0.792
733.9787026,0.792
734.885596,0.794
735.7924896,0.794
736.6993831999999,0.799
737.6062768,0.8
738.5131704,0.801
739.420064,0.804
740.3269574,0.807
741.2338508,0.81
742.1407442,0.811
743.0476376,0.813
743.954531,0.813
744.8614246,0.816
745.7683182,0.816
746.6752118,0.814
747.5821054,0.814
748.488999,0.814
749.3958924,0.811
750.3027858,0.807
751.2096792,0.797
752.1165726,0.792
753.023466,0.782
753.9303596,0.775
754.8372532,0.766
755.7441468000001,0.763
756.6510404,0.762
757.557934,0.763
758.4648274,0.773
759.3717208,0.78
760.2786142,0.7929
761.1855076,0.8069
762.092401,0.813
762.9992946,0.817
763.9061882,0.828
764.8130818000001,0.83
765.7199754000001,0.834
766.626869,0.837
767.5337624,0.838
768.4406558000001,0.838
769.3475492,0.84
770.2544426000001,0.842
771.161336,0.847
772.0682296,0.848
772.9751232,0.85
773.8820168,0.855
774.7889104,0.864
775.695804,0.872
776.6026974,0.878
777.5095908,0.886
778.4164842,0.889
779.3233776,0.895
780.230271,0.899
781.1371646,0.903
782.0440582,0.909
782.9509518,0.912
783.8578454,0.915
784.764739,0.919
785.6716324,0.923
786.5785258,0.93
787.4854192,0.932
788.3923126,0.933
789.299206,0.937
790.2060996,0.94
791.1129932,0.943
792.0198868,0.944
792.9267804,0.946
793.833674,0.949
794.7405674,0.951
795.6474608,0.953
796.5543542,0.956
797.4612476,0.958
798.368141,0.963
799.2750346,0.97
800.1819282,0.971
801.0888218,0.975
801.9957154,0.975
802.902609,0.977
803.8095024,0.98
804.7163958,0.984
805.6232892,0.985
806.5301826,0.987
807.437076,0.99
808.3439696,0.992
809.2508632,0.997
810.1577568,1.0
811.0646504,1.0
811.971544,1.002
812.8784373999999,1.004
813.7853308,1.005
814.6922241999999,1.008
815.5991176,1.011
816.506011,1.012
817.4129045999999,1.012
818.3197981999999,1.015
819.2266918,1.019
820.1335854,1.021
821.040479,1.021
821.9473724,1.022
822.8542658,1.024
823.7611592,1.026
824.6680526,1.028
825.574946,1.029
826.4818396,1.029
827.3887331999999,1.029
828.2956268,1.031
829.2025204,1.031
830.109414,1.032
831.0163074,1.032
831.9232008,1.032
832.8300942,1.032
833.7369876,1.031
834.643881,1.028
835.5507746,1.026
836.4576682,1.025
837.3645618,1.024
838.2714554,1.021
839.178349,1.015
840.0852424,1.007
840.9921358,1.001
841.8990292,1.0
842.8059226,0.998
843.712816,0.988
844.6197096,0.98
845.5266032,0.963
846.4334968000001,0.956
847.3403904,0.949
848.247284,0.93
849.1541774,0.9031
850.0610708,0.8841
850.9679642,0.8651
851.8748576,0.8481
852.781751,0.828
853.6886446,0.814
854.5955382,0.797
855.5024318000001,0.777
856.4093254000001,0.759
857.316219,0.745
858.2231124,0.736
859.1300058,0.7151
860.0368992,0.707
860.9437926,0.707
861.850686,0.719
862.7575796,0.743
863.6644732,0.759
864.5713668000001,0.775
865.4782604000001,0.787
866.385154,0.8
867.2920474,0.813
868.1989408000001,0.8299
869.1058342,0.8499
870.0127276000001,0.8639
870.919621,0.865
871.8265146,0.871
872.7334082,0.876
873.6403018,0.879
874.5471954,0.882
875.454089,0.882
876.3609824,0.882
877.2678758,0.881
878.1747692,0.881
879.0816626,0.871
879.988556,0.858
880.8954496,0.84
881.8023432,0.824
882.7092368,0.811
883.6161304,0.793
884.523024,0.775
885.4299176,0.759
886.3368111999999,0.7311
887.2437048,0.6882
888.1505984,0.68
889.057492,0.676
889.9643854,0.684
890.8712788,0.725
891.7781722,0.745
892.6850656,0.7759
893.591959,0.7989
894.4988526,0.8179
895.4057462,0.83
896.3126398,0.835
897.2195334,0.842
898.126427,0.85
899.0333204,0.854
899.9402138,0.857
900.8471072,0.858
901.7540006,0.857
902.660894,0.851
903.5677876,0.848
904.4746812,0.841
905.3815748000001,0.838
906.2884684,0.838
907.195362,0.837
908.1022554,0.838
909.0091488,0.847
909.9160422,0.854
910.8229356,0.867
911.729829,0.869
912.6367226,0.876
913.5436162,0.889
914.4505098000001,0.895
915.3574034000001,0.9079
916.264297,0.92
917.1711904,0.933
918.0780838000001,0.942
918.9849772,0.954
919.8918706000001,0.964
920.798764,0.977
921.7056576,0.98
922.6125512,0.985
923.5194448,0.997
924.4263384,1.001
