sigma,transmittance
455.163,0.924
456.521703,0.921
457.880406,0.919
459.23910900000004,0.917
460.59781200000003,0.915
461.956515,0.915
463.3152178,0.924
464.67392060000003,0.921
466.0326234,0.919
467.3913262,0.917
468.750029,0.915
470.108732,0.915
471.46743499999997,0.913
472.826138,0.913
474.184841,0.911
475.543544,0.909
476.902247,0.907
478.26095,0.905
479.619653,0.902
480.978356,0.9
482.337059,0.898
483.6957618,0.896
485.0544646,0.89
486.4131674,0.888
487.7718702,0.883
489.130573,0.881
490.489276,0.877
491.847979,0.875
493.206682,0.871
494.565385,0.8621
495.924088,0.856
497.282791,0.843
498.64149399999997,0.831
500.000197,0.816
501.3589,0.803
502.717603,0.801
504.076306,0.799
505.435009,0.799
506.793712,0.795
508.152415,0.795
509.511118,0.793
510.8698208,0.786
512.2285236,0.782
513.5872264,0.782
514.9459292,0.78
516.304632,0.776
517.663335,0.774
519.022038,0.774
520.3807410000001,0.772
521.739444,0.772
523.098147,0.774
524.45685,0.774
525.815553,0.776
527.174256,0.778
528.532959,0.78
529.891662,0.782
531.2503647999999,0.7929
532.6090676,0.8079
533.9677704,0.8308
535.3264732,0.833
536.685176,0.843
538.043879,0.848
539.4025819999999,0.85
540.761285,0.854
542.119988,0.854
543.478691,0.864
544.837394,0.869
546.196097,0.873
547.5548,0.879
548.913503,0.883
550.272206,0.89
551.6309088,0.894
552.9896116,0.902
554.3483144,0.909
555.7070172,0.913
557.06572,0.915
558.424423,0.919
559.783126,0.921
561.141829,0.924
562.500532,0.924
563.859235,0.924
565.217938,0.928
566.576641,0.93
567.935344,0.932
569.294047,0.932
570.65275,0.932
572.011453,0.932
573.370156,0.936
574.728859,0.936
576.087562,0.938
577.446265,0.938
578.8049678,0.938
580.1636706,0.94
581.5223734,0.94
582.8810762,0.94
584.239779,0.943
585.598482,0.943
586.957185,0.943
588.315888,0.945
589.674591,0.945
591.033294,0.945
592.391997,0.945
593.7506999999999,0.947
595.109403,0.947
596.468106,0.947
597.826809,0.947
599.1855118,0.947
600.5442146,0.951
601.9029174,0.951
603.2616202,0.951
604.620323,0.951
605.979026,0.953
607.337729,0.951
608.6964320000001,0.951
610.0551350000001,0.951
611.413838,0.949
612.772541,0.949
614.131244,0.949
615.489947,0.949
616.84865,0.947
618.207353,0.945
619.5660558,0.945
620.9247586,0.94
622.2834614,0.94
623.6421642,0.938
625.000867,0.936
626.35957,0.932
627.718273,0.928
629.0769760000001,0.926
630.435679,0.921
631.794382,0.919
633.153085,0.911
634.511788,0.902
635.870491,0.896
637.229194,0.894
638.587897,0.888
639.9465998,0.877
641.3053026,0.8481
642.6640054,0.8331
644.0227082,0.8221
645.381411,0.818
646.740114,0.816
648.0988169999999,0.816
649.45752,0.816
650.816223,0.816
652.174926,0.816
653.533629,0.814
654.892332,0.814
656.251035,0.8011
657.609738,0.7931
658.968441,0.797
660.327144,0.789
661.685847,0.776
663.0445500000001,0.776
664.4032530000001,0.778
665.761956,0.778
667.1206588,0.776
668.4793616000001,0.7611
669.8380644,0.761
671.1967672000001,0.7968
672.55547,0.799
673.914173,0.81
675.272876,0.818
676.631579,0.835
677.990282,0.837
679.348985,0.845
680.707688,0.852
682.066391,0.8669
683.4250940000001,0.8919
684.783797,0.894
686.1425,0.898
687.5012028,0.902
688.8599056,0.907
690.2186084,0.913
691.5773112,0.915
692.936014,0.919
694.294717,0.921
695.65342,0.926
697.012123,0.928
698.370826,0.932
699.729529,0.934
701.088232,0.94
702.4469349999999,0.943
703.805638,0.945
705.164341,0.947
706.523044,0.949
707.8817468,0.951
709.2404496,0.953
710.5991524,0.955
711.9578552,0.955
713.316558,0.955
714.675261,0.955
716.033964,0.955
717.3926670000001,0.955
718.7513700000001,0.955
720.110073,0.955
721.468776,0.955
722.827479,0.955
724.186182,0.955
725.544885,0.955
726.903588,0.955
728.262291,0.955
729.620994,0.953
730.979697,0.953
732.3384,0.951
733.697103,0.951
735.0558058,0.949
736.4145086,0.949
737.7732114,0.947
739.1319142,0.947
740.490617,0.945
741.84932,0.943
743.208023,0.943
744.566726,0.94
745.925429,0.94
747.284132,0.938
748.642835,0.934
750.001538,0.934
751.360241,0.932
752.718944,0.93
754.077647,0.926
755.4363498,0.924
756.7950526,0.919
758.1537554,0.915
759.5124582,0.911
760.871161,0.909
762.229864,0.907
763.588567,0.902
764.94727,0.898
766.305973,0.896
767.664676,0.892
769.023379,0.89
770.382082,0.888
771.7407850000001,0.883
773.0994880000001,0.881
774.458191,0.877
775.8168938,0.875
777.1755966000001,0.875
778.5342994,0.873
779.8930022000001,0.871
781.251705,0.873
782.610408,0.875
783.969111,0.879
785.327814,0.883
786.686517,0.883
788.04522,0.877
789.403923,0.8242
790.762626,0.7932
792.1213290000001,0.7403
793.480032,0.7062
794.838735,0.7078
796.1974378,0.58
797.5561406,0.582
798.9148434,0.6769
800.2735462,0.7718
801.632249,0.8637
802.990952,0.864
804.349655,0.8769
805.708358,0.8959
807.067061,0.898
808.425764,0.907
809.784467,0.911
811.1431699999999,0.909
812.501873,0.9
813.860576,0.896
815.219279,0.894
816.577982,0.89
817.936685,0.8791
819.295388,0.871
820.654091,0.8333
822.012794,0.818
823.3714967999999,0.803
824.7301996,0.77
826.0889023999999,0.746
827.4476052,0.6702
828.806308,0.666
830.1650109999999,0.6281
831.5237139999999,0.5882
832.882417,0.584
