sigma,transmittance
457.0,0.8944
458.0,0.8947
459.0,0.8949
460.0,0.8951
461.0,0.8954
462.0,0.8956
463.0,0.896
464.0,0.8964
465.0,0.8969
466.0,0.8974
467.0,0.898
468.0,0.8987
469.0,0.8993
470.0,0.8999
471.0,0.9006
472.0,0.9013
473.0,0.902
474.0,0.9026
475.0,0.9033
476.0,0.9045
477.0,0.9058
478.0,0.9071
479.0,0.9084
480.0,0.9097
481.0,0.911
482.0,0.9123
483.0,0.9136
484.0,0.9149
485.0,0.9161
486.0,0.9172
487.0,0.9184
488.0,0.9195
489.0,0.9204
490.0,0.9214
491.0,0.9223
492.0,0.9233
493.0,0.9243
494.0,0.9252
495.0,0.9262
496.0,0.9266
497.0,0.927
498.0,0.9273
499.0,0.9277
500.0,0.928
501.0,0.9284
502.0,0.9287
503.0,0.9286
504.0,0.9291
505.0,0.9293
506.0,0.9293
507.0,0.9293
508.0,0.9292
509.0,0.9292
510.0,0.9291
511.0,0.929
512.0,0.929
513.0,0.929
514.0,0.929
515.0,0.929
516.0,0.929
517.0,0.929
518.0,0.929
519.0,0.929
520.0,0.9289
521.0,0.9288
522.0,0.9287
523.0,0.9286
524.0,0.9285
525.0,0.9284
526.0,0.9283
527.0,0.9281
528.0,0.9278
529.0,0.9275
530.0,0.9271
531.0,0.9268
532.0,0.9264
533.0,0.9261
534.0,0.9257
535.0,0.9254
536.0,0.9251
537.0,0.9247
538.0,0.9244
539.0,0.9236
540.0,0.9229
541.0,0.9221
542.0,0.9214
543.0,0.9207
544.0,0.9199
545.0,0.9192
546.0,0.9183
547.0,0.917
548.0,0.9157
549.0,0.9144
550.0,0.9131
551.0,0.912
552.0,0.9122
553.0,0.9117
554.0,0.9134
555.0,0.914
556.0,0.9146
557.0,0.9152
558.0,0.9158
559.0,0.9165
560.0,0.9171
561.0,0.9178
562.0,0.9184
563.0,0.9191
564.0,0.9198
565.0,0.9205
566.0,0.9213
567.0,0.9221
568.0,0.9228
569.0,0.9236
570.0,0.9245
571.0,0.9253
572.0,0.9262
573.0,0.9271
574.0,0.928
575.0,0.9288
576.0,0.9295
577.0,0.9301
578.0,0.9306
579.0,0.9312
580.0,0.9318
581.0,0.9323
582.0,0.9329
583.0,0.9335
584.0,0.934
585.0,0.9345
586.0,0.9349
587.0,0.9353
588.0,0.9357
589.0,0.9361
590.0,0.9365
591.0,0.9369
592.0,0.9373
593.0,0.9377
594.0,0.9381
595.0,0.9384
596.0,0.9387
597.0,0.9389
598.0,0.9391
599.0,0.9394
600.0,0.9396
601.0,0.9398
602.0,0.9401
603.0,0.9403
604.0,0.9406
605.0,0.9407
606.0,0.9408
607.0,0.941
608.0,0.9411
609.0,0.9412
610.0,0.9413
611.0,0.9412
612.0,0.9408
613.0,0.9404
614.0,0.94
615.0,0.9395
616.0,0.9388
617.0,0.9381
618.0,0.9374
619.0,0.9367
620.0,0.936
621.0,0.9353
622.0,0.9349
623.0,0.9349
624.0,0.9349
625.0,0.9349
626.0,0.9349
627.0,0.9349
628.0,0.9349
629.0,0.9349
630.0,0.9349
631.0,0.9353
632.0,0.9357
633.0,0.9362
634.0,0.9367
635.0,0.9371
636.0,0.9376
637.0,0.9381
638.0,0.9385
639.0,0.9387
640.0,0.94
641.0,0.9413
642.0,0.9426
643.0,0.9439
644.0,0.9452
645.0,0.9469
646.0,0.9486
647.0,0.9504
648.0,0.9511
649.0,0.9515
650.0,0.952
651.0,0.952
652.0,0.9516
653.0,0.9511
654.0,0.9507
655.0,0.9502
656.0,0.9497
657.0,0.9493
658.0,0.9488
659.0,0.9484
660.0,0.9476
661.0,0.9474
662.0,0.947
663.0,0.9465
664.0,0.9463
665.0,0.946
666.0,0.9458
667.0,0.9471
668.0,0.9498
669.0,0.9526
670.0,0.9647
671.0,0.9622
672.0,0.959
673.0,0.9555
674.0,0.9517
675.0,0.949
676.0,0.9477
677.0,0.9465
678.0,0.9458
679.0,0.9452
680.0,0.9446
681.0,0.9441
682.0,0.9436
683.0,0.9429
684.0,0.942
685.0,0.9411
686.0,0.9401
687.0,0.9386
688.0,0.9371
689.0,0.9357
690.0,0.9342
691.0,0.9324
692.0,0.9305
693.0,0.9286
694.0,0.9267
695.0,0.9246
696.0,0.9225
697.0,0.9204
698.0,0.9183
699.0,0.9162
700.0,0.9141
701.0,0.9119
702.0,0.9098
703.0,0.9073
704.0,0.9048
705.0,0.9023
706.0,0.8999
707.0,0.8974
708.0,0.8949
709.0,0.8924
710.0,0.8899
711.0,0.8874
712.0,0.8849
713.0,0.8823
714.0,0.8798
