sigma,transmittance
598.702,0.804
599.3510506,0.802
600.0001012,0.802
600.6491518,0.802
601.2982024,0.801
601.947253,0.804
602.5963036,0.802
603.2453542000001,0.802
603.8944048,0.802
604.5434554,0.801
605.192506,0.8
605.8415564,0.799
606.4906068,0.798
607.1396572,0.797
607.7887076000001,0.797
608.437758,0.797
609.0868086,0.796
609.7358592,0.797
610.3849098,0.797
611.0339604,0.797
611.683011,0.797
612.3320616,0.797
612.9811122,0.797
613.6301628,0.797
614.2792134,0.797
614.928264,0.797
615.5773146,0.797
616.2263652,0.797
616.8754157999999,0.796
617.5244663999999,0.796
618.173517,0.795
618.8225676,0.793
619.4716182,0.793
620.1206688,0.792
620.7697194,0.792
621.41877,0.791
622.0678204,0.79
622.7168708,0.79
623.3659212,0.79
624.0149716000001,0.789
624.664022,0.789
625.3130726,0.788
625.9621232000001,0.788
626.6111738,0.788
627.2602244,0.788
627.909275,0.788
628.5583256,0.787
629.2073762,0.786
629.8564268,0.786
630.5054774,0.786
631.154528,0.785
631.8035786,0.784
632.4526292,0.783
633.1016797999999,0.781
633.7507304,0.779
634.399781,0.776
635.0488313999999,0.776
635.6978818,0.775
636.3469322,0.775
636.9959826,0.774
637.645033,0.773
638.2940836,0.771
638.9431342,0.768
639.5921847999999,0.765
640.2412353999999,0.761
640.890286,0.76
641.5393366,0.759
642.1883872,0.759
642.8374378,0.758
643.4864884,0.758
644.135539,0.756
644.7845896,0.754
645.4336402,0.75
646.0826908,0.747
646.7317414,0.744
647.380792,0.741
648.0298426,0.741
648.6788932000001,0.74
649.3279438,0.739
649.9769944,0.738
650.626045,0.736
651.2750953999999,0.735
651.9241458,0.734
652.5731962,0.734
653.2222466000001,0.732
653.871297,0.732
654.5203476,0.729
655.1693982,0.727
655.8184487999999,0.722
656.4674994,0.72
657.11655,0.719
657.7656006,0.719
658.4146512,0.72
659.0637018,0.72
659.7127524,0.72
660.361803,0.725
661.0108536,0.73
661.6599042,0.737
662.3089547999999,0.741
662.9580053999999,0.747
663.607056,0.75
664.2561066,0.754
664.9051572,0.756
665.5542078,0.759
666.2032584,0.763
666.852309,0.765
667.5013594,0.768
668.1504098,0.77
668.7994602,0.771
669.4485106000001,0.772
670.097561,0.773
670.7466116,0.774
671.3956622000001,0.774
672.0447128,0.774
672.6937634,0.775
673.342814,0.775
673.9918646,0.775
674.6409152,0.774
675.2899658,0.774
675.9390164,0.773
676.588067,0.773
677.2371176,0.772
677.8861682,0.772
678.5352187999999,0.771
679.1842694,0.77
679.83332,0.77
680.4823703999999,0.77
681.1314208,0.771
681.7804712,0.774
682.4295216,0.776
683.078572,0.778
683.7276226,0.78
684.3766732,0.782
685.0257238,0.785
685.6747744,0.788
686.323825,0.79
686.9728756000001,0.791
687.6219262000001,0.792
688.2709768,0.792
688.9200274,0.793
689.569078,0.793
690.2181286,0.793
690.8671792,0.794
691.5162298,0.795
692.1652804,0.795
692.814331,0.795
693.4633816,0.796
694.1124322000001,0.796
694.7614828,0.797
695.4105334,0.797
696.059584,0.797
696.7086343999999,0.797
697.3576848,0.797
698.0067352,0.797
698.6557856000001,0.798
699.304836,0.799
699.9538866,0.798
700.6029372,0.798
701.2519877999999,0.798
701.9010384,0.798
702.550089,0.799
703.1991396,0.799
703.8481902,0.799
704.4972408,0.799
705.1462914,0.799
705.795342,0.799
706.4443926,0.799
707.0934432,0.799
707.7424938,0.799
708.3915444,0.799
709.040595,0.799
709.6896456000001,0.798
710.3386962000001,0.798
710.9877468,0.798
711.6367974,0.798
712.285848,0.798
712.9348984,0.798
713.5839488,0.799
714.2329992,0.799
714.8820496000001,0.799
715.5311,0.799
716.1801506,0.799
716.8292012,0.799
717.4782518,0.798
718.1273024,0.798
718.776353,0.798
719.4254036,0.798
720.0744542,0.798
720.7235048,0.799
721.3725554,0.799
722.021606,0.799
722.6706566,0.8
723.3197072,0.8
723.9687577999999,0.801
724.6178084,0.802
725.266859,0.802
725.9159093999999,0.802
726.5649598,0.803
727.2140102,0.803
727.8630606,0.804
728.512111,0.804
729.1611616,0.804
729.8102122,0.804
730.4592628,0.804
731.1083134,0.804
731.757364,0.804
732.4064146000001,0.804
733.0554652000001,0.804
733.7045158,0.804
734.3535664,0.804
735.002617,0.805
735.6516676,0.805
736.3007182,0.805
736.9497688,0.806
737.5988194,0.806
738.24787,0.806
738.8969206,0.806
739.5459712,0.806
740.1950218,0.806
740.8440724,0.806
741.493123,0.806
