sigma,transmittance
300.654,0.0
301.6997532,0.0
302.7455064,0.0
303.7912596,0.0
304.8370128,0.0
305.882766,0.0
306.9285192,0.0
307.9742724,0.001
309.0200256,0.002
310.06577880000003,0.004
311.111532,0.005
312.1572852,0.006
313.2030384,0.007
314.2487916,0.008
315.29454480000004,0.009
316.340298,0.01
317.3860512,0.011
318.43180440000003,0.012
319.4775576,0.014
320.52331080000005,0.015
321.569064,0.017
322.6148172,0.017
323.6605704,0.02
324.7063236,0.021
325.7520768,0.024
326.79783,0.028
327.8435834,0.03
328.88933679999997,0.032
329.9350902,0.034
330.98084359999996,0.04
332.026597,0.043
333.07235019999996,0.047
334.1181034,0.049
335.1638566,0.051
336.2096098,0.058
337.255363,0.062
338.30111619999997,0.065
339.3468694,0.073
340.3926226,0.079
341.4383758,0.084
342.484129,0.089
343.5298822,0.092
344.5756354,0.098
345.6213886,0.102
346.6671418,0.109
347.712895,0.116
348.7586482,0.121
349.8044014,0.127
350.8501546,0.133
351.89590780000003,0.141
352.941661,0.152
353.9874142,0.156
355.0331674,0.161
356.0789206,0.168
357.12467380000004,0.174
358.170427,0.18
359.2161802,0.185
360.26193340000003,0.1989
361.3076866,0.204
362.35343980000005,0.2149
363.399193,0.219
364.4449462,0.224
365.4906994,0.231
366.5364526,0.239
367.5822058,0.245
368.627959,0.25
369.67371219999995,0.254
370.7194654,0.2669
371.76521859999997,0.2809
372.8109718,0.2909
373.856725,0.3
374.90247819999996,0.306
375.9482314,0.311
376.9939846,0.32
378.0397378,0.325
379.085491,0.344
380.13124419999997,0.35
381.1769974,0.359
382.2227506,0.366
383.2685038,0.371
384.314257,0.378
385.3600102,0.384
386.4057634,0.391
387.4515166,0.398
388.4972698,0.407
389.543023,0.416
390.58877640000003,0.422
391.6345298,0.434
392.6802832,0.44
393.7260366,0.445
394.77179,0.452
395.8175432,0.459
396.8632964,0.466
397.9090496,0.472
398.95480280000004,0.481
400.000556,0.489
401.0463092,0.496
402.09206240000003,0.507
403.1378156,0.515
404.18356880000005,0.521
405.229322,0.529
406.2750752,0.535
407.3208284,0.54
408.3665816,0.547
409.4123348,0.555
410.458088,0.563
411.50384119999995,0.569
412.5495944,0.575
413.59534759999997,0.582
414.6411008,0.588
415.686854,0.593
416.73260719999996,0.599
417.7783604,0.606
418.8241136,0.612
419.8698668,0.618
420.91562,0.624
421.96137319999997,0.632
423.0071264,0.638
424.0528796,0.644
425.0986328,0.65
426.144386,0.655
427.1901392,0.66
428.2358924,0.67
429.2816456,0.676
430.3273988,0.68
431.373152,0.687
432.4189052,0.691
433.4646584,0.693
434.5104116,0.697
435.55616480000003,0.7
436.601918,0.703
437.6476712,0.706
438.6934244,0.712
439.7391776,0.718
440.78493080000004,0.719
441.830684,0.721
442.8764372,0.724
443.92219040000003,0.726
444.9679436,0.729
446.01369680000005,0.733
447.05945,0.735
448.1052032,0.739
449.1509564,0.74
450.1967096,0.744
451.2424628,0.747
452.288216,0.749
453.3339694,0.751
454.37972279999997,0.752
455.4254762,0.754
456.47122959999996,0.756
457.516983,0.757
458.56273619999996,0.759
459.6084894,0.76
460.6542426,0.76
461.6999958,0.76
462.745749,0.761
463.79150219999997,0.761
464.8372554,0.762
465.8830086,0.762
466.9287618,0.762
467.974515,0.762
469.0202682,0.761
470.0660214,0.759
471.1117746,0.759
472.1575278,0.758
473.203281,0.758
474.2490342,0.757
475.2947874,0.756
476.3405406,0.754
477.38629380000003,0.753
478.432047,0.752
479.4778002,0.75
480.5235534,0.749
481.5693066,0.744
482.61505980000004,0.744
483.660813,0.742
484.7065662,0.74
485.75231940000003,0.737
486.7980726,0.733
487.84382580000005,0.729
488.889579,0.725
489.9353322,0.72
490.9810854,0.716
492.0268386,0.712
493.0725918,0.708
494.118345,0.705
495.16409819999996,0.702
496.2098514,0.699
497.25560459999997,0.696
498.3013578,0.693
499.347111,0.691
500.39286419999996,0.69
501.4386174,0.689
502.4843706,0.688
503.5301238,0.689
504.575877,0.69
505.62163019999997,0.693
506.6673834,0.7
